layout,cache,mean,median,p50,p95,p99,p99.9,stddev,min,max,n
baseline,warm,57.918,50,50,70,200,260,97.7182,50,6820,5000
baseline,cold,57.0438,50,50,70,140,270,20.6859,49,370,5000
morton,warm,58.046,50,50,60,140,280,102.583,50,7170,5000
morton,cold,56.33,50,50,60,150,270,20.173,50,300,5000
baseline,warm,48.1398,40,40,70,180,300,22.3181,30,320,5000
baseline,cold,39.692,40,40,40,40,200,16.1921,30,200,5000
morton,warm,49.3438,40,40,40,200,230,481.736,30,33080,5000
morton,cold,39.7438,40,40,40,40,200,16.1584,30,210,5000
baseline,warm,41.3618,40,40,40,80,210,70.21,30,4850,5000
baseline,cold,42.9378,40,40,40,40,210,199.77,30,14120,5000
morton,warm,41.0958,40,40,40,150,210,62.9212,29,4320,5000
morton,cold,40.0658,40,40,40,40,210,16.3063,30,210,5000
