pattern,bind_strategy,mip,all_correct,max_abs_error,mismatched,total
textureLod,combined_sampler,0,PASS,0,0,1024
texelFetch_storage_image,storage_image,0,PASS,0,0,1024
texelFetch_sampled_image,combined_sampler,0,PASS,0,0,1024
textureLod,combined_sampler,1,PASS,0,0,1024
texelFetch_storage_image,storage_image,1,FAIL,1000,1024,1024
texelFetch_sampled_image,combined_sampler,1,PASS,0,0,1024
textureLod,combined_sampler,2,PASS,0,0,1024
texelFetch_storage_image,storage_image,2,FAIL,2000,1024,1024
texelFetch_sampled_image,combined_sampler,2,PASS,0,0,1024
textureLod,combined_sampler,3,PASS,0,0,1024
texelFetch_storage_image,storage_image,3,FAIL,3000,1024,1024
texelFetch_sampled_image,combined_sampler,3,PASS,0,0,1024
textureLod,combined_sampler,4,PASS,0,0,1024
texelFetch_storage_image,storage_image,4,FAIL,4000,1024,1024
texelFetch_sampled_image,combined_sampler,4,PASS,0,0,1024
textureLod,combined_sampler,5,PASS,0,0,1024
texelFetch_storage_image,storage_image,5,FAIL,5000,1024,1024
texelFetch_sampled_image,combined_sampler,5,PASS,0,0,1024
textureLod,combined_sampler,6,PASS,0,0,480
texelFetch_storage_image,storage_image,6,FAIL,6000,480,480
texelFetch_sampled_image,combined_sampler,6,PASS,0,0,480
textureLod,combined_sampler,7,PASS,0,0,120
texelFetch_storage_image,storage_image,7,FAIL,7000,120,120
texelFetch_sampled_image,combined_sampler,7,PASS,0,0,120
