# Meshing algorithm comparison — 2026-06-20-meshing-algo-comparison
# Chunk: 32^3 = 32768 voxels
# Algorithms: naive_greedy, surface_nets (naive), dual_contouring (simplified), marching_cubes (standard table)
# Scenes: solid_cube, hollow_shell, sphere, layered_terrain, sparse_random, projectv_mix
# Per benchmarks/methodology.md: warmup=30, iters=1000, mean/median/p95/p99/std
# Hardware baseline: AMD Ryzen 7 5800X, Clang 22.1.6, -O3 -march=native -DNDEBUG

scene,algo,triangles,memory_bytes,mean_ns,median_ns,p95_ns,p99_ns,stddev_ns,min_ns,max_ns
solid_cube,naive_greedy,12,720,633587.1,577428.0,972986.0,1097056.0,131373.8,541938.0,1243515.0
solid_cube,surface_nets,0,71448,335564.6,290849.0,508838.0,590038.0,82474.4,274029.0,874227.0
solid_cube,dual_contouring,0,71448,1292555.7,1226336.0,1668653.0,1849853.0,168006.8,1138866.0,2010793.0
solid_cube,marching_cubes,0,0,249728.1,218429.0,376478.0,413628.0,55918.3,208449.0,504618.0
hollow_shell,naive_greedy,24,1440,574233.0,534668.0,790287.0,915007.0,91226.5,511828.0,1116436.0
hollow_shell,surface_nets,9118,310512,394813.5,356429.0,614548.0,666427.0,81491.7,341198.0,867187.0
hollow_shell,dual_contouring,9106,310368,1569763.6,1497395.0,2000002.0,2265042.0,191850.1,1393485.0,2494341.0
hollow_shell,marching_cubes,10796,512592,380276.9,342769.0,558078.0,635337.0,76632.9,326849.0,832007.0
sphere,naive_greedy,3108,186480,650489.3,587298.0,987007.0,1078876.0,140648.5,527758.0,1180356.0
sphere,surface_nets,4006,136824,388329.6,353968.0,577808.0,650638.0,71951.3,340469.0,794718.0
sphere,dual_contouring,4006,136824,1375692.5,1306995.0,1773044.0,2012373.0,176158.5,1216386.0,2189901.0
sphere,marching_cubes,7388,285648,345875.8,307809.0,521798.0,606358.0,78845.1,290169.0,758587.0
layered_terrain,naive_greedy,53854,3231240,2179992.6,2069642.0,2768689.0,3210158.0,286638.0,1877173.0,3524327.0
layered_terrain,surface_nets,67008,1508568,1064621.7,1020726.0,1350675.0,1459805.0,118756.1,956047.0,1656874.0
layered_terrain,dual_contouring,67008,1508568,4816783.2,4740913.0,5690389.0,6031807.0,369168.1,4331864.0,6217677.0
layered_terrain,marching_cubes,70800,2286936,1949115.4,1875963.0,2427021.0,2780619.0,226498.5,1706754.0,3046739.0
sparse_random,naive_greedy,3608,216480,557933.2,515668.0,799107.0,901127.0,95882.5,488888.0,1077376.0
sparse_random,surface_nets,1220,69240,342161.6,321738.0,442769.0,546048.0,48116.4,311888.0,695588.0
sparse_random,dual_contouring,1220,69240,1170344.7,1114886.0,1477734.0,1684033.0,142476.7,1053386.0,2090352.0
sparse_random,marching_cubes,2258,108408,247070.7,219339.0,376268.0,420688.0,53707.1,212370.0,523508.0
projectv_mix,naive_greedy,96,5760,575031.4,521268.0,870347.0,976177.0,121367.9,484988.0,1040006.0
projectv_mix,surface_nets,3906,106416,338730.3,301569.0,547848.0,612778.0,78817.8,292929.0,746437.0
projectv_mix,dual_contouring,3906,106416,1290499.7,1206435.0,1729364.0,1885423.0,200515.4,1113086.0,2088103.0
projectv_mix,marching_cubes,4402,214584,265126.7,242559.0,381339.0,440128.0,48227.7,235809.0,580708.0

# Done.
