tree,scene,side,total_bytes,non_air_voxels,bytes_per_non_air,unique_nodes,set_us_mean,set_us_p95,set_us_p99,get_ns_mean,get_ns_p95,get_ns_p99,verify_mismatches,build_ms
svdag64_no_dedup,empty_32,32,143456,987,145.3454913880446,432,0.108989,0.06,1.43,30.2839,40,50,0,0.01313
svdag64_dedup_on,empty_32,32,150368,987,152.3485309017224,432,1.16287,1.66,2.98,28.434,30,40,0,0.01403
nanovdb_like,empty_32,32,11936,439,27.189066059225514,512,0.045079,0.07,0.16,23.5149,30,30,0,0.01905
svdag64_no_dedup,solid_32,32,286816,32768,8.7529296875,521,0.04825,0.06,0.06,25.8368,30,40,0,1.12603
svdag64_dedup_on,solid_32,32,295152,32768,9.00732421875,521,0.936518,1.58,1.82,24.2549,30,40,0,20.2
nanovdb_like,solid_32,32,11936,512,23.3125,585,0.02366,0.03,0.03,22.478,30,30,0,0.282529
svdag64_no_dedup,ground_32,32,143456,4970,28.864386317907446,443,0.0412,0.05,0.07,24.1228,30,40,0,0.07462
svdag64_dedup_on,ground_32,32,150544,4970,30.290543259557346,443,0.878267,1.31,1.49,26.0839,40,50,0,2.60352
nanovdb_like,ground_32,32,11936,474,25.18143459915612,547,0.028189,0.04,0.06,22.911,30,30,12288,0.07548
svdag64_no_dedup,checkered_32,32,286816,16905,16.96634131913635,521,0.03133,0.04,0.04,30.5278,40,50,0,0.411009
svdag64_dedup_on,checkered_32,32,295152,16905,17.459449866903284,521,0.930808,1.57,1.82,29.7089,40,50,0,10.4168
nanovdb_like,checkered_32,32,11936,480,24.866666666666667,553,0.03137,0.05,0.08,23.0909,30,30,0,0.15576
svdag64_no_dedup,brick_32,32,143456,4961,28.91675065510986,440,0.04035,0.05,0.05,25.3369,40,40,0,0.076199
svdag64_dedup_on,brick_32,32,150496,4961,30.335819391251764,440,0.846928,1.2,1.28,23.2,30,30,0,2.55742
nanovdb_like,brick_32,32,11936,448,26.642857142857142,521,0.03191,0.05,0.1,23.5879,30,30,2688,0.04768
svdag64_no_dedup,voxel_lab_32,32,286816,4818,59.53009547530095,521,0.03425,0.05,0.05,23.898,30,40,0,0.12693
svdag64_dedup_on,voxel_lab_32,32,295152,4818,61.26027397260274,521,0.672698,0.75,1.18,24.625,40,40,0,2.81185
nanovdb_like,voxel_lab_32,32,11936,512,23.3125,585,0.02378,0.03,0.03,23.1608,30,30,31709,0.08478
svdag64_no_dedup,sparse_random_32,32,286816,4070,70.47076167076168,520,0.03185,0.04,0.04,22.8669,30,30,0,0.10772
svdag64_dedup_on,sparse_random_32,32,295136,4070,72.51498771498771,520,0.658358,0.68,0.73,30.6988,40,50,0,2.35216
nanovdb_like,sparse_random_32,32,11936,512,23.3125,585,0.02356,0.03,0.03,22.819,30,30,31387,0.074309
