pool,num_chunks,num_threads,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,throughput_mops
serial,256,1,0.102608,0.101179,0.107949,0.11938,0.00370906,0.100609,0.11938,1277.41
simple,256,1,0.121964,0.120519,0.12926,0.13362,0.00353465,0.11811,0.13362,1074.68
bs,256,1,0.662773,0.620257,1.16812,1.24494,0.367256,0.222399,1.24494,197.763
simple,256,4,0.245745,0.146069,0.426468,0.446188,0.125782,0.12412,0.446188,533.367
bs,256,4,0.31263,0.280108,0.710897,0.788077,0.125986,0.227669,0.788077,419.256
simple,256,16,0.702544,0.908806,1.02248,1.18392,0.326609,0.155829,1.18392,186.568
bs,256,16,0.751877,0.285659,1.97577,1.99362,0.735552,0.22719,1.99362,174.326
serial,1024,1,0.436258,0.426878,0.474388,0.562398,0.0291608,0.408438,0.562398,1201.78
simple,1024,1,0.502445,0.466608,0.702477,0.707527,0.0722343,0.454528,0.707527,1043.47
bs,1024,1,2.45531,2.26659,4.31915,4.84062,0.939848,0.892216,4.84062,213.532
simple,1024,4,0.491369,0.463698,0.483648,1.25042,0.141112,0.458629,1.25042,1066.99
bs,1024,4,1.15025,0.926017,2.67017,3.48895,0.612417,0.890476,3.48895,455.803
simple,1024,16,2.26016,2.60062,3.96016,4.07562,1.34021,0.470228,4.07562,231.969
bs,1024,16,1.75073,0.944966,7.67396,8.02609,2.07514,0.886526,8.02609,299.469
serial,4096,1,1.69531,1.69163,1.73613,1.79165,0.0267397,1.65345,1.79165,1237.03
simple,4096,1,1.84083,1.83013,1.90996,1.92672,0.0292931,1.80877,1.92672,1139.24
bs,4096,1,8.95251,8.78021,11.6407,11.9836,1.44946,6.20606,11.9836,234.253
simple,4096,4,1.8425,1.82221,2.00287,2.01922,0.0527125,1.80101,2.01922,1138.21
bs,4096,4,3.75611,3.66047,4.21606,4.57769,0.241615,3.5539,4.57769,558.331
simple,4096,16,9.39909,8.26061,17.6468,19.0364,6.47737,1.85567,19.0364,223.123
bs,4096,16,16.2163,12.9595,31.5089,31.6565,11.8811,3.64125,31.6565,129.324
serial,16384,1,7.03384,7.00281,7.63573,7.73238,0.249051,6.69303,7.73238,1192.61
simple,16384,1,7.68944,7.58177,8.42903,8.51428,0.287366,7.36813,8.51428,1090.93
bs,16384,1,35.1818,35.424,38.4176,40.7039,2.28609,30.0725,40.7039,238.436
simple,16384,4,12.1742,12.6009,14.3006,14.6004,1.56252,8.86954,14.6004,689.05
bs,16384,4,15.3122,15.2306,16.1244,16.1256,0.355706,14.8364,16.1256,547.838
simple,16384,16,40.1336,43.3032,50.6399,58.3157,10.4529,7.55526,58.3157,209.017
bs,16384,16,54.9172,58.5358,73.3549,88.8598,16.4131,14.8262,88.8598,152.75
