scene,unique_types,strategy,seed,bytes,lookup_ns,mutate_ns
uniform_air,1,A_Fixed16,0,1024.0,0.26,0.00
uniform_air,1,B_AdaptivePalette,0,258.0,1.20,37.40
uniform_air,1,C_SingleStateOpt,0,2.0,0.11,0.00
uniform_air,1,D_Direct8,0,514.0,0.39,20.18
uniform_air,1,A_Fixed16,1,1024.0,0.35,0.00
uniform_air,1,B_AdaptivePalette,1,258.0,1.20,25.83
uniform_air,1,C_SingleStateOpt,1,2.0,0.11,0.00
uniform_air,1,D_Direct8,1,514.0,0.39,19.85
uniform_air,1,A_Fixed16,2,1024.0,0.26,0.00
uniform_air,1,B_AdaptivePalette,2,258.0,1.14,25.64
uniform_air,1,C_SingleStateOpt,2,2.0,0.11,0.00
uniform_air,1,D_Direct8,2,514.0,0.38,20.50
uniform_air,1,A_Fixed16,3,1024.0,0.26,0.00
uniform_air,1,B_AdaptivePalette,3,258.0,1.16,25.86
uniform_air,1,C_SingleStateOpt,3,2.0,0.11,0.00
uniform_air,1,D_Direct8,3,514.0,0.55,34.70
uniform_air,1,A_Fixed16,4,1024.0,0.35,0.00
uniform_air,1,B_AdaptivePalette,4,258.0,1.53,55.89
uniform_air,1,C_SingleStateOpt,4,2.0,0.18,0.00
uniform_air,1,D_Direct8,4,514.0,0.86,37.04
uniform_floor,2,A_Fixed16,0,1024.0,0.39,0.00
uniform_floor,2,B_AdaptivePalette,0,260.0,1.59,52.17
uniform_floor,2,C_SingleStateOpt,0,260.0,0.19,0.00
uniform_floor,2,D_Direct8,0,516.0,0.77,38.53
uniform_floor,2,A_Fixed16,1,1024.0,0.32,0.00
uniform_floor,2,B_AdaptivePalette,1,260.0,1.63,27.44
uniform_floor,2,C_SingleStateOpt,1,260.0,0.11,0.00
uniform_floor,2,D_Direct8,1,516.0,0.39,20.19
uniform_floor,2,A_Fixed16,2,1024.0,0.26,0.00
uniform_floor,2,B_AdaptivePalette,2,260.0,1.14,26.83
uniform_floor,2,C_SingleStateOpt,2,260.0,0.11,0.00
uniform_floor,2,D_Direct8,2,516.0,0.46,26.98
uniform_floor,2,A_Fixed16,3,1024.0,0.37,0.00
uniform_floor,2,B_AdaptivePalette,3,260.0,1.15,25.50
uniform_floor,2,C_SingleStateOpt,3,260.0,0.11,0.00
uniform_floor,2,D_Direct8,3,516.0,0.38,19.90
uniform_floor,2,A_Fixed16,4,1024.0,0.26,0.00
uniform_floor,2,B_AdaptivePalette,4,260.0,1.31,30.60
uniform_floor,2,C_SingleStateOpt,4,260.0,0.11,0.00
uniform_floor,2,D_Direct8,4,516.0,0.38,20.20
forest_floor,7,A_Fixed16,0,1024.0,0.26,0.00
forest_floor,7,B_AdaptivePalette,0,270.0,1.14,37.71
forest_floor,7,C_SingleStateOpt,0,270.0,0.11,0.00
forest_floor,7,D_Direct8,0,526.0,0.39,22.05
forest_floor,7,A_Fixed16,1,1024.0,0.27,0.00
forest_floor,7,B_AdaptivePalette,1,270.0,1.14,28.06
forest_floor,7,C_SingleStateOpt,1,270.0,0.11,0.00
forest_floor,7,D_Direct8,1,526.0,0.39,22.73
forest_floor,7,A_Fixed16,2,1024.0,0.26,0.00
forest_floor,7,B_AdaptivePalette,2,270.0,1.14,27.81
forest_floor,7,C_SingleStateOpt,2,270.0,0.11,0.00
forest_floor,7,D_Direct8,2,526.0,0.38,21.60
forest_floor,7,A_Fixed16,3,1024.0,0.26,0.00
forest_floor,7,B_AdaptivePalette,3,270.0,1.19,27.70
forest_floor,7,C_SingleStateOpt,3,270.0,0.11,0.00
forest_floor,7,D_Direct8,3,526.0,0.48,26.40
forest_floor,7,A_Fixed16,4,1024.0,0.35,0.00
forest_floor,7,B_AdaptivePalette,4,270.0,1.59,53.10
forest_floor,7,C_SingleStateOpt,4,270.0,0.17,0.00
forest_floor,7,D_Direct8,4,526.0,0.39,21.92
cave_stress,12,A_Fixed16,0,1024.0,0.26,0.00
