Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,LeftWingHealth,EngineHealth,WingSevered
A_SpheroidHitboxes_Euler,direct_wing_hit,20,0,134.00,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,20,1,128.25,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,20,2,128.15,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,20,3,127.89,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,20,4,127.80,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,20,0,127.30,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,20,1,126.80,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,20,2,126.25,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,20,3,125.30,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,20,4,127.15,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,20,0,124.95,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,20,1,124.80,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,20,2,154.60,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,20,3,155.20,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,20,4,171.65,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,20,0,130.10,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,20,1,130.15,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,20,2,155.75,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,20,3,148.15,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,20,4,180.25,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,20,0,169.70,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,20,1,177.00,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,20,2,176.90,1,1.0000,1.0000,0
