config,scene,seed,iterations,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,min_ms,max_ms,rays_traced,voxels_traversed,cache_hits,budget_utilization_pct
A_no_geom,cave,1,1000,0.0001519,0.00015,0.00015,0.00018,0.000177237,0.00014,0.00574,0,0,0,0.000456156
A_no_geom,cave,7,1000,0.00017821,0.00015,0.00031,0.00032,5.7176e-05,0.00014,0.00043,0,0,0,0.000535165
A_no_geom,cave,42,1000,0.000143511,0.00014,0.00015,0.00015,7.01241e-06,0.00014,0.00029,0,0,0,0.000430964
A_no_geom,open_plains,1,1000,0.0001478,0.00015,0.00015,0.00028,1.89145e-05,0.00014,0.00031,0,0,0,0.000443844
A_no_geom,open_plains,7,1000,0.000179551,0.00018,0.00019,0.00019,0.000319456,0.00014,0.00885,0,0,0,0.000539192
A_no_geom,open_plains,42,1000,0.00014686,0.00015,0.00015,0.00015,6.67386e-06,0.00014,0.00027,0,0,0,0.000441021
A_no_geom,multi_room,1,1000,0.000157261,0.00015,0.00027,0.00031,3.65086e-05,0.00014,0.00036,0,0,0,0.000472255
A_no_geom,multi_room,7,1000,0.0001482,0.00015,0.00015,0.00015,6.85274e-06,0.00014,0.0003,0,0,0,0.000445045
A_no_geom,multi_room,42,1000,0.000145781,0.00015,0.00015,0.00015,7.60138e-06,0.00014,0.0003,0,0,0,0.000437781
B_occlusion,cave,1,1000,0.0155355,0.01333,0.02376,0.03135,0.00388553,0.01315,0.04228,64000,3288000,0,0.0466532
B_occlusion,cave,7,1000,0.0143536,0.01372,0.01918,0.02304,0.00214348,0.01364,0.04195,64000,3288000,0,0.0431038
B_occlusion,cave,42,1000,0.0145187,0.01377,0.02008,0.02467,0.0023606,0.01369,0.03945,64000,3288000,0,0.0435997
B_occlusion,open_plains,1,1000,0.0133913,0.01154,0.02115,0.02629,0.00325409,0.01114,0.03941,64000,2680000,0,0.0402142
B_occlusion,open_plains,7,1000,0.0135943,0.0117,0.02088,0.02605,0.00470433,0.01123,0.07003,64000,2680000,0,0.0408236
B_occlusion,open_plains,42,1000,0.013387,0.01163,0.01914,0.02371,0.00260704,0.01143,0.03569,64000,2680000,0,0.0402013
B_occlusion,multi_room,1,1000,0.00846558,0.00761,0.01347,0.014,0.00199106,0.00755,0.025391,64000,3288000,0,0.0254222
B_occlusion,multi_room,7,1000,0.00867168,0.00767,0.01333,0.01405,0.00207055,0.00756,0.02792,64000,3288000,0,0.0260411
B_occlusion,multi_room,42,1000,0.00814493,0.00784,0.01104,0.01294,0.00110746,0.00776,0.01833,64000,3288000,0,0.0244593
C_full_hybrid,cave,1,1000,16.5016,16.195,18.834,20.0294,1.17047,14.6963,21.6509,3131625,0,0,49.5545
C_full_hybrid,cave,7,1000,17.4296,17.1967,19.7555,21.1443,1.1776,15.2767,22.0484,3018695,0,0,52.3413
C_full_hybrid,cave,42,1000,17.5076,17.3435,19.8337,21.3352,1.29849,15.2282,23.6959,3008392,0,0,52.5753
C_full_hybrid,open_plains,1,1000,13.8064,13.6286,15.1972,16.4646,0.738865,12.8631,21.2417,2112000,0,0,41.4608
C_full_hybrid,open_plains,7,1000,13.1494,13.0275,14.0395,15.4258,0.520646,12.582,18.2613,2112000,0,0,39.4878
C_full_hybrid,open_plains,42,1000,14.4049,14.1863,15.9322,17.1109,0.774403,13.39,19.941,2112000,0,0,43.2581
C_full_hybrid,multi_room,1,1000,6.06504,5.89834,7.20936,8.04736,0.59039,5.32741,8.93237,8916445,0,0,18.2133
C_full_hybrid,multi_room,7,1000,6.63234,6.50294,7.80002,8.28854,0.577474,5.80034,8.95347,8923226,0,0,19.9169
C_full_hybrid,multi_room,42,1000,6.33327,6.15996,7.68199,8.78442,0.664464,5.39533,9.55682,8925215,0,0,19.0188
D_full_cached,cave,1,1000,18.7764,16.986,28.0711,55.6524,6.51543,15.3515,86.7935,3131846,0,0,56.3856
D_full_cached,cave,7,1000,28.4312,27.7321,54.63,62.1247,11.5851,15.1003,69.5868,3018365,0,0,85.3789
D_full_cached,cave,42,1000,16.1999,15.9347,18.2351,19.5616,0.950547,14.8386,20.9827,3008204,0,0,48.6484
D_full_cached,open_plains,1,1000,14.137,13.9809,15.401,17.1883,0.868567,13.0461,24.0699,2112000,0,0,42.4533
D_full_cached,open_plains,7,1000,14.218,13.9721,16.1246,17.3976,0.969312,12.6973,20.2711,2112000,0,0,42.6966
D_full_cached,open_plains,42,1000,14.7211,14.6176,16.0263,17.2366,0.732704,13.4492,20.1873,2112000,0,0,44.2074
D_full_cached,multi_room,1,1000,5.80254,5.74501,6.85685,7.68257,0.619209,4.18701,9.04613,8915954,0,0,17.425
D_full_cached,multi_room,7,1000,6.28485,6.21424,7.39038,7.9635,0.585777,4.84203,8.4953,8923537,0,0,18.8734
D_full_cached,multi_room,42,1000,5.82463,5.71535,7.09752,8.31388,0.719127,4.40748,9.14158,8925201,0,0,17.4914
