scene,strategy,seed,rotation,entries,sortTimeUs,quality,psnrDb,framesSorted,totalInversions
no_translucent,A_PerFrame,1,still,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,1,slow,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,1,medium,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,7,still,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,7,slow,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,7,medium,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,42,still,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,42,slow,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,42,medium,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,1234,still,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,1234,slow,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,1234,medium,0,0.020,1.000000,45.00,1000,0
no_translucent,A_PerFrame,31337,still,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,31337,slow,0,0.021,1.000000,45.00,1000,0
no_translucent,A_PerFrame,31337,medium,0,0.020,1.000000,45.00,1000,0
no_translucent,B_Every4,1,still,0,0.020,1.000000,45.00,200,0
no_translucent,B_Every4,1,slow,0,0.052,1.000000,45.00,200,0
no_translucent,B_Every4,1,medium,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,7,still,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,7,slow,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,7,medium,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,42,still,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,42,slow,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,42,medium,0,0.021,1.000000,45.00,200,0
no_translucent,B_Every4,1234,still,0,0.020,1.000000,45.00,200,0
no_translucent,B_Every4,1234,slow,0,0.021,1.000000,45.00,200,0
