scene,format,reverse_z,width,height,view_distance_m,vram_depth_mib,vram_hzb_mib,vram_total_mib,psnr_db,mean_cull_error,false_culled,total_boxes
forest,D32_SFLOAT,0,1280,720,64,3.51562,4.68731,8.20293,100,0,0,3200
forest,D16_UNORM,0,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
forest,D16_UNORM_REVERSE_Z,1,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
forest,D32_SFLOAT,0,1280,720,128,3.51562,4.68731,8.20293,100,0,0,3200
forest,D16_UNORM,0,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
forest,D16_UNORM_REVERSE_Z,1,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
forest,D32_SFLOAT,0,1280,720,256,3.51562,4.68731,8.20293,100,0,0,3200
forest,D16_UNORM,0,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
forest,D16_UNORM_REVERSE_Z,1,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
forest,D32_SFLOAT,0,1920,1080,64,7.91016,10.5462,18.4563,100,0,0,3200
forest,D16_UNORM,0,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
forest,D16_UNORM_REVERSE_Z,1,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
forest,D32_SFLOAT,0,1920,1080,128,7.91016,10.5462,18.4563,100,0,0,3200
forest,D16_UNORM,0,1920,1080,128,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
forest,D16_UNORM_REVERSE_Z,1,1920,1080,128,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
forest,D32_SFLOAT,0,1920,1080,256,7.91016,10.5462,18.4563,100,0,0,3200
forest,D16_UNORM,0,1920,1080,256,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
forest,D16_UNORM_REVERSE_Z,1,1920,1080,256,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
cave,D32_SFLOAT,0,1280,720,64,3.51562,4.68731,8.20293,100,0,0,3200
cave,D16_UNORM,0,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
cave,D16_UNORM_REVERSE_Z,1,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
cave,D32_SFLOAT,0,1280,720,128,3.51562,4.68731,8.20293,100,0,0,3200
cave,D16_UNORM,0,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
cave,D16_UNORM_REVERSE_Z,1,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
cave,D32_SFLOAT,0,1280,720,256,3.51562,4.68731,8.20293,100,0,0,3200
cave,D16_UNORM,0,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
cave,D16_UNORM_REVERSE_Z,1,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
cave,D32_SFLOAT,0,1920,1080,64,7.91016,10.5462,18.4563,100,0,0,3200
cave,D16_UNORM,0,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
cave,D16_UNORM_REVERSE_Z,1,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
cave,D32_SFLOAT,0,1920,1080,128,7.91016,10.5462,18.4563,100,0,0,3200
cave,D16_UNORM,0,1920,1080,128,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
cave,D16_UNORM_REVERSE_Z,1,1920,1080,128,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
cave,D32_SFLOAT,0,1920,1080,256,7.91016,10.5462,18.4563,100,0,0,3200
cave,D16_UNORM,0,1920,1080,256,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
cave,D16_UNORM_REVERSE_Z,1,1920,1080,256,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
uniform,D32_SFLOAT,0,1280,720,64,3.51562,4.68731,8.20293,100,0,0,3200
uniform,D16_UNORM,0,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
uniform,D16_UNORM_REVERSE_Z,1,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
uniform,D32_SFLOAT,0,1280,720,128,3.51562,4.68731,8.20293,100,0,0,3200
uniform,D16_UNORM,0,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
uniform,D16_UNORM_REVERSE_Z,1,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
uniform,D32_SFLOAT,0,1280,720,256,3.51562,4.68731,8.20293,100,0,0,3200
uniform,D16_UNORM,0,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
uniform,D16_UNORM_REVERSE_Z,1,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
uniform,D32_SFLOAT,0,1920,1080,64,7.91016,10.5462,18.4563,100,0,0,3200
uniform,D16_UNORM,0,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
uniform,D16_UNORM_REVERSE_Z,1,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
uniform,D32_SFLOAT,0,1920,1080,128,7.91016,10.5462,18.4563,100,0,0,3200
uniform,D16_UNORM,0,1920,1080,128,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
uniform,D16_UNORM_REVERSE_Z,1,1920,1080,128,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
uniform,D32_SFLOAT,0,1920,1080,256,7.91016,10.5462,18.4563,100,0,0,3200
uniform,D16_UNORM,0,1920,1080,256,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
uniform,D16_UNORM_REVERSE_Z,1,1920,1080,256,3.95508,5.27309,9.22817,107.12,3.81528e-06,0,3200
mixed,D32_SFLOAT,0,1280,720,64,3.51562,4.68731,8.20293,100,0,0,3200
mixed,D16_UNORM,0,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
mixed,D16_UNORM_REVERSE_Z,1,1280,720,64,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
mixed,D32_SFLOAT,0,1280,720,128,3.51562,4.68731,8.20293,100,0,0,3200
mixed,D16_UNORM,0,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
mixed,D16_UNORM_REVERSE_Z,1,1280,720,128,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
mixed,D32_SFLOAT,0,1280,720,256,3.51562,4.68731,8.20293,100,0,0,3200
mixed,D16_UNORM,0,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81617e-06,0,3200
mixed,D16_UNORM_REVERSE_Z,1,1280,720,256,1.75781,2.34365,4.10147,107.118,3.81627e-06,0,3200
mixed,D32_SFLOAT,0,1920,1080,64,7.91016,10.5462,18.4563,100,0,0,3200
mixed,D16_UNORM,0,1920,1080,64,3.95508,5.27309,9.22817,107.12,3.81525e-06,0,3200
