Scene,Strategy,Seed,Mean_us,Median_us,p95_us,p99_us,Std_us,Accuracy,VoxelCount
small_house,A_NaiveGlobalBFS,1,55.4477,48.15,83.12,93.69,12.9599,1,1249
small_house,B_HierarchicalCclDsu,1,55.8905,48.1,85.5,98.68,14.3256,1,1249
small_house,C_LocalSplitBFS,1,99.0468,87.529,162.139,227.619,37.0185,1,1249
small_house,D_StressPropagation,1,235.769,216.709,301.879,388.288,53.3826,1,1249
small_house,E_Hybrid_AABB,1,127.366,128.54,215.399,249.089,41.6489,1,1249
small_house,A_NaiveGlobalBFS,7,59.3967,50.08,88.14,100.029,15.3049,1,1249
small_house,B_HierarchicalCclDsu,7,58.6201,50.5,89.519,102.1,15.3588,1,1249
small_house,C_LocalSplitBFS,7,113.915,111.059,183.929,249.88,41.8213,1,1249
small_house,D_StressPropagation,7,240.2,221.989,313.688,401.288,41.1194,1,1249
small_house,E_Hybrid_AABB,7,129.166,133.01,212.539,242.729,43.0025,1,1249
small_house,A_NaiveGlobalBFS,42,57.1711,49.97,85,89.16,13.1164,1,1249
small_house,B_HierarchicalCclDsu,42,60.0333,49.31,92.24,109.28,19.1652,1,1249
small_house,C_LocalSplitBFS,42,112.034,104.849,183.77,252.989,41.848,1,1249
small_house,D_StressPropagation,42,240.71,221.809,312.619,443.678,43.0259,1,1249
small_house,E_Hybrid_AABB,42,142.504,137.839,234.889,261.669,50.1914,1,1249
small_house,A_NaiveGlobalBFS,1234,56.6031,51.12,84.519,92.769,12.2625,1,1249
small_house,B_HierarchicalCclDsu,1234,60.2572,49.059,93.97,114.089,43.3633,1,1249
small_house,C_LocalSplitBFS,1234,120.674,112.509,223.69,270.03,47.7128,1,1249
small_house,D_StressPropagation,1234,238.455,220.419,311.539,369.568,41.1012,1,1249
small_house,E_Hybrid_AABB,1234,133.085,133.26,216.849,254.469,40.52,1,1249
small_house,A_NaiveGlobalBFS,31337,72.1089,72.59,92.03,113.019,54.7567,1,1249
small_house,B_HierarchicalCclDsu,31337,68.2472,53.75,91.83,131.119,152.644,1,1249
small_house,C_LocalSplitBFS,31337,136.303,125.659,247.409,326.339,57.2716,1,1249
small_house,D_StressPropagation,31337,246.965,229.019,324.589,393.809,44.1736,1,1249
small_house,E_Hybrid_AABB,31337,126.402,130.06,202.679,239.599,39.1314,1,1249
bridge,A_NaiveGlobalBFS,1,43.7496,39.6,67.31,75.669,12.6559,1,1248
bridge,B_HierarchicalCclDsu,1,45.4668,41.2,71.32,83.529,13.1781,1,1248
bridge,C_LocalSplitBFS,1,80.9879,75.489,141.48,208.339,37.3824,1,1248
bridge,D_StressPropagation,1,233.351,210.789,307.509,403.738,52.4906,1,1248
bridge,E_Hybrid_AABB,1,63.7271,58.51,112.65,127.239,19.5036,1,1248
bridge,A_NaiveGlobalBFS,7,47.7104,39.31,68.77,93.41,19.4152,1,1248
bridge,B_HierarchicalCclDsu,7,47.1646,41.14,73.14,114.679,34.5635,1,1248
bridge,C_LocalSplitBFS,7,83.9156,78.74,147.92,200.039,35.0582,1,1248
bridge,D_StressPropagation,7,225.639,207.84,298.529,356.028,37.7091,1,1248
bridge,E_Hybrid_AABB,7,61.5262,57.16,96.009,114.149,14.7526,1,1248
bridge,A_NaiveGlobalBFS,42,40.6328,37.409,58.46,70.14,7.60893,1,1248
bridge,B_HierarchicalCclDsu,42,46.7255,41.93,72.07,87.619,10.759,1,1248
bridge,C_LocalSplitBFS,42,71.7241,63.14,136.619,179.869,34.218,1,1248
bridge,D_StressPropagation,42,221.227,201.859,294.869,365.149,36.8789,1,1248
bridge,E_Hybrid_AABB,42,61.4576,56.169,107.06,143.14,20.2119,1,1248
bridge,A_NaiveGlobalBFS,1234,41.5954,37.5,60.65,67.3,7.4672,1,1248
bridge,B_HierarchicalCclDsu,1234,47.2353,40.77,78.859,84.069,12.9566,1,1248
bridge,C_LocalSplitBFS,1234,74.4545,74.3,135.21,184.96,32.8306,1,1248
bridge,D_StressPropagation,1234,219.205,201.749,289.259,346.709,33.7612,1,1248
bridge,E_Hybrid_AABB,1234,60.2139,55.18,94.99,127.139,16.7731,1,1248
bridge,A_NaiveGlobalBFS,31337,43.1281,37.87,65.89,76.679,9.53474,1,1248
bridge,B_HierarchicalCclDsu,31337,44.5648,40.41,69.239,74.33,8.94459,1,1248
bridge,C_LocalSplitBFS,31337,75.9926,72.29,142.79,194.009,32.5407,1,1248
