shader,toolchain,iter,compile_ms,spv_size_bytes,validation_pass
voxel_minimal.vert,glslc,1,123.931,3340,1
voxel_minimal.vert,glslc,2,123.526,3340,1
voxel_minimal.vert,glslc,3,121.912,3340,1
voxel_minimal.vert,glslc,4,116.598,3340,1
voxel_minimal.vert,glslc,5,116.789,3340,1
voxel_minimal.vert,glslc,6,112.885,3340,1
voxel_minimal.vert,glslc,7,122.069,3340,1
voxel_minimal.vert,glslc,8,115.601,3340,1
voxel_minimal.vert,glslc,9,115.625,3340,1
voxel_minimal.vert,glslc,10,119.385,3340,1
voxel_minimal.vert,glslc,11,114.727,3340,1
voxel_minimal.vert,glslc,12,114.507,3340,1
voxel_minimal.vert,glslc,13,115.857,3340,1
voxel_minimal.vert,glslc,14,119.852,3340,1
voxel_minimal.vert,glslc,15,120.013,3340,1
voxel_minimal.vert,glslc,16,121.691,3340,1
voxel_minimal.vert,glslc,17,117.266,3340,1
voxel_minimal.vert,glslc,18,116.533,3340,1
voxel_minimal.vert,glslc,19,117.734,3340,1
voxel_minimal.vert,glslc,20,117.742,3340,1
voxel_minimal.vert,glslc,21,113.647,3340,1
voxel_minimal.vert,glslc,22,116.670,3340,1
voxel_minimal.vert,glslc,23,115.663,3340,1
voxel_minimal.vert,glslc,24,110.159,3340,1
voxel_minimal.vert,glslc,25,115.474,3340,1
voxel_minimal.vert,glslc,26,119.499,3340,1
voxel_minimal.vert,glslc,27,114.543,3340,1
voxel_minimal.vert,glslc,28,115.845,3340,1
voxel_minimal.vert,glslc,29,112.431,3340,1
voxel_minimal.vert,glslc,30,119.169,3340,1
voxel_minimal.vert,dxc,1,9.655,2736,1
voxel_minimal.vert,dxc,2,10.207,2736,1
voxel_minimal.vert,dxc,3,10.190,2736,1
voxel_minimal.vert,dxc,4,10.264,2736,1
voxel_minimal.vert,dxc,5,10.383,2736,1
voxel_minimal.vert,dxc,6,10.146,2736,1
voxel_minimal.vert,dxc,7,10.980,2736,1
voxel_minimal.vert,dxc,8,10.973,2736,1
voxel_minimal.vert,dxc,9,11.064,2736,1
voxel_minimal.vert,dxc,10,11.994,2736,1
voxel_minimal.vert,dxc,11,11.214,2736,1
voxel_minimal.vert,dxc,12,11.764,2736,1
voxel_minimal.vert,dxc,13,10.976,2736,1
voxel_minimal.vert,dxc,14,10.934,2736,1
voxel_minimal.vert,dxc,15,11.456,2736,1
voxel_minimal.vert,dxc,16,10.874,2736,1
voxel_minimal.vert,dxc,17,10.924,2736,1
voxel_minimal.vert,dxc,18,9.747,2736,1
voxel_minimal.vert,dxc,19,11.302,2736,1
voxel_minimal.vert,dxc,20,10.881,2736,1
voxel_minimal.vert,dxc,21,10.295,2736,1
voxel_minimal.vert,dxc,22,11.377,2736,1
voxel_minimal.vert,dxc,23,11.133,2736,1
voxel_minimal.vert,dxc,24,10.385,2736,1
voxel_minimal.vert,dxc,25,9.842,2736,1
voxel_minimal.vert,dxc,26,11.480,2736,1
voxel_minimal.vert,dxc,27,10.480,2736,1
voxel_minimal.vert,dxc,28,10.563,2736,1
voxel_minimal.vert,dxc,29,9.729,2736,1
voxel_minimal.vert,dxc,30,11.306,2736,1
voxel_minimal.frag,glslc,1,121.068,3888,1
voxel_minimal.frag,glslc,2,115.219,3888,1
voxel_minimal.frag,glslc,3,115.406,3888,1
voxel_minimal.frag,glslc,4,120.151,3888,1
voxel_minimal.frag,glslc,5,126.576,3888,1
voxel_minimal.frag,glslc,6,116.764,3888,1
voxel_minimal.frag,glslc,7,129.423,3888,1
voxel_minimal.frag,glslc,8,121.832,3888,1
voxel_minimal.frag,glslc,9,117.671,3888,1
voxel_minimal.frag,glslc,10,120.341,3888,1
voxel_minimal.frag,glslc,11,123.596,3888,1
voxel_minimal.frag,glslc,12,119.022,3888,1
voxel_minimal.frag,glslc,13,125.672,3888,1
voxel_minimal.frag,glslc,14,127.805,3888,1
voxel_minimal.frag,glslc,15,119.709,3888,1
voxel_minimal.frag,glslc,16,129.067,3888,1
voxel_minimal.frag,glslc,17,128.294,3888,1
voxel_minimal.frag,glslc,18,118.715,3888,1
voxel_minimal.frag,glslc,19,114.138,3888,1
voxel_minimal.frag,glslc,20,116.360,3888,1
voxel_minimal.frag,glslc,21,115.281,3888,1
voxel_minimal.frag,glslc,22,125.947,3888,1
voxel_minimal.frag,glslc,23,120.533,3888,1
voxel_minimal.frag,glslc,24,126.762,3888,1
voxel_minimal.frag,glslc,25,132.085,3888,1
voxel_minimal.frag,glslc,26,122.276,3888,1
voxel_minimal.frag,glslc,27,120.990,3888,1
voxel_minimal.frag,glslc,28,128.498,3888,1
voxel_minimal.frag,glslc,29,118.128,3888,1
voxel_minimal.frag,glslc,30,119.846,3888,1
voxel_minimal.frag,dxc,1,11.991,3056,1
voxel_minimal.frag,dxc,2,12.532,3056,1
voxel_minimal.frag,dxc,3,12.490,3056,1
voxel_minimal.frag,dxc,4,12.152,3056,1
voxel_minimal.frag,dxc,5,11.187,3056,1
voxel_minimal.frag,dxc,6,13.330,3056,1
voxel_minimal.frag,dxc,7,12.885,3056,1
voxel_minimal.frag,dxc,8,12.870,3056,1
voxel_minimal.frag,dxc,9,11.726,3056,1
voxel_minimal.frag,dxc,10,12.584,3056,1
voxel_minimal.frag,dxc,11,12.025,3056,1
voxel_minimal.frag,dxc,12,12.711,3056,1
voxel_minimal.frag,dxc,13,12.735,3056,1
voxel_minimal.frag,dxc,14,12.517,3056,1
voxel_minimal.frag,dxc,15,11.745,3056,1
voxel_minimal.frag,dxc,16,12.361,3056,1
voxel_minimal.frag,dxc,17,11.755,3056,1
voxel_minimal.frag,dxc,18,10.811,3056,1
voxel_minimal.frag,dxc,19,11.675,3056,1
voxel_minimal.frag,dxc,20,13.062,3056,1
voxel_minimal.frag,dxc,21,10.707,3056,1
voxel_minimal.frag,dxc,22,12.845,3056,1
voxel_minimal.frag,dxc,23,11.549,3056,1
voxel_minimal.frag,dxc,24,11.030,3056,1
voxel_minimal.frag,dxc,25,11.125,3056,1
voxel_minimal.frag,dxc,26,12.670,3056,1
voxel_minimal.frag,dxc,27,11.680,3056,1
voxel_minimal.frag,dxc,28,12.558,3056,1
voxel_minimal.frag,dxc,29,13.057,3056,1
voxel_minimal.frag,dxc,30,12.429,3056,1
voxel_mesh_minimal.mesh,glslc,1,121.039,6804,1
voxel_mesh_minimal.mesh,glslc,2,145.508,6804,1
voxel_mesh_minimal.mesh,glslc,3,116.062,6804,1
voxel_mesh_minimal.mesh,glslc,4,124.647,6804,1
voxel_mesh_minimal.mesh,glslc,5,121.484,6804,1
voxel_mesh_minimal.mesh,glslc,6,124.362,6804,1
voxel_mesh_minimal.mesh,glslc,7,122.158,6804,1
voxel_mesh_minimal.mesh,glslc,8,123.084,6804,1
voxel_mesh_minimal.mesh,glslc,9,127.004,6804,1
voxel_mesh_minimal.mesh,glslc,10,158.355,6804,1
voxel_mesh_minimal.mesh,glslc,11,120.222,6804,1
voxel_mesh_minimal.mesh,glslc,12,120.216,6804,1
voxel_mesh_minimal.mesh,glslc,13,119.773,6804,1
voxel_mesh_minimal.mesh,glslc,14,128.093,6804,1
voxel_mesh_minimal.mesh,glslc,15,122.638,6804,1
voxel_mesh_minimal.mesh,glslc,16,121.141,6804,1
voxel_mesh_minimal.mesh,glslc,17,121.825,6804,1
voxel_mesh_minimal.mesh,glslc,18,112.561,6804,1
voxel_mesh_minimal.mesh,glslc,19,117.596,6804,1
voxel_mesh_minimal.mesh,glslc,20,126.341,6804,1
voxel_mesh_minimal.mesh,glslc,21,121.972,6804,1
voxel_mesh_minimal.mesh,glslc,22,124.309,6804,1
voxel_mesh_minimal.mesh,glslc,23,123.007,6804,1
voxel_mesh_minimal.mesh,glslc,24,116.070,6804,1
voxel_mesh_minimal.mesh,glslc,25,129.345,6804,1
voxel_mesh_minimal.mesh,glslc,26,121.876,6804,1
voxel_mesh_minimal.mesh,glslc,27,131.799,6804,1
voxel_mesh_minimal.mesh,glslc,28,129.952,6804,1
voxel_mesh_minimal.mesh,glslc,29,122.591,6804,1
voxel_mesh_minimal.mesh,glslc,30,127.940,6804,1
voxel_mesh_minimal.mesh,dxc,1,13.085,3904,1
voxel_mesh_minimal.mesh,dxc,2,13.091,3904,1
voxel_mesh_minimal.mesh,dxc,3,12.021,3904,1
voxel_mesh_minimal.mesh,dxc,4,14.154,3904,1
voxel_mesh_minimal.mesh,dxc,5,12.837,3904,1
voxel_mesh_minimal.mesh,dxc,6,12.997,3904,1
voxel_mesh_minimal.mesh,dxc,7,14.416,3904,1
voxel_mesh_minimal.mesh,dxc,8,15.300,3904,1
voxel_mesh_minimal.mesh,dxc,9,13.635,3904,1
voxel_mesh_minimal.mesh,dxc,10,13.355,3904,1
voxel_mesh_minimal.mesh,dxc,11,14.864,3904,1
voxel_mesh_minimal.mesh,dxc,12,14.894,3904,1
voxel_mesh_minimal.mesh,dxc,13,13.004,3904,1
voxel_mesh_minimal.mesh,dxc,14,14.062,3904,1
voxel_mesh_minimal.mesh,dxc,15,13.702,3904,1
voxel_mesh_minimal.mesh,dxc,16,12.880,3904,1
voxel_mesh_minimal.mesh,dxc,17,13.723,3904,1
voxel_mesh_minimal.mesh,dxc,18,13.803,3904,1
voxel_mesh_minimal.mesh,dxc,19,12.515,3904,1
voxel_mesh_minimal.mesh,dxc,20,13.061,3904,1
voxel_mesh_minimal.mesh,dxc,21,12.691,3904,1
voxel_mesh_minimal.mesh,dxc,22,12.390,3904,1
voxel_mesh_minimal.mesh,dxc,23,13.395,3904,1
voxel_mesh_minimal.mesh,dxc,24,13.932,3904,1
voxel_mesh_minimal.mesh,dxc,25,11.984,3904,1
voxel_mesh_minimal.mesh,dxc,26,14.485,3904,1
voxel_mesh_minimal.mesh,dxc,27,14.008,3904,1
voxel_mesh_minimal.mesh,dxc,28,13.870,3904,1
voxel_mesh_minimal.mesh,dxc,29,12.881,3904,1
voxel_mesh_minimal.mesh,dxc,30,13.343,3904,1
hzb_cull_minimal.comp,glslc,1,121.269,4272,1
hzb_cull_minimal.comp,glslc,2,119.959,4272,1
hzb_cull_minimal.comp,glslc,3,124.189,4272,1
hzb_cull_minimal.comp,glslc,4,122.171,4272,1
hzb_cull_minimal.comp,glslc,5,123.097,4272,1
hzb_cull_minimal.comp,glslc,6,130.941,4272,1
hzb_cull_minimal.comp,glslc,7,128.058,4272,1
hzb_cull_minimal.comp,glslc,8,117.604,4272,1
hzb_cull_minimal.comp,glslc,9,124.388,4272,1
