shader,mode,toolchain,iter,compile_ms,spv_size_bytes,validation_pass,spirv_inst_count
voxel_minimal.vert,default,glslc,1,114.462,3340,1,182
voxel_minimal.vert,default,glslc,2,107.566,3340,1,182
voxel_minimal.vert,default,glslc,3,107.484,3340,1,182
voxel_minimal.vert,default,glslc,4,115.360,3340,1,182
voxel_minimal.vert,default,glslc,5,111.991,3340,1,182
voxel_minimal.vert,default,glslc,6,113.329,3340,1,182
voxel_minimal.vert,default,glslc,7,112.217,3340,1,182
voxel_minimal.vert,default,glslc,8,118.679,3340,1,182
voxel_minimal.vert,default,glslc,9,111.333,3340,1,182
voxel_minimal.vert,default,glslc,10,114.242,3340,1,182
voxel_minimal.vert,default,glslc,11,109.497,3340,1,182
voxel_minimal.vert,default,glslc,12,113.958,3340,1,182
voxel_minimal.vert,default,glslc,13,112.402,3340,1,182
voxel_minimal.vert,default,glslc,14,113.081,3340,1,182
voxel_minimal.vert,default,glslc,15,109.165,3340,1,182
voxel_minimal.vert,default,glslc,16,105.911,3340,1,182
voxel_minimal.vert,default,glslc,17,110.579,3340,1,182
voxel_minimal.vert,default,glslc,18,113.327,3340,1,182
voxel_minimal.vert,default,glslc,19,113.888,3340,1,182
voxel_minimal.vert,default,glslc,20,111.227,3340,1,182
voxel_minimal.vert,default,dxc,1,9.998,2736,1,146
voxel_minimal.vert,default,dxc,2,10.925,2736,1,146
voxel_minimal.vert,default,dxc,3,11.145,2736,1,146
voxel_minimal.vert,default,dxc,4,9.896,2736,1,146
voxel_minimal.vert,default,dxc,5,11.393,2736,1,146
voxel_minimal.vert,default,dxc,6,11.744,2736,1,146
voxel_minimal.vert,default,dxc,7,10.154,2736,1,146
voxel_minimal.vert,default,dxc,8,10.898,2736,1,146
voxel_minimal.vert,default,dxc,9,11.504,2736,1,146
voxel_minimal.vert,default,dxc,10,11.140,2736,1,146
voxel_minimal.vert,default,dxc,11,10.440,2736,1,146
voxel_minimal.vert,default,dxc,12,10.916,2736,1,146
voxel_minimal.vert,default,dxc,13,11.318,2736,1,146
voxel_minimal.vert,default,dxc,14,10.725,2736,1,146
voxel_minimal.vert,default,dxc,15,10.583,2736,1,146
voxel_minimal.vert,default,dxc,16,12.051,2736,1,146
voxel_minimal.vert,default,dxc,17,10.648,2736,1,146
voxel_minimal.vert,default,dxc,18,11.151,2736,1,146
voxel_minimal.vert,default,dxc,19,11.402,2736,1,146
voxel_minimal.vert,default,dxc,20,10.889,2736,1,146
voxel_minimal.vert,debug,glslc,1,111.820,5208,1,244
voxel_minimal.vert,debug,glslc,2,115.988,5208,1,244
voxel_minimal.vert,debug,glslc,3,113.850,5208,1,244
voxel_minimal.vert,debug,glslc,4,110.275,5208,1,244
voxel_minimal.vert,debug,glslc,5,122.837,5208,1,244
voxel_minimal.vert,debug,glslc,6,111.650,5208,1,244
voxel_minimal.vert,debug,glslc,7,111.795,5208,1,244
voxel_minimal.vert,debug,glslc,8,115.131,5208,1,244
voxel_minimal.vert,debug,glslc,9,116.006,5208,1,244
voxel_minimal.vert,debug,glslc,10,114.058,5208,1,244
voxel_minimal.vert,debug,glslc,11,112.748,5208,1,244
voxel_minimal.vert,debug,glslc,12,113.867,5208,1,244
voxel_minimal.vert,debug,glslc,13,121.881,5208,1,244
voxel_minimal.vert,debug,glslc,14,108.895,5208,1,244
voxel_minimal.vert,debug,glslc,15,108.310,5208,1,244
voxel_minimal.vert,debug,glslc,16,113.004,5208,1,244
voxel_minimal.vert,debug,glslc,17,109.074,5208,1,244
voxel_minimal.vert,debug,glslc,18,108.575,5208,1,244
voxel_minimal.vert,debug,glslc,19,116.259,5208,1,244
voxel_minimal.vert,debug,glslc,20,113.230,5208,1,244
voxel_minimal.vert,debug,dxc,1,11.702,5136,1,220
voxel_minimal.vert,debug,dxc,2,11.449,5136,1,220
voxel_minimal.vert,debug,dxc,3,12.365,5136,1,220
voxel_minimal.vert,debug,dxc,4,12.516,5136,1,220
voxel_minimal.vert,debug,dxc,5,12.813,5136,1,220
voxel_minimal.vert,debug,dxc,6,11.579,5136,1,220
voxel_minimal.vert,debug,dxc,7,12.256,5136,1,220
voxel_minimal.vert,debug,dxc,8,12.091,5136,1,220
voxel_minimal.vert,debug,dxc,9,12.550,5136,1,220
voxel_minimal.vert,debug,dxc,10,11.755,5136,1,220
voxel_minimal.vert,debug,dxc,11,11.741,5136,1,220
voxel_minimal.vert,debug,dxc,12,12.800,5136,1,220
voxel_minimal.vert,debug,dxc,13,11.671,5136,1,220
voxel_minimal.vert,debug,dxc,14,13.265,5136,1,220
voxel_minimal.vert,debug,dxc,15,12.958,5136,1,220
voxel_minimal.vert,debug,dxc,16,12.467,5136,1,220
voxel_minimal.vert,debug,dxc,17,11.133,5136,1,220
voxel_minimal.vert,debug,dxc,18,12.580,5136,1,220
voxel_minimal.vert,debug,dxc,19,12.286,5136,1,220
voxel_minimal.vert,debug,dxc,20,11.513,5136,1,220
voxel_minimal.vert,optimize,glslc,1,114.146,3340,1,182
voxel_minimal.vert,optimize,glslc,2,112.841,3340,1,182
voxel_minimal.vert,optimize,glslc,3,119.233,3340,1,182
voxel_minimal.vert,optimize,glslc,4,110.802,3340,1,182
voxel_minimal.vert,optimize,glslc,5,112.829,3340,1,182
voxel_minimal.vert,optimize,glslc,6,109.069,3340,1,182
voxel_minimal.vert,optimize,glslc,7,115.372,3340,1,182
voxel_minimal.vert,optimize,glslc,8,117.417,3340,1,182
voxel_minimal.vert,optimize,glslc,9,115.598,3340,1,182
voxel_minimal.vert,optimize,glslc,10,110.956,3340,1,182
voxel_minimal.vert,optimize,glslc,11,115.444,3340,1,182
voxel_minimal.vert,optimize,glslc,12,118.111,3340,1,182
voxel_minimal.vert,optimize,glslc,13,113.620,3340,1,182
voxel_minimal.vert,optimize,glslc,14,115.434,3340,1,182
voxel_minimal.vert,optimize,glslc,15,114.789,3340,1,182
voxel_minimal.vert,optimize,glslc,16,113.084,3340,1,182
voxel_minimal.vert,optimize,glslc,17,109.170,3340,1,182
voxel_minimal.vert,optimize,glslc,18,112.002,3340,1,182
voxel_minimal.vert,optimize,glslc,19,109.776,3340,1,182
voxel_minimal.vert,optimize,glslc,20,106.791,3340,1,182
voxel_minimal.vert,optimize,dxc,1,9.367,2736,1,146
voxel_minimal.vert,optimize,dxc,2,9.910,2736,1,146
voxel_minimal.vert,optimize,dxc,3,11.070,2736,1,146
voxel_minimal.vert,optimize,dxc,4,11.691,2736,1,146
voxel_minimal.vert,optimize,dxc,5,11.104,2736,1,146
voxel_minimal.vert,optimize,dxc,6,10.456,2736,1,146
voxel_minimal.vert,optimize,dxc,7,9.847,2736,1,146
voxel_minimal.vert,optimize,dxc,8,10.245,2736,1,146
voxel_minimal.vert,optimize,dxc,9,10.350,2736,1,146
voxel_minimal.vert,optimize,dxc,10,11.941,2736,1,146
voxel_minimal.vert,optimize,dxc,11,10.810,2736,1,146
voxel_minimal.vert,optimize,dxc,12,12.048,2736,1,146
voxel_minimal.vert,optimize,dxc,13,10.429,2736,1,146
voxel_minimal.vert,optimize,dxc,14,11.395,2736,1,146
voxel_minimal.vert,optimize,dxc,15,11.646,2736,1,146
voxel_minimal.vert,optimize,dxc,16,10.913,2736,1,146
voxel_minimal.vert,optimize,dxc,17,11.140,2736,1,146
voxel_minimal.vert,optimize,dxc,18,10.261,2736,1,146
voxel_minimal.vert,optimize,dxc,19,10.957,2736,1,146
voxel_minimal.vert,optimize,dxc,20,12.732,2736,1,146
voxel_minimal.frag,default,glslc,1,121.589,3888,1,220
voxel_minimal.frag,default,glslc,2,112.754,3888,1,220
voxel_minimal.frag,default,glslc,3,112.714,3888,1,220
voxel_minimal.frag,default,glslc,4,108.923,3888,1,220
voxel_minimal.frag,default,glslc,5,108.276,3888,1,220
voxel_minimal.frag,default,glslc,6,119.002,3888,1,220
voxel_minimal.frag,default,glslc,7,111.635,3888,1,220
voxel_minimal.frag,default,glslc,8,117.835,3888,1,220
voxel_minimal.frag,default,glslc,9,113.402,3888,1,220
voxel_minimal.frag,default,glslc,10,110.366,3888,1,220
voxel_minimal.frag,default,glslc,11,109.822,3888,1,220
voxel_minimal.frag,default,glslc,12,109.210,3888,1,220
voxel_minimal.frag,default,glslc,13,113.692,3888,1,220
voxel_minimal.frag,default,glslc,14,106.694,3888,1,220
voxel_minimal.frag,default,glslc,15,114.750,3888,1,220
voxel_minimal.frag,default,glslc,16,113.112,3888,1,220
voxel_minimal.frag,default,glslc,17,113.190,3888,1,220
voxel_minimal.frag,default,glslc,18,118.803,3888,1,220
voxel_minimal.frag,default,glslc,19,117.108,3888,1,220
voxel_minimal.frag,default,glslc,20,114.951,3888,1,220
voxel_minimal.frag,default,dxc,1,12.274,3056,1,163
voxel_minimal.frag,default,dxc,2,13.329,3056,1,163
voxel_minimal.frag,default,dxc,3,12.592,3056,1,163
voxel_minimal.frag,default,dxc,4,12.633,3056,1,163
voxel_minimal.frag,default,dxc,5,12.345,3056,1,163
voxel_minimal.frag,default,dxc,6,11.312,3056,1,163
voxel_minimal.frag,default,dxc,7,11.403,3056,1,163
voxel_minimal.frag,default,dxc,8,10.976,3056,1,163
voxel_minimal.frag,default,dxc,9,12.395,3056,1,163
voxel_minimal.frag,default,dxc,10,12.936,3056,1,163
voxel_minimal.frag,default,dxc,11,11.587,3056,1,163
voxel_minimal.frag,default,dxc,12,11.813,3056,1,163
voxel_minimal.frag,default,dxc,13,11.829,3056,1,163
voxel_minimal.frag,default,dxc,14,12.570,3056,1,163
voxel_minimal.frag,default,dxc,15,12.720,3056,1,163
voxel_minimal.frag,default,dxc,16,11.441,3056,1,163
voxel_minimal.frag,default,dxc,17,12.297,3056,1,163
voxel_minimal.frag,default,dxc,18,12.411,3056,1,163
voxel_minimal.frag,default,dxc,19,13.200,3056,1,163
voxel_minimal.frag,default,dxc,20,13.458,3056,1,163
voxel_minimal.frag,debug,glslc,1,111.896,6212,1,293
voxel_minimal.frag,debug,glslc,2,107.790,6212,1,293
voxel_minimal.frag,debug,glslc,3,134.329,6212,1,293
voxel_minimal.frag,debug,glslc,4,117.560,6212,1,293
voxel_minimal.frag,debug,glslc,5,112.840,6212,1,293
voxel_minimal.frag,debug,glslc,6,119.424,6212,1,293
voxel_minimal.frag,debug,glslc,7,129.708,6212,1,293
voxel_minimal.frag,debug,glslc,8,147.212,6212,1,293
voxel_minimal.frag,debug,glslc,9,126.205,6212,1,293
voxel_minimal.frag,debug,glslc,10,123.296,6212,1,293
voxel_minimal.frag,debug,glslc,11,112.062,6212,1,293
voxel_minimal.frag,debug,glslc,12,111.151,6212,1,293
voxel_minimal.frag,debug,glslc,13,117.832,6212,1,293
voxel_minimal.frag,debug,glslc,14,110.979,6212,1,293
voxel_minimal.frag,debug,glslc,15,124.270,6212,1,293
voxel_minimal.frag,debug,glslc,16,117.423,6212,1,293
voxel_minimal.frag,debug,glslc,17,116.845,6212,1,293
voxel_minimal.frag,debug,glslc,18,116.129,6212,1,293
voxel_minimal.frag,debug,glslc,19,114.316,6212,1,293
voxel_minimal.frag,debug,glslc,20,113.781,6212,1,293
voxel_minimal.frag,debug,dxc,1,14.234,6236,1,275
voxel_minimal.frag,debug,dxc,2,12.749,6236,1,275
voxel_minimal.frag,debug,dxc,3,13.784,6236,1,275
voxel_minimal.frag,debug,dxc,4,14.602,6236,1,275
voxel_minimal.frag,debug,dxc,5,13.714,6236,1,275
voxel_minimal.frag,debug,dxc,6,13.024,6236,1,275
voxel_minimal.frag,debug,dxc,7,13.866,6236,1,275
voxel_minimal.frag,debug,dxc,8,15.443,6236,1,275
voxel_minimal.frag,debug,dxc,9,14.698,6236,1,275
voxel_minimal.frag,debug,dxc,10,12.624,6236,1,275
voxel_minimal.frag,debug,dxc,11,13.560,6236,1,275
voxel_minimal.frag,debug,dxc,12,14.273,6236,1,275
voxel_minimal.frag,debug,dxc,13,12.070,6236,1,275
voxel_minimal.frag,debug,dxc,14,12.867,6236,1,275
voxel_minimal.frag,debug,dxc,15,12.222,6236,1,275
voxel_minimal.frag,debug,dxc,16,14.080,6236,1,275
voxel_minimal.frag,debug,dxc,17,12.877,6236,1,275
voxel_minimal.frag,debug,dxc,18,14.415,6236,1,275
voxel_minimal.frag,debug,dxc,19,13.224,6236,1,275
voxel_minimal.frag,debug,dxc,20,12.949,6236,1,275
voxel_minimal.frag,optimize,glslc,1,112.548,3888,1,220
voxel_minimal.frag,optimize,glslc,2,114.290,3888,1,220
voxel_minimal.frag,optimize,glslc,3,110.227,3888,1,220
voxel_minimal.frag,optimize,glslc,4,110.030,3888,1,220
voxel_minimal.frag,optimize,glslc,5,120.897,3888,1,220
voxel_minimal.frag,optimize,glslc,6,120.090,3888,1,220
voxel_minimal.frag,optimize,glslc,7,114.100,3888,1,220
voxel_minimal.frag,optimize,glslc,8,116.736,3888,1,220
voxel_minimal.frag,optimize,glslc,9,111.788,3888,1,220
voxel_minimal.frag,optimize,glslc,10,112.076,3888,1,220
voxel_minimal.frag,optimize,glslc,11,121.069,3888,1,220
voxel_minimal.frag,optimize,glslc,12,117.477,3888,1,220
voxel_minimal.frag,optimize,glslc,13,110.438,3888,1,220
voxel_minimal.frag,optimize,glslc,14,109.565,3888,1,220
voxel_minimal.frag,optimize,glslc,15,112.285,3888,1,220
voxel_minimal.frag,optimize,glslc,16,112.562,3888,1,220
voxel_minimal.frag,optimize,glslc,17,116.295,3888,1,220
voxel_minimal.frag,optimize,glslc,18,115.341,3888,1,220
voxel_minimal.frag,optimize,glslc,19,110.353,3888,1,220
voxel_minimal.frag,optimize,glslc,20,118.989,3888,1,220
voxel_minimal.frag,optimize,dxc,1,13.718,3056,1,163
voxel_minimal.frag,optimize,dxc,2,13.101,3056,1,163
voxel_minimal.frag,optimize,dxc,3,12.235,3056,1,163
voxel_minimal.frag,optimize,dxc,4,12.982,3056,1,163
voxel_minimal.frag,optimize,dxc,5,11.438,3056,1,163
voxel_minimal.frag,optimize,dxc,6,11.582,3056,1,163
voxel_minimal.frag,optimize,dxc,7,11.420,3056,1,163
voxel_minimal.frag,optimize,dxc,8,10.853,3056,1,163
voxel_minimal.frag,optimize,dxc,9,12.261,3056,1,163
voxel_minimal.frag,optimize,dxc,10,12.522,3056,1,163
voxel_minimal.frag,optimize,dxc,11,12.516,3056,1,163
voxel_minimal.frag,optimize,dxc,12,12.064,3056,1,163
voxel_minimal.frag,optimize,dxc,13,11.884,3056,1,163
voxel_minimal.frag,optimize,dxc,14,13.310,3056,1,163
voxel_minimal.frag,optimize,dxc,15,11.737,3056,1,163
voxel_minimal.frag,optimize,dxc,16,12.066,3056,1,163
voxel_minimal.frag,optimize,dxc,17,12.961,3056,1,163
voxel_minimal.frag,optimize,dxc,18,11.328,3056,1,163
voxel_minimal.frag,optimize,dxc,19,13.175,3056,1,163
voxel_minimal.frag,optimize,dxc,20,12.097,3056,1,163
voxel_mesh_minimal.mesh,default,glslc,1,106.746,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,2,111.689,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,3,109.981,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,4,115.074,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,5,121.225,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,6,115.538,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,7,109.182,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,8,111.986,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,9,113.572,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,10,111.905,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,11,106.850,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,12,112.042,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,13,111.896,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,14,114.979,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,15,115.499,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,16,114.895,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,17,111.709,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,18,115.570,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,19,112.897,6804,1,393
voxel_mesh_minimal.mesh,default,glslc,20,114.380,6804,1,393
voxel_mesh_minimal.mesh,default,dxc,1,13.150,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,2,12.179,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,3,14.039,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,4,14.895,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,5,13.330,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,6,12.244,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,7,12.772,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,8,12.163,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,9,12.391,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,10,12.674,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,11,13.275,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,12,13.759,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,13,12.841,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,14,13.524,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,15,13.717,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,16,14.275,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,17,13.756,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,18,13.522,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,19,12.319,3904,1,234
voxel_mesh_minimal.mesh,default,dxc,20,12.327,3904,1,234
voxel_mesh_minimal.mesh,debug,glslc,1,121.052,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,2,119.717,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,3,120.963,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,4,117.296,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,5,117.993,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,6,112.562,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,7,126.119,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,8,116.170,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,9,124.955,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,10,122.116,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,11,125.571,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,12,120.028,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,13,114.391,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,14,121.872,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,15,118.160,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,16,118.865,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,17,116.738,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,18,116.480,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,19,115.382,10648,1,518
voxel_mesh_minimal.mesh,debug,glslc,20,119.217,10648,1,518
voxel_mesh_minimal.mesh,debug,dxc,1,16.310,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,2,14.418,9044,1,410
voxel_mesh_minimal.mesh,debug,dxc,3,15.149,9044,1,410
