2026-06-21-electronic-warfare-jamming — prototype benchmark
C++26 CPU analytical model; Clang -O3 -march=native target
5 strategies x 5 scenes x 5 seeds x 1000 iter = 125,000 main measurements

[A_NoJamming] [small_engagement_5v5] seed=1: wall=404.5 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [small_engagement_5v5] seed=2: wall=348.0 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [small_engagement_5v5] seed=3: wall=349.3 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [small_engagement_5v5] seed=4: wall=342.7 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [small_engagement_5v5] seed=5: wall=353.4 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [air_defense_battery_3r1j] seed=1: wall=95.3 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [air_defense_battery_3r1j] seed=2: wall=93.4 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [air_defense_battery_3r1j] seed=3: wall=92.2 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [air_defense_battery_3r1j] seed=4: wall=121.0 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [air_defense_battery_3r1j] seed=5: wall=140.4 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [strike_package_5a3j_escort] seed=1: wall=329.8 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [strike_package_5a3j_escort] seed=2: wall=328.3 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [strike_package_5a3j_escort] seed=3: wall=226.8 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [strike_package_5a3j_escort] seed=4: wall=222.2 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [strike_package_5a3j_escort] seed=5: wall=229.2 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ground_force_defense_10j5r] seed=1: wall=666.3 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ground_force_defense_10j5r] seed=2: wall=675.2 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ground_force_defense_10j5r] seed=3: wall=744.6 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ground_force_defense_10j5r] seed=4: wall=621.2 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ground_force_defense_10j5r] seed=5: wall=630.7 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ew_duel_2j2r_freq_agile] seed=1: wall=181.2 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ew_duel_2j2r_freq_agile] seed=2: wall=151.8 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ew_duel_2j2r_freq_agile] seed=3: wall=145.3 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ew_duel_2j2r_freq_agile] seed=4: wall=145.1 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[A_NoJamming] [ew_duel_2j2r_freq_agile] seed=5: wall=145.4 ns, det=100.0%, comms=0.0%, bt=1000000000 m, pwr=0.00 W, ft=0.0
[B_NoiseBarrage] [small_engagement_5v5] seed=1: wall=392.9 ns, det=15.0%, comms=1.2%, bt=151 m, pwr=25.00 W, ft=0.0
[B_NoiseBarrage] [small_engagement_5v5] seed=2: wall=372.1 ns, det=15.0%, comms=0.9%, bt=151 m, pwr=25.00 W, ft=0.0
[B_NoiseBarrage] [small_engagement_5v5] seed=3: wall=343.1 ns, det=15.0%, comms=4.1%, bt=151 m, pwr=25.00 W, ft=0.0
[B_NoiseBarrage] [small_engagement_5v5] seed=4: wall=337.2 ns, det=15.0%, comms=4.8%, bt=151 m, pwr=25.00 W, ft=0.0
[B_NoiseBarrage] [small_engagement_5v5] seed=5: wall=382.1 ns, det=15.0%, comms=1.2%, bt=151 m, pwr=25.00 W, ft=0.0
[B_NoiseBarrage] [air_defense_battery_3r1j] seed=1: wall=95.3 ns, det=15.0%, comms=2.8%, bt=169 m, pwr=30.00 W, ft=0.0
[B_NoiseBarrage] [air_defense_battery_3r1j] seed=2: wall=92.3 ns, det=15.0%, comms=2.7%, bt=169 m, pwr=30.00 W, ft=0.0
[B_NoiseBarrage] [air_defense_battery_3r1j] seed=3: wall=93.5 ns, det=15.0%, comms=2.7%, bt=169 m, pwr=30.00 W, ft=0.0
[B_NoiseBarrage] [air_defense_battery_3r1j] seed=4: wall=93.3 ns, det=15.0%, comms=2.8%, bt=169 m, pwr=30.00 W, ft=0.0
[B_NoiseBarrage] [air_defense_battery_3r1j] seed=5: wall=93.6 ns, det=15.0%, comms=2.7%, bt=169 m, pwr=30.00 W, ft=0.0
[B_NoiseBarrage] [strike_package_5a3j_escort] seed=1: wall=240.4 ns, det=15.0%, comms=0.4%, bt=83 m, pwr=75.00 W, ft=0.0
[B_NoiseBarrage] [strike_package_5a3j_escort] seed=2: wall=314.6 ns, det=15.0%, comms=0.4%, bt=83 m, pwr=75.00 W, ft=0.0
[B_NoiseBarrage] [strike_package_5a3j_escort] seed=3: wall=257.9 ns, det=15.0%, comms=0.4%, bt=83 m, pwr=75.00 W, ft=0.0
