scene,size,opaque_pct,seed,flood_us,matrix,non_opaque
open_plane,8,0.0,0,59.896,35179974591,512
open_plane,8,0.0,1,55.290,35179974591,487
open_plane,8,0.0,2,59.109,35179974591,489
open_plane,8,0.0,3,57.344,35179974591,487
open_plane,8,0.0,4,47.465,35179974591,491
cave_network,8,30.7,0,46.295,35179974591,355
cave_network,8,30.7,1,44.560,35179974591,346
cave_network,8,30.7,2,48.917,35179974591,348
cave_network,8,30.7,3,42.340,35179974591,344
cave_network,8,30.7,4,39.454,35179974591,342
dense_cave,8,50.0,0,27.157,35179974591,256
dense_cave,8,50.0,1,30.785,35179974591,263
dense_cave,8,50.0,2,28.230,35179974591,263
dense_cave,8,50.0,3,25.662,35179974591,251
dense_cave,8,50.0,4,30.551,35179974591,253
nearly_solid,8,79.7,0,4.355,35179974589,104
nearly_solid,8,79.7,1,4.431,35179974589,117
nearly_solid,8,79.7,2,4.804,35179974589,119
nearly_solid,8,79.7,3,5.019,35179974589,119
nearly_solid,8,79.7,4,5.167,35179974589,115
full_solid,8,100.0,0,0.219,0,0
full_solid,8,100.0,1,0.828,34907197373,25
full_solid,8,100.0,2,1.330,276909953,23
full_solid,8,100.0,3,1.633,34370289853,25
full_solid,8,100.0,4,0.797,545357993,21
open_plane_16,16,0.0,0,399.022,35179974591,4096
open_plane_16,16,0.0,1,547.212,35179974591,3906
open_plane_16,16,0.0,2,522.777,35179974591,3910
open_plane_16,16,0.0,3,523.974,35179974591,3904
open_plane_16,16,0.0,4,542.958,35179974591,3900
cave_network_16,16,30.0,0,662.463,35179974591,2866
cave_network_16,16,30.0,1,676.825,35179974591,2806
cave_network_16,16,30.0,2,669.274,35179974591,2776
cave_network_16,16,30.0,3,660.326,35179974591,2788
cave_network_16,16,30.0,4,640.014,35179974591,2774
dense_cave_16,16,49.3,0,531.924,35179974591,2075
dense_cave_16,16,49.3,1,532.606,35179974591,2081
dense_cave_16,16,49.3,2,515.416,35179974591,2053
dense_cave_16,16,49.3,3,520.476,35179974591,2045
dense_cave_16,16,49.3,4,539.137,35179974591,2065
nearly_solid_16,16,80.3,0,17.227,35179974589,806
nearly_solid_16,16,80.3,1,19.699,35179974589,906
nearly_solid_16,16,80.3,2,19.092,35179974589,916
nearly_solid_16,16,80.3,3,18.509,35179974589,906
nearly_solid_16,16,80.3,4,29.511,35179974589,914
full_solid_16,16,100.0,0,1.040,0,0
full_solid_16,16,100.0,1,3.374,35175649213,190
full_solid_16,16,100.0,2,4.289,34907197333,186
full_solid_16,16,100.0,3,3.839,34907196093,192
full_solid_16,16,100.0,4,4.093,35179974589,196
