strategy,scene,seed,solid_count,shape_count,volume_emitted,volume_expected,volume_match_pct,shape_reduction_ratio,build_us_mean
A_Naive,uniform_floor,1,64,64,64,64,100.0000,1.0000,0.4523
A_Naive,uniform_floor,7,64,64,64,64,100.0000,1.0000,0.4389
A_Naive,uniform_floor,42,64,64,64,64,100.0000,1.0000,0.4918
A_Naive,uniform_floor,1234,64,64,64,64,100.0000,1.0000,0.5956
A_Naive,uniform_floor,31337,64,64,64,64,100.0000,1.0000,0.4786
A_Naive,uniform_half,1,256,256,256,256,100.0000,1.0000,0.5334
A_Naive,uniform_half,7,256,256,256,256,100.0000,1.0000,0.6739
A_Naive,uniform_half,42,256,256,256,256,100.0000,1.0000,0.5148
A_Naive,uniform_half,1234,256,256,256,256,100.0000,1.0000,0.5205
A_Naive,uniform_half,31337,256,256,256,256,100.0000,1.0000,0.5843
A_Naive,forest_floor,1,207,207,207,207,100.0000,1.0000,0.5125
A_Naive,forest_floor,7,207,207,207,207,100.0000,1.0000,0.4817
A_Naive,forest_floor,42,212,212,212,212,100.0000,1.0000,0.4078
A_Naive,forest_floor,1234,207,207,207,207,100.0000,1.0000,0.3910
A_Naive,forest_floor,31337,212,212,212,212,100.0000,1.0000,0.4652
A_Naive,cave_stress,1,296,296,296,296,100.0000,1.0000,0.5023
A_Naive,cave_stress,7,296,296,296,296,100.0000,1.0000,0.3991
A_Naive,cave_stress,42,296,296,296,296,100.0000,1.0000,0.3960
A_Naive,cave_stress,1234,296,296,296,296,100.0000,1.0000,0.4057
A_Naive,cave_stress,31337,296,296,296,296,100.0000,1.0000,0.4395
A_Naive,mixed_biome,1,209,209,209,209,100.0000,1.0000,0.4959
A_Naive,mixed_biome,7,211,211,211,211,100.0000,1.0000,0.5213
A_Naive,mixed_biome,42,209,209,209,209,100.0000,1.0000,0.4330
A_Naive,mixed_biome,1234,208,208,208,208,100.0000,1.0000,0.4896
A_Naive,mixed_biome,31337,208,208,208,208,100.0000,1.0000,0.5030
B_1DZ,uniform_floor,1,64,8,64,64,100.0000,0.1250,0.4020
B_1DZ,uniform_floor,7,64,8,64,64,100.0000,0.1250,0.4394
B_1DZ,uniform_floor,42,64,8,64,64,100.0000,0.1250,0.4585
B_1DZ,uniform_floor,1234,64,8,64,64,100.0000,0.1250,0.3932
B_1DZ,uniform_floor,31337,64,8,64,64,100.0000,0.1250,0.4246
B_1DZ,uniform_half,1,256,32,256,256,100.0000,0.1250,0.3797
B_1DZ,uniform_half,7,256,32,256,256,100.0000,0.1250,0.3059
B_1DZ,uniform_half,42,256,32,256,256,100.0000,0.1250,0.3058
B_1DZ,uniform_half,1234,256,32,256,256,100.0000,0.1250,0.3139
B_1DZ,uniform_half,31337,256,32,256,256,100.0000,0.1250,0.3070
B_1DZ,forest_floor,1,207,39,207,207,100.0000,0.1884,0.3246
B_1DZ,forest_floor,7,207,39,207,207,100.0000,0.1884,0.4606
B_1DZ,forest_floor,42,212,44,212,212,100.0000,0.2075,0.5755
B_1DZ,forest_floor,1234,207,39,207,207,100.0000,0.1884,0.4337
B_1DZ,forest_floor,31337,212,44,212,212,100.0000,0.2075,0.3678
B_1DZ,cave_stress,1,296,100,296,296,100.0000,0.3378,0.4639
B_1DZ,cave_stress,7,296,100,296,296,100.0000,0.3378,0.4133
B_1DZ,cave_stress,42,296,100,296,296,100.0000,0.3378,0.4237
B_1DZ,cave_stress,1234,296,100,296,296,100.0000,0.3378,0.4111
B_1DZ,cave_stress,31337,296,100,296,296,100.0000,0.3378,0.4560
B_1DZ,mixed_biome,1,209,49,209,209,100.0000,0.2344,0.3545
B_1DZ,mixed_biome,7,211,44,211,211,100.0000,0.2085,0.3484
B_1DZ,mixed_biome,42,209,48,209,209,100.0000,0.2297,0.3641
B_1DZ,mixed_biome,1234,208,47,208,208,100.0000,0.2260,0.3430
B_1DZ,mixed_biome,31337,208,49,208,208,100.0000,0.2356,0.3550
C_2DXZ,uniform_floor,1,64,1,64,64,100.0000,0.0156,0.3680
C_2DXZ,uniform_floor,7,64,1,64,64,100.0000,0.0156,0.4571
C_2DXZ,uniform_floor,42,64,1,64,64,100.0000,0.0156,0.3701
C_2DXZ,uniform_floor,1234,64,1,64,64,100.0000,0.0156,0.3715
C_2DXZ,uniform_floor,31337,64,1,64,64,100.0000,0.0156,0.3778
C_2DXZ,uniform_half,1,256,4,256,256,100.0000,0.0156,0.4894
C_2DXZ,uniform_half,7,256,4,256,256,100.0000,0.0156,0.5926
C_2DXZ,uniform_half,42,256,4,256,256,100.0000,0.0156,1.0287
C_2DXZ,uniform_half,1234,256,4,256,256,100.0000,0.0156,0.6391
C_2DXZ,uniform_half,31337,256,4,256,256,100.0000,0.0156,0.4892
C_2DXZ,forest_floor,1,207,18,207,207,100.0000,0.0870,0.5153
C_2DXZ,forest_floor,7,207,18,207,207,100.0000,0.0870,0.5476
C_2DXZ,forest_floor,42,212,23,212,212,100.0000,0.1085,0.5465
C_2DXZ,forest_floor,1234,207,18,207,207,100.0000,0.0870,0.4749
C_2DXZ,forest_floor,31337,212,23,212,212,100.0000,0.1085,0.4988
C_2DXZ,cave_stress,1,296,26,296,296,100.0000,0.0878,0.5621
C_2DXZ,cave_stress,7,296,26,296,296,100.0000,0.0878,0.5640
C_2DXZ,cave_stress,42,296,26,296,296,100.0000,0.0878,0.6306
C_2DXZ,cave_stress,1234,296,26,296,296,100.0000,0.0878,0.7157
C_2DXZ,cave_stress,31337,296,26,296,296,100.0000,0.0878,0.9831
C_2DXZ,mixed_biome,1,209,21,209,209,100.0000,0.1005,0.6537
C_2DXZ,mixed_biome,7,211,19,211,211,100.0000,0.0900,0.7033
C_2DXZ,mixed_biome,42,209,19,209,209,100.0000,0.0909,0.7250
C_2DXZ,mixed_biome,1234,208,20,208,208,100.0000,0.0962,0.6784
C_2DXZ,mixed_biome,31337,208,20,208,208,100.0000,0.0962,0.6381
D_3D,uniform_floor,1,64,1,64,64,100.0000,0.0156,0.5465
D_3D,uniform_floor,7,64,1,64,64,100.0000,0.0156,0.7562
D_3D,uniform_floor,42,64,1,64,64,100.0000,0.0156,0.6859
D_3D,uniform_floor,1234,64,1,64,64,100.0000,0.0156,0.4824
D_3D,uniform_floor,31337,64,1,64,64,100.0000,0.0156,0.4803
D_3D,uniform_half,1,256,1,256,256,100.0000,0.0039,0.6308
D_3D,uniform_half,7,256,1,256,256,100.0000,0.0039,0.5890
D_3D,uniform_half,42,256,1,256,256,100.0000,0.0039,0.5665
D_3D,uniform_half,1234,256,1,256,256,100.0000,0.0039,0.5728
D_3D,uniform_half,31337,256,1,256,256,100.0000,0.0039,0.5770
D_3D,forest_floor,1,207,4,207,207,100.0000,0.0193,0.7905
D_3D,forest_floor,7,207,4,207,207,100.0000,0.0193,0.9753
D_3D,forest_floor,42,212,5,212,212,100.0000,0.0236,0.9422
D_3D,forest_floor,1234,207,4,207,207,100.0000,0.0193,1.1089
D_3D,forest_floor,31337,212,5,212,212,100.0000,0.0236,0.7855
D_3D,cave_stress,1,296,6,296,296,100.0000,0.0203,1.2457
D_3D,cave_stress,7,296,6,296,296,100.0000,0.0203,1.1739
D_3D,cave_stress,42,296,6,296,296,100.0000,0.0203,1.2330
D_3D,cave_stress,1234,296,6,296,296,100.0000,0.0203,0.8240
D_3D,cave_stress,31337,296,6,296,296,100.0000,0.0203,0.8113
D_3D,mixed_biome,1,209,20,209,209,100.0000,0.0957,0.9002
D_3D,mixed_biome,7,211,16,211,211,100.0000,0.0758,0.9326
D_3D,mixed_biome,42,209,16,209,209,100.0000,0.0766,0.9338
D_3D,mixed_biome,1234,208,18,208,208,100.0000,0.0865,0.8118
D_3D,mixed_biome,31337,208,17,208,208,100.0000,0.0817,0.8660
E_Octree,uniform_floor,1,64,64,64,64,100.0000,1.0000,1.0018
