Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,TrajError
A_MomentumTheory_LOD,hover_stability,20,0,83.00,1,46.5770
A_MomentumTheory_LOD,hover_stability,20,1,78.90,1,40.1288
A_MomentumTheory_LOD,hover_stability,20,2,78.55,1,36.6809
A_MomentumTheory_LOD,hover_stability,20,3,77.70,1,33.0762
A_MomentumTheory_LOD,hover_stability,20,4,79.45,1,31.5564
A_MomentumTheory_LOD,forward_flight,20,0,93.85,0,999999.9000
A_MomentumTheory_LOD,forward_flight,20,1,86.24,0,999999.9000
A_MomentumTheory_LOD,forward_flight,20,2,85.65,0,999999.9000
A_MomentumTheory_LOD,forward_flight,20,3,84.27,0,999999.9000
A_MomentumTheory_LOD,forward_flight,20,4,84.43,0,999999.9000
A_MomentumTheory_LOD,vortex_ring_state,20,0,78.00,1,94.6106
A_MomentumTheory_LOD,vortex_ring_state,20,1,82.65,1,94.6106
A_MomentumTheory_LOD,vortex_ring_state,20,2,88.05,1,94.6106
A_MomentumTheory_LOD,vortex_ring_state,20,3,82.85,1,94.6106
A_MomentumTheory_LOD,vortex_ring_state,20,4,77.50,1,94.6106
A_MomentumTheory_LOD,autorotation,20,0,75.60,1,83.7009
A_MomentumTheory_LOD,autorotation,20,1,76.35,1,83.7009
A_MomentumTheory_LOD,autorotation,20,2,77.75,1,83.7009
A_MomentumTheory_LOD,autorotation,20,3,76.70,1,83.7009
A_MomentumTheory_LOD,autorotation,20,4,75.85,1,83.7009
A_MomentumTheory_LOD,cyclic_maneuver,20,0,80.35,1,38.7363
A_MomentumTheory_LOD,cyclic_maneuver,20,1,80.10,1,38.7363
A_MomentumTheory_LOD,cyclic_maneuver,20,2,80.80,1,38.7363
A_MomentumTheory_LOD,cyclic_maneuver,20,3,83.80,1,38.7363
A_MomentumTheory_LOD,cyclic_maneuver,20,4,78.95,1,38.7363
B_BladeElement_2Blades,hover_stability,20,0,361.43,0,999999.9000
B_BladeElement_2Blades,hover_stability,20,1,294.00,0,999999.9000
B_BladeElement_2Blades,hover_stability,20,2,302.27,0,999999.9000
