strategy,scene,seed,num_units,ticks,mean_ns_per_unit_per_tick,median_ns_per_unit_per_tick,p95_ns_per_unit_per_tick,p99_ns_per_unit_per_tick,std_ns_per_unit_per_tick,total_ms,total_decisions
A_NaiveNoMemory,recon_patrol,1,8,1500,337.63,336.699,350.7,350.7,6.88917,4.76917,12000
A_NaiveNoMemory,recon_patrol,7,8,1500,298.221,298.965,301.024,301.024,2.26443,4.30293,12000
A_NaiveNoMemory,recon_patrol,42,8,1500,316.442,315.279,325.425,325.425,5.27488,4.54347,12000
A_NaiveNoMemory,recon_patrol,1234,8,1500,400.601,365.151,677.635,677.635,104.995,5.55864,12000
A_NaiveNoMemory,recon_patrol,31337,8,1500,330.574,327.225,347.431,347.431,10.2847,4.67949,12000
A_NaiveNoMemory,platoon_attack,1,32,1000,338.463,337.73,353.107,356.517,9.04276,12.9888,32000
A_NaiveNoMemory,platoon_attack,7,32,1000,293.289,292.659,305.369,310.14,7.91795,11.1327,32000
A_NaiveNoMemory,platoon_attack,42,32,1000,290.107,288.318,315.747,319.307,9.13927,11.0397,32000
A_NaiveNoMemory,platoon_attack,1234,32,1000,275.716,274.938,293.74,295.29,7.42619,10.4838,32000
A_NaiveNoMemory,platoon_attack,31337,32,1000,266.196,265.958,276.539,279.297,5.62543,10.0629,32000
A_NaiveNoMemory,company_advance,1,128,600,249.073,249.548,264.232,274.617,14.3984,23.0724,76800
A_NaiveNoMemory,company_advance,7,128,600,244.117,243.883,257.298,261.217,7.98999,22.5552,76800
A_NaiveNoMemory,company_advance,42,128,600,242.919,242.467,260.465,265.597,9.72987,22.4119,76800
A_NaiveNoMemory,company_advance,1234,128,600,232.816,232.433,250.165,253.63,10.0172,21.4936,76800
A_NaiveNoMemory,company_advance,31337,128,600,232.652,233.648,245.5,251.267,9.11574,21.4745,76800
A_NaiveNoMemory,urban_clear,1,64,800,254.739,255.213,265.249,270.161,7.16564,15.5275,51200
A_NaiveNoMemory,urban_clear,7,64,800,252.976,252.972,266.3,274.899,7.51715,15.3611,51200
A_NaiveNoMemory,urban_clear,42,64,800,250.892,249.273,262.975,265.949,6.83282,15.1716,51200
A_NaiveNoMemory,urban_clear,1234,64,800,254.861,255.363,267.124,282.799,8.72385,15.5575,51200
A_NaiveNoMemory,urban_clear,31337,64,800,259.724,259.897,275.286,279.875,8.03544,15.9073,51200
A_NaiveNoMemory,combined_arms,1,256,400,199.302,199.925,217.525,228.1,11.8693,25.4992,102400
A_NaiveNoMemory,combined_arms,7,256,400,198.904,198.775,220.597,228.575,12.3413,25.3902,102400
A_NaiveNoMemory,combined_arms,42,256,400,210.651,210.3,239.625,247.472,15.5772,26.8234,102400
A_NaiveNoMemory,combined_arms,1234,256,400,209.121,208.875,232.97,242.347,13.9531,26.7105,102400
A_NaiveNoMemory,combined_arms,31337,256,400,193.731,193.197,215.525,229.4,13.7116,24.5714,102400
B_BT_RunningMemory,recon_patrol,1,8,1500,283.42,282.787,289.658,289.658,3.9069,3.99306,12000
B_BT_RunningMemory,recon_patrol,7,8,1500,276.539,277.873,282.985,282.985,3.80822,3.86207,12000
B_BT_RunningMemory,recon_patrol,42,8,1500,278.363,280.805,282.711,282.711,4.00158,3.88893,12000
B_BT_RunningMemory,recon_patrol,1234,8,1500,278.733,279.753,284.119,284.119,4.67127,3.89731,12000
B_BT_RunningMemory,recon_patrol,31337,8,1500,279.713,283.285,284.845,284.845,4.54676,3.939,12000
B_BT_RunningMemory,platoon_attack,1,32,1000,262.737,263.48,272.85,275.928,6.43852,9.87463,32000
B_BT_RunningMemory,platoon_attack,7,32,1000,264.036,263.778,272.377,273.06,5.55032,9.9326,32000
B_BT_RunningMemory,platoon_attack,42,32,1000,262.847,263.549,272.469,274.778,6.13544,9.85084,32000
