scene,seed,strategy,chunk_count,culled_count,false_negative_count,cull_rate,total_texels_touched,mean_compute_us,p99_compute_us,psnr_db,frame_time_us_mean,frame_time_us_p99
uniform_floor,1,A_UniformMip0,1024,484,0,0.472656,16661834,16.271322,100.899000,inf,4586.419900,6832.144000
uniform_floor,1,B_UniformMipGlobal,1024,550,0,0.537109,16926,0.016529,0.099000,inf,58.503600,168.389000
uniform_floor,1,C_PerChunkStaticMip,1024,520,0,0.507812,23236,0.022691,0.059000,inf,59.970600,87.280000
uniform_floor,1,D_PerChunkDynamicDispatch,1024,520,0,0.507812,23236,0.022691,0.059000,inf,58.997633,73.350000
uniform_floor,7,A_UniformMip0,1024,484,0,0.472656,16661834,16.271322,100.899000,inf,4128.097567,5071.175000
uniform_floor,7,B_UniformMipGlobal,1024,550,0,0.537109,16926,0.016529,0.099000,inf,43.208967,49.560000
uniform_floor,7,C_PerChunkStaticMip,1024,520,0,0.507812,23236,0.022691,0.059000,inf,56.505300,60.350000
uniform_floor,7,D_PerChunkDynamicDispatch,1024,520,0,0.507812,23236,0.022691,0.059000,inf,59.606633,80.050000
uniform_floor,42,A_UniformMip0,1024,484,0,0.472656,16661834,16.271322,100.899000,inf,3806.142867,4938.596000
uniform_floor,42,B_UniformMipGlobal,1024,550,0,0.537109,16926,0.016529,0.099000,inf,42.977933,50.010000
uniform_floor,42,C_PerChunkStaticMip,1024,520,0,0.507812,23236,0.022691,0.059000,inf,57.480633,73.550000
uniform_floor,42,D_PerChunkDynamicDispatch,1024,520,0,0.507812,23236,0.022691,0.059000,inf,59.554933,78.060000
uniform_floor,1234,A_UniformMip0,1024,484,0,0.472656,16661834,16.271322,100.899000,inf,3780.235867,4470.126000
uniform_floor,1234,B_UniformMipGlobal,1024,550,0,0.537109,16926,0.016529,0.099000,inf,44.071600,47.730000
uniform_floor,1234,C_PerChunkStaticMip,1024,520,0,0.507812,23236,0.022691,0.059000,inf,57.837633,62.980000
uniform_floor,1234,D_PerChunkDynamicDispatch,1024,520,0,0.507812,23236,0.022691,0.059000,inf,60.827967,77.230000
uniform_floor,31337,A_UniformMip0,1024,484,0,0.472656,16661834,16.271322,100.899000,inf,3877.449767,5466.316000
uniform_floor,31337,B_UniformMipGlobal,1024,550,0,0.537109,16926,0.016529,0.099000,inf,44.367667,58.030000
uniform_floor,31337,C_PerChunkStaticMip,1024,520,0,0.507812,23236,0.022691,0.059000,inf,57.352267,63.150000
uniform_floor,31337,D_PerChunkDynamicDispatch,1024,520,0,0.507812,23236,0.022691,0.059000,inf,59.815633,76.760000
forest_floor,1,A_UniformMip0,1024,281,0,0.274414,9601734,9.376693,100.899000,inf,2364.047033,2876.678000
forest_floor,1,B_UniformMipGlobal,1024,328,0,0.320312,10182,0.009943,0.099000,inf,43.119967,52.419000
forest_floor,1,C_PerChunkStaticMip,1024,313,0,0.305664,13972,0.013645,0.059000,inf,46.532967,51.760000
forest_floor,1,D_PerChunkDynamicDispatch,1024,313,0,0.305664,13972,0.013645,0.059000,inf,46.705967,53.910000
forest_floor,7,A_UniformMip0,1024,303,0,0.295898,9863500,9.632324,100.899000,inf,2333.808067,2776.397000
forest_floor,7,B_UniformMipGlobal,1024,324,0,0.316406,39413,0.038489,0.395000,inf,46.397300,50.470000
forest_floor,7,C_PerChunkStaticMip,1024,332,0,0.324219,14528,0.014187,0.059000,inf,49.353267,62.130000
forest_floor,7,D_PerChunkDynamicDispatch,1024,332,0,0.324219,14528,0.014187,0.059000,inf,48.152967,62.970000
forest_floor,42,A_UniformMip0,1024,296,0,0.289062,10302521,10.061056,100.899000,inf,2629.612467,3492.448000
forest_floor,42,B_UniformMipGlobal,1024,344,0,0.335938,10861,0.010606,0.099000,inf,38.803633,51.430000
forest_floor,42,C_PerChunkStaticMip,1024,330,0,0.322266,14472,0.014133,0.059000,inf,56.848933,62.960000
