=== IK First-Person Arm Benchmark ===
Strategies: 6, Scenes: 5, Seeds: 5, Warmup: 10, Iter: 1000
strategy,scene,seed,solve_time_us,iterations,position_error_cm,converged
A_NoHand,forward_reach,1,0.000,0.0,999.000,0
A_NoHand,forward_reach,7,0.000,0.0,999.000,0
A_NoHand,forward_reach,42,0.000,0.0,999.000,0
A_NoHand,forward_reach,1234,0.000,0.0,999.000,0
A_NoHand,forward_reach,31337,0.000,0.0,999.000,0
A_NoHand,up_reach,1,0.000,0.0,999.000,0
A_NoHand,up_reach,7,0.000,0.0,999.000,0
A_NoHand,up_reach,42,0.000,0.0,999.000,0
A_NoHand,up_reach,1234,0.000,0.0,999.000,0
A_NoHand,up_reach,31337,0.000,0.0,999.000,0
A_NoHand,down_reach,1,0.000,0.0,999.000,0
A_NoHand,down_reach,7,0.000,0.0,999.000,0
A_NoHand,down_reach,42,0.000,0.0,999.000,0
A_NoHand,down_reach,1234,0.000,0.0,999.000,0
A_NoHand,down_reach,31337,0.000,0.0,999.000,0
A_NoHand,far_side,1,0.000,0.0,999.000,0
A_NoHand,far_side,7,0.000,0.0,999.000,0
A_NoHand,far_side,42,0.000,0.0,999.000,0
A_NoHand,far_side,1234,0.000,0.0,999.000,0
A_NoHand,far_side,31337,0.000,0.0,999.000,0
A_NoHand,rapid_switch,1,0.000,0.0,999.000,0
A_NoHand,rapid_switch,7,0.000,0.0,999.000,0
A_NoHand,rapid_switch,42,0.000,0.0,999.000,0
A_NoHand,rapid_switch,1234,0.000,0.0,999.000,0
A_NoHand,rapid_switch,31337,0.000,0.0,999.000,0
B_AnalyticTwoBone,forward_reach,1,0.152,1.0,6.048,0
B_AnalyticTwoBone,forward_reach,7,0.148,1.0,6.059,0
B_AnalyticTwoBone,forward_reach,42,0.155,1.0,6.002,0
B_AnalyticTwoBone,forward_reach,1234,0.148,1.0,6.032,0
B_AnalyticTwoBone,forward_reach,31337,0.149,1.0,6.031,0
B_AnalyticTwoBone,up_reach,1,0.153,1.0,7.256,0
B_AnalyticTwoBone,up_reach,7,0.152,1.0,7.260,0
B_AnalyticTwoBone,up_reach,42,0.174,1.0,7.229,0
B_AnalyticTwoBone,up_reach,1234,0.177,1.0,7.257,0
B_AnalyticTwoBone,up_reach,31337,0.167,1.0,7.269,0
B_AnalyticTwoBone,down_reach,1,0.155,1.0,3.605,11
B_AnalyticTwoBone,down_reach,7,0.155,1.0,3.607,13
B_AnalyticTwoBone,down_reach,42,0.156,1.0,3.533,8
B_AnalyticTwoBone,down_reach,1234,0.151,1.0,3.561,7
B_AnalyticTwoBone,down_reach,31337,0.170,1.0,3.559,13
B_AnalyticTwoBone,far_side,1,0.182,1.0,4.547,6
B_AnalyticTwoBone,far_side,7,0.155,1.0,4.620,2
B_AnalyticTwoBone,far_side,42,0.163,1.0,4.501,4
B_AnalyticTwoBone,far_side,1234,0.151,1.0,4.567,2
B_AnalyticTwoBone,far_side,31337,0.157,1.0,4.565,4
B_AnalyticTwoBone,rapid_switch,1,0.156,1.0,7.293,0
B_AnalyticTwoBone,rapid_switch,7,0.161,1.0,7.293,0
B_AnalyticTwoBone,rapid_switch,42,0.174,1.0,7.293,0
B_AnalyticTwoBone,rapid_switch,1234,0.166,1.0,7.293,0
B_AnalyticTwoBone,rapid_switch,31337,0.166,1.0,7.293,0
C_CCD,forward_reach,1,3.873,50.0,10.049,0
C_CCD,forward_reach,7,3.220,50.0,10.075,0
C_CCD,forward_reach,42,3.266,50.0,9.896,0
C_CCD,forward_reach,1234,3.446,50.0,9.985,0
C_CCD,forward_reach,31337,3.442,50.0,9.985,0
C_CCD,up_reach,1,4.035,50.0,14.237,0
C_CCD,up_reach,7,3.969,50.0,14.257,0
C_CCD,up_reach,42,4.416,50.0,14.127,0
C_CCD,up_reach,1234,4.507,50.0,14.246,0
C_CCD,up_reach,31337,4.209,50.0,14.287,0
C_CCD,down_reach,1,1.686,44.3,4.134,127
C_CCD,down_reach,7,1.701,44.1,4.138,130
C_CCD,down_reach,42,1.915,43.7,4.008,141
C_CCD,down_reach,1234,1.976,44.8,4.038,115
C_CCD,down_reach,31337,1.888,44.7,4.009,117
C_CCD,far_side,1,2.179,48.1,6.014,43
C_CCD,far_side,7,2.275,48.6,6.172,31
C_CCD,far_side,42,2.130,48.0,5.906,44
C_CCD,far_side,1234,1.950,48.5,6.034,34
C_CCD,far_side,31337,1.991,48.2,6.045,39
C_CCD,rapid_switch,1,3.053,50.0,14.835,0
C_CCD,rapid_switch,7,3.157,50.0,14.835,0
C_CCD,rapid_switch,42,3.226,50.0,14.835,0
C_CCD,rapid_switch,1234,3.264,50.0,14.835,0
C_CCD,rapid_switch,31337,2.991,50.0,14.835,0
D_FABRIK,forward_reach,1,0.173,1.3,0.411,1000
D_FABRIK,forward_reach,7,0.168,1.3,0.409,1000
D_FABRIK,forward_reach,42,0.192,1.4,0.416,1000
D_FABRIK,forward_reach,1234,0.173,1.3,0.419,1000
D_FABRIK,forward_reach,31337,0.169,1.3,0.426,1000
D_FABRIK,up_reach,1,0.146,1.0,0.266,1000
D_FABRIK,up_reach,7,0.141,1.0,0.262,1000
D_FABRIK,up_reach,42,0.145,1.0,0.268,1000
D_FABRIK,up_reach,1234,0.139,1.0,0.269,1000
D_FABRIK,up_reach,31337,0.139,1.0,0.259,1000
D_FABRIK,down_reach,1,0.620,6.1,0.813,961
D_FABRIK,down_reach,7,0.574,5.7,0.811,966
D_FABRIK,down_reach,42,0.674,6.4,0.824,958
D_FABRIK,down_reach,1234,0.637,6.3,0.813,954
D_FABRIK,down_reach,31337,0.613,6.2,0.813,958
D_FABRIK,far_side,1,0.340,3.2,0.687,999
D_FABRIK,far_side,7,0.331,3.1,0.665,1000
D_FABRIK,far_side,42,0.341,3.2,0.692,1000
D_FABRIK,far_side,1234,0.335,3.1,0.687,1000
D_FABRIK,far_side,31337,0.336,3.1,0.679,1000
D_FABRIK,rapid_switch,1,0.195,1.5,0.290,1000
D_FABRIK,rapid_switch,7,0.201,1.5,0.290,1000
D_FABRIK,rapid_switch,42,0.193,1.5,0.290,1000
D_FABRIK,rapid_switch,1234,0.193,1.5,0.290,1000
D_FABRIK,rapid_switch,31337,0.193,1.5,0.290,1000
E_FABRIK_Constrained,forward_reach,1,0.294,1.3,0.411,1000
E_FABRIK_Constrained,forward_reach,7,0.281,1.3,0.409,1000
E_FABRIK_Constrained,forward_reach,42,0.287,1.4,0.416,1000
E_FABRIK_Constrained,forward_reach,1234,0.293,1.3,0.419,1000
E_FABRIK_Constrained,forward_reach,31337,0.285,1.3,0.426,1000
E_FABRIK_Constrained,up_reach,1,0.233,1.0,0.266,1000
E_FABRIK_Constrained,up_reach,7,0.235,1.0,0.262,1000
E_FABRIK_Constrained,up_reach,42,0.225,1.0,0.268,1000
E_FABRIK_Constrained,up_reach,1234,0.226,1.0,0.269,1000
E_FABRIK_Constrained,up_reach,31337,0.222,1.0,0.259,1000
E_FABRIK_Constrained,down_reach,1,1.161,6.1,0.813,961
E_FABRIK_Constrained,down_reach,7,1.120,5.7,0.811,966
E_FABRIK_Constrained,down_reach,42,1.240,6.4,0.824,958
E_FABRIK_Constrained,down_reach,1234,1.215,6.3,0.813,954
