strategy,scene,seed,frame_cost_us,total_cost_us,convergence_frames,peak_queue,psnr_db
A_FullBFS,uniform_open,1,0.023,0.023,1.0,0,100.00
B_Budget8Col,uniform_open,1,0.023,0.023,0.0,0,100.00
C_Queue256,uniform_open,1,0.020,0.020,0.0,0,100.00
C_Queue512,uniform_open,1,0.020,0.020,0.0,0,100.00
C_Queue1024,uniform_open,1,0.021,0.021,0.0,0,100.00
C_Queue2048,uniform_open,1,0.020,0.020,0.0,0,100.00
C_Queue4096,uniform_open,1,0.020,0.020,0.0,0,100.00
D_Adaptive10pct,uniform_open,1,0.021,0.021,0.0,0,100.00
D_Adaptive25pct,uniform_open,1,0.021,0.021,0.0,0,100.00
A_FullBFS,uniform_open,7,0.020,0.020,1.0,0,100.00
B_Budget8Col,uniform_open,7,0.020,0.020,0.0,0,100.00
C_Queue256,uniform_open,7,0.022,0.022,0.0,0,100.00
C_Queue512,uniform_open,7,0.022,0.022,0.0,0,100.00
C_Queue1024,uniform_open,7,0.021,0.021,0.0,0,100.00
C_Queue2048,uniform_open,7,0.021,0.021,0.0,0,100.00
C_Queue4096,uniform_open,7,0.021,0.021,0.0,0,100.00
D_Adaptive10pct,uniform_open,7,0.022,0.022,0.0,0,100.00
D_Adaptive25pct,uniform_open,7,0.020,0.020,0.0,0,100.00
A_FullBFS,uniform_open,42,0.020,0.020,1.0,0,100.00
B_Budget8Col,uniform_open,42,0.020,0.020,0.0,0,100.00
C_Queue256,uniform_open,42,0.020,0.020,0.0,0,100.00
C_Queue512,uniform_open,42,0.022,0.022,0.0,0,100.00
C_Queue1024,uniform_open,42,0.021,0.021,0.0,0,100.00
C_Queue2048,uniform_open,42,0.020,0.020,0.0,0,100.00
C_Queue4096,uniform_open,42,0.020,0.020,0.0,0,100.00
D_Adaptive10pct,uniform_open,42,0.021,0.021,0.0,0,100.00
D_Adaptive25pct,uniform_open,42,0.021,0.021,0.0,0,100.00
A_FullBFS,uniform_open,1234,0.020,0.020,1.0,0,100.00
B_Budget8Col,uniform_open,1234,0.020,0.020,0.0,0,100.00
C_Queue256,uniform_open,1234,0.021,0.021,0.0,0,100.00
C_Queue512,uniform_open,1234,0.022,0.022,0.0,0,100.00
C_Queue1024,uniform_open,1234,0.020,0.020,0.0,0,100.00
C_Queue2048,uniform_open,1234,0.020,0.020,0.0,0,100.00
C_Queue4096,uniform_open,1234,0.021,0.021,0.0,0,100.00
D_Adaptive10pct,uniform_open,1234,0.020,0.020,0.0,0,100.00
D_Adaptive25pct,uniform_open,1234,0.020,0.020,0.0,0,100.00
A_FullBFS,uniform_open,31337,0.020,0.020,1.0,0,100.00
B_Budget8Col,uniform_open,31337,0.021,0.021,0.0,0,100.00
C_Queue256,uniform_open,31337,0.021,0.021,0.0,0,100.00
C_Queue512,uniform_open,31337,0.020,0.020,0.0,0,100.00
C_Queue1024,uniform_open,31337,0.020,0.020,0.0,0,100.00
C_Queue2048,uniform_open,31337,0.020,0.020,0.0,0,100.00
C_Queue4096,uniform_open,31337,0.020,0.020,0.0,0,100.00
D_Adaptive10pct,uniform_open,31337,0.021,0.021,0.0,0,100.00
D_Adaptive25pct,uniform_open,31337,0.020,0.020,0.0,0,100.00
A_FullBFS,cave_system,1,16.029,16.029,1.0,0,100.00
B_Budget8Col,cave_system,1,0.148,3.245,22.0,58,100.00
C_Queue256,cave_system,1,0.219,2.841,13.0,49,100.00
C_Queue512,cave_system,1,0.209,2.715,13.0,49,100.00
C_Queue1024,cave_system,1,0.262,3.403,13.0,49,100.00
C_Queue2048,cave_system,1,0.277,3.598,13.0,49,100.00
C_Queue4096,cave_system,1,0.223,2.894,13.0,49,100.00
D_Adaptive10pct,cave_system,1,0.227,2.952,13.0,49,100.00
D_Adaptive25pct,cave_system,1,0.255,3.317,13.0,49,100.00
A_FullBFS,cave_system,7,14.886,14.886,1.0,0,100.00
B_Budget8Col,cave_system,7,0.176,4.571,26.0,51,100.00
C_Queue256,cave_system,7,0.235,3.532,15.0,33,100.00
C_Queue512,cave_system,7,0.206,3.094,15.0,33,100.00
C_Queue1024,cave_system,7,0.272,4.077,15.0,33,100.00
C_Queue2048,cave_system,7,0.220,3.299,15.0,33,100.00
C_Queue4096,cave_system,7,0.247,3.710,15.0,33,100.00
D_Adaptive10pct,cave_system,7,0.231,3.460,15.0,33,100.00
D_Adaptive25pct,cave_system,7,0.241,3.614,15.0,33,100.00
A_FullBFS,cave_system,42,0.022,0.022,1.0,0,100.00
B_Budget8Col,cave_system,42,0.023,0.023,0.0,0,100.00
