
=== SUMMARY ===
Strategy             Scene            FrameCost(us) TotalCost(us)       Frames      PeakQ     PSNR
A_FullBFS            uniform_open            0.021        0.021          1.0          0   100.00
B_Budget8Col         uniform_open            0.021        0.021          0.0          0   100.00
C_Queue256           uniform_open            0.021        0.021          0.0          0   100.00
C_Queue512           uniform_open            0.021        0.021          0.0          0   100.00
C_Queue1024          uniform_open            0.021        0.021          0.0          0   100.00
C_Queue2048          uniform_open            0.020        0.020          0.0          0   100.00
C_Queue4096          uniform_open            0.020        0.020          0.0          0   100.00
D_Adaptive10pct      uniform_open            0.021        0.021          0.0          0   100.00
D_Adaptive25pct      uniform_open            0.021        0.021          0.0          0   100.00
A_FullBFS            cave_system            13.696       13.696          1.0          0   100.00
B_Budget8Col         cave_system             0.138        3.312         19.8         61   100.00
C_Queue256           cave_system             0.195        2.729         11.4         52   100.00
C_Queue512           cave_system             0.190        2.658         11.4         52   100.00
C_Queue1024          cave_system             0.219        3.075         11.4         52   100.00
C_Queue2048          cave_system             0.204        2.837         11.4         52   100.00
C_Queue4096          cave_system             0.201        2.821         11.4         52   100.00
D_Adaptive10pct      cave_system             0.196        2.729         11.4         52   100.00
D_Adaptive25pct      cave_system             0.219        3.069         11.4         52   100.00
A_FullBFS            single_room             6.086        6.086          1.0          0   100.00
B_Budget8Col         single_room             0.092        1.565         17.0         22   100.00
C_Queue256           single_room             0.124        1.366         11.0         19   100.00
C_Queue512           single_room             0.115        1.261         11.0         19   100.00
C_Queue1024          single_room             0.121        1.334         11.0         19   100.00
C_Queue2048          single_room             0.114        1.255         11.0         19   100.00
C_Queue4096          single_room             0.116        1.279         11.0         19   100.00
D_Adaptive10pct      single_room             0.127        1.392         11.0         19   100.00
D_Adaptive25pct      single_room             0.118        1.303         11.0         19   100.00
A_FullBFS            multi_torch             0.563        0.563          1.0          0   100.00
B_Budget8Col         multi_torch             0.034        0.447         13.0          9   100.00
C_Queue256           multi_torch             0.064        0.487          7.6          8   100.00
C_Queue512           multi_torch             0.063        0.473          7.6          8   100.00
C_Queue1024          multi_torch             0.058        0.436          7.6          8   100.00
C_Queue2048          multi_torch             0.066        0.499          7.6          8   100.00
C_Queue4096          multi_torch             0.059        0.448          7.6          8   100.00
D_Adaptive10pct      multi_torch             0.057        0.429          7.6          8   100.00
D_Adaptive25pct      multi_torch             0.066        0.502          7.6          8   100.00
A_FullBFS            dense_foliage           0.030        0.030          1.0          0   100.00
B_Budget8Col         dense_foliage           0.033        0.033          1.0          1   100.00
C_Queue256           dense_foliage           0.031        0.031          1.0          1   100.00
C_Queue512           dense_foliage           0.033        0.033          1.0          1   100.00
C_Queue1024          dense_foliage           0.031        0.031          1.0          1   100.00
C_Queue2048          dense_foliage           0.033        0.033          1.0          1   100.00
C_Queue4096          dense_foliage           0.030        0.030          1.0          1   100.00
D_Adaptive10pct      dense_foliage           0.033        0.033          1.0          1   100.00
D_Adaptive25pct      dense_foliage           0.035        0.035          1.0          1   100.00

=== PER-STRATEGY AGGREGATE (across all scenes) ===
Strategy             FrameCost(us) TotalCost(us)       Frames      PeakQ     PSNR   RelCost(%)
A_FullBFS                   4.079        4.079          1.0          0   100.00       100.0%
B_Budget8Col                0.064        1.076         10.2         61   100.00        26.4%
C_Queue256                  0.087        0.927          6.2         52   100.00        22.7%
C_Queue512                  0.084        0.889          6.2         52   100.00        21.8%
C_Queue1024                 0.090        0.979          6.2         52   100.00        24.0%
C_Queue2048                 0.087        0.929          6.2         52   100.00        22.8%
C_Queue4096                 0.085        0.920          6.2         52   100.00        22.5%
D_Adaptive10pct             0.087        0.921          6.2         52   100.00        22.6%
D_Adaptive25pct             0.092        0.986          6.2         52   100.00        24.2%
