Strategy,Scale,NumSoldiers,Seed,StepTimeNsPerSoldier,CasualtiesPct,AvgStamina
A_Baseline_Simple,skirmish_64,64,0,16.47,0.00,100.00
A_Baseline_Simple,skirmish_64,64,1,18.84,0.00,100.00
A_Baseline_Simple,skirmish_64,64,2,19.55,0.00,100.00
A_Baseline_Simple,skirmish_64,64,3,16.07,0.00,100.00
A_Baseline_Simple,skirmish_64,64,4,16.40,0.00,100.00
B_Stamina_Loadout,skirmish_64,64,0,19.16,0.00,61.32
B_Stamina_Loadout,skirmish_64,64,1,19.01,0.00,62.95
B_Stamina_Loadout,skirmish_64,64,2,20.63,0.00,61.78
B_Stamina_Loadout,skirmish_64,64,3,19.21,0.00,59.16
B_Stamina_Loadout,skirmish_64,64,4,19.06,0.00,59.65
C_Stamina_LimbDamage,skirmish_64,64,0,26.08,0.00,55.41
C_Stamina_LimbDamage,skirmish_64,64,1,27.31,0.00,55.97
C_Stamina_LimbDamage,skirmish_64,64,2,25.08,0.00,55.42
C_Stamina_LimbDamage,skirmish_64,64,3,25.23,0.00,53.61
C_Stamina_LimbDamage,skirmish_64,64,4,25.69,0.00,52.63
D_Stamina_LimbDamage_Medical,skirmish_64,64,0,32.47,0.00,60.65
D_Stamina_LimbDamage_Medical,skirmish_64,64,1,30.29,0.00,62.14
D_Stamina_LimbDamage_Medical,skirmish_64,64,2,30.07,0.00,60.94
D_Stamina_LimbDamage_Medical,skirmish_64,64,3,35.91,0.00,58.44
D_Stamina_LimbDamage_Medical,skirmish_64,64,4,29.73,0.00,58.83
E_Vectorized_SoA,skirmish_64,64,0,15.38,0.00,80.73
E_Vectorized_SoA,skirmish_64,64,1,20.45,0.00,82.67
E_Vectorized_SoA,skirmish_64,64,2,14.57,0.00,81.85
E_Vectorized_SoA,skirmish_64,64,3,14.73,0.00,81.37
E_Vectorized_SoA,skirmish_64,64,4,15.06,0.00,79.50
A_Baseline_Simple,company_256,256,0,19.45,0.00,100.00
A_Baseline_Simple,company_256,256,1,19.19,0.00,100.00
A_Baseline_Simple,company_256,256,2,16.30,0.00,100.00
A_Baseline_Simple,company_256,256,3,16.03,0.00,100.00
A_Baseline_Simple,company_256,256,4,16.60,0.00,100.00
B_Stamina_Loadout,company_256,256,0,18.83,0.00,59.63
B_Stamina_Loadout,company_256,256,1,22.25,0.00,60.33
B_Stamina_Loadout,company_256,256,2,18.77,0.00,61.54
B_Stamina_Loadout,company_256,256,3,19.63,0.00,59.78
B_Stamina_Loadout,company_256,256,4,21.49,0.00,60.50
C_Stamina_LimbDamage,company_256,256,0,26.37,0.00,53.57
C_Stamina_LimbDamage,company_256,256,1,29.75,0.00,54.40
C_Stamina_LimbDamage,company_256,256,2,35.68,0.00,55.40
C_Stamina_LimbDamage,company_256,256,3,25.21,0.00,53.13
C_Stamina_LimbDamage,company_256,256,4,26.13,0.00,53.84
D_Stamina_LimbDamage_Medical,company_256,256,0,29.89,0.00,58.99
D_Stamina_LimbDamage_Medical,company_256,256,1,30.34,0.00,59.60
D_Stamina_LimbDamage_Medical,company_256,256,2,30.91,0.00,60.87
D_Stamina_LimbDamage_Medical,company_256,256,3,31.63,0.00,59.04
D_Stamina_LimbDamage_Medical,company_256,256,4,30.99,0.00,59.73
E_Vectorized_SoA,company_256,256,0,14.77,0.00,81.48
E_Vectorized_SoA,company_256,256,1,16.84,0.00,81.80
E_Vectorized_SoA,company_256,256,2,15.77,0.00,82.20
E_Vectorized_SoA,company_256,256,3,15.46,0.00,80.58
E_Vectorized_SoA,company_256,256,4,16.31,0.00,80.61
A_Baseline_Simple,battalion_1024,1024,0,16.25,0.00,100.00
A_Baseline_Simple,battalion_1024,1024,1,16.97,0.00,100.00
A_Baseline_Simple,battalion_1024,1024,2,19.45,0.00,100.00
A_Baseline_Simple,battalion_1024,1024,3,16.81,0.00,100.00
A_Baseline_Simple,battalion_1024,1024,4,16.64,0.00,100.00
B_Stamina_Loadout,battalion_1024,1024,0,19.16,0.00,60.67
B_Stamina_Loadout,battalion_1024,1024,1,19.18,0.00,60.84
B_Stamina_Loadout,battalion_1024,1024,2,21.91,0.00,61.22
B_Stamina_Loadout,battalion_1024,1024,3,25.61,0.00,60.72
B_Stamina_Loadout,battalion_1024,1024,4,21.13,0.00,60.14
C_Stamina_LimbDamage,battalion_1024,1024,0,31.84,0.00,54.23
C_Stamina_LimbDamage,battalion_1024,1024,1,26.38,0.00,54.55
C_Stamina_LimbDamage,battalion_1024,1024,2,26.86,0.00,54.87
C_Stamina_LimbDamage,battalion_1024,1024,3,28.58,0.00,54.33
C_Stamina_LimbDamage,battalion_1024,1024,4,28.98,0.00,53.76
D_Stamina_LimbDamage_Medical,battalion_1024,1024,0,40.03,0.00,59.92
D_Stamina_LimbDamage_Medical,battalion_1024,1024,1,31.72,0.00,60.12
D_Stamina_LimbDamage_Medical,battalion_1024,1024,2,31.76,0.00,60.51
D_Stamina_LimbDamage_Medical,battalion_1024,1024,3,32.21,0.00,60.00
D_Stamina_LimbDamage_Medical,battalion_1024,1024,4,30.27,0.00,59.46
E_Vectorized_SoA,battalion_1024,1024,0,14.40,0.00,81.66
E_Vectorized_SoA,battalion_1024,1024,1,15.20,0.00,81.08
E_Vectorized_SoA,battalion_1024,1024,2,14.90,0.00,81.90
E_Vectorized_SoA,battalion_1024,1024,3,15.50,0.00,80.84
E_Vectorized_SoA,battalion_1024,1024,4,14.60,0.00,81.51
A_Baseline_Simple,brigade_4096,4096,0,16.36,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,1,16.05,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,2,16.42,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,3,16.38,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,4,15.83,0.00,100.00
B_Stamina_Loadout,brigade_4096,4096,0,18.75,0.00,59.85
B_Stamina_Loadout,brigade_4096,4096,1,19.06,0.00,59.47
B_Stamina_Loadout,brigade_4096,4096,2,20.94,0.00,59.77
B_Stamina_Loadout,brigade_4096,4096,3,20.01,0.00,59.98
B_Stamina_Loadout,brigade_4096,4096,4,18.53,0.00,59.95
C_Stamina_LimbDamage,brigade_4096,4096,0,25.88,0.00,53.63
C_Stamina_LimbDamage,brigade_4096,4096,1,26.83,0.00,53.21
C_Stamina_LimbDamage,brigade_4096,4096,2,28.53,0.00,53.52
C_Stamina_LimbDamage,brigade_4096,4096,3,24.89,0.00,53.67
C_Stamina_LimbDamage,brigade_4096,4096,4,25.06,0.00,53.72
D_Stamina_LimbDamage_Medical,brigade_4096,4096,0,31.62,0.00,59.15
D_Stamina_LimbDamage_Medical,brigade_4096,4096,1,30.03,0.00,58.75
D_Stamina_LimbDamage_Medical,brigade_4096,4096,2,30.14,0.00,59.05
D_Stamina_LimbDamage_Medical,brigade_4096,4096,3,30.48,0.00,59.26
D_Stamina_LimbDamage_Medical,brigade_4096,4096,4,30.22,0.00,59.24
