strategy,scene,seed,t_value,build_us_mean,memory_bytes,triangle_count,psnr_db_mean,vertex_disc_max
A_Pop,uniform_floor,1,avg,4.5002,24576,384,27.9291,0.707107
A_Pop,uniform_floor,7,avg,4.45928,24576,384,27.9291,0.707107
A_Pop,uniform_floor,42,avg,5.12885,24576,384,27.9291,0.707107
A_Pop,uniform_floor,1234,avg,5.36516,24576,384,27.9291,0.707107
A_Pop,uniform_floor,31337,avg,4.19283,24576,384,27.9291,0.707107
A_Pop,forest_floor,1,avg,5.07597,32768,512,27.6649,0.722999
A_Pop,forest_floor,7,avg,5.04017,32512,508,27.6631,0.722999
A_Pop,forest_floor,42,avg,5.03453,34304,536,27.6608,0.722999
A_Pop,forest_floor,1234,avg,6.82276,34304,536,27.6608,0.722999
A_Pop,forest_floor,31337,avg,6.77036,32768,512,27.6649,0.722999
A_Pop,cave_stress,1,avg,27.9308,77824,1216,27.6608,0.722999
A_Pop,cave_stress,7,avg,25.3561,77824,1216,27.6608,0.722999
A_Pop,cave_stress,42,avg,24.5486,77824,1216,27.6608,0.722999
A_Pop,cave_stress,1234,avg,23.5896,77824,1216,27.6608,0.722999
A_Pop,cave_stress,31337,avg,24.0536,77824,1216,27.6608,0.722999
A_Pop,mixed_biome,1,avg,8.89918,49152,768,27.9291,0.707107
A_Pop,mixed_biome,7,avg,7.01064,49152,768,27.9291,0.707107
A_Pop,mixed_biome,42,avg,7.12037,49152,768,27.9291,0.707107
A_Pop,mixed_biome,1234,avg,7.19878,49152,768,27.9291,0.707107
A_Pop,mixed_biome,31337,avg,7.46425,49152,768,27.9291,0.707107
A_Pop,biome_boundary,1,avg,18.177,69632,1088,27.5941,0.722999
A_Pop,biome_boundary,7,avg,19.2012,69632,1088,27.5941,0.722999
A_Pop,biome_boundary,42,avg,19.0566,69632,1088,27.5941,0.722999
A_Pop,biome_boundary,1234,avg,19.161,69632,1088,27.5941,0.722999
A_Pop,biome_boundary,31337,avg,18.3353,69632,1088,27.5941,0.722999
B_Crossfade,uniform_floor,1,avg,7.79116,49152,768,27.9291,0.707107
B_Crossfade,uniform_floor,7,avg,8.91068,49152,768,27.9291,0.707107
B_Crossfade,uniform_floor,42,avg,8.35753,49152,768,27.9291,0.707107
B_Crossfade,uniform_floor,1234,avg,9.89926,49152,768,27.9291,0.707107
B_Crossfade,uniform_floor,31337,avg,10.1532,49152,768,27.9291,0.707107
B_Crossfade,forest_floor,1,avg,10.0466,61440,960,18.3136,4.272
B_Crossfade,forest_floor,7,avg,8.35597,61184,956,18.1268,4.15331
B_Crossfade,forest_floor,42,avg,9.45293,62976,984,17.7875,4.38748
B_Crossfade,forest_floor,1234,avg,9.44388,62976,984,17.7875,4.38748
B_Crossfade,forest_floor,31337,avg,8.53506,61440,960,18.3136,4.272
B_Crossfade,cave_stress,1,avg,47.093,139264,2176,15.7111,5.85235
B_Crossfade,cave_stress,7,avg,46.7584,139264,2176,15.6702,5.67891
B_Crossfade,cave_stress,42,avg,45.3941,139264,2176,15.6975,5.67891
B_Crossfade,cave_stress,1234,avg,46.0068,139264,2176,15.8074,5.85235
B_Crossfade,cave_stress,31337,avg,46.6072,139264,2176,15.7398,5.85235
B_Crossfade,mixed_biome,1,avg,27.6103,98304,1536,27.9291,0.707107
B_Crossfade,mixed_biome,7,avg,27.8931,98304,1536,27.9291,0.707107
B_Crossfade,mixed_biome,42,avg,29.7543,98304,1536,27.9291,0.707107
B_Crossfade,mixed_biome,1234,avg,28.482,98304,1536,27.9291,0.707107
B_Crossfade,mixed_biome,31337,avg,28.0191,98304,1536,27.9291,0.707107
B_Crossfade,biome_boundary,1,avg,40.9244,118784,1856,15.6397,5.65685
B_Crossfade,biome_boundary,7,avg,38.734,118784,1856,15.6397,5.65685
B_Crossfade,biome_boundary,42,avg,41.8373,118784,1856,15.6397,5.65685
B_Crossfade,biome_boundary,1234,avg,42.0714,118784,1856,15.6397,5.65685
B_Crossfade,biome_boundary,31337,avg,43.3354,118784,1856,15.6397,5.65685
C_Geomorph,uniform_floor,1,avg,8.48237,52224,384,27.9291,0.707107
C_Geomorph,uniform_floor,7,avg,9.35626,52224,384,27.9291,0.707107
C_Geomorph,uniform_floor,42,avg,8.78663,52224,384,27.9291,0.707107
C_Geomorph,uniform_floor,1234,avg,10.372,52224,384,27.9291,0.707107
C_Geomorph,uniform_floor,31337,avg,8.45391,52224,384,27.9291,0.707107
C_Geomorph,forest_floor,1,avg,9.20192,66560,512,18.3136,4.272
C_Geomorph,forest_floor,7,avg,9.38777,66208,508,18.1268,4.15331
C_Geomorph,forest_floor,42,avg,9.15603,68672,536,17.7875,4.38748
C_Geomorph,forest_floor,1234,avg,9.60658,68672,536,17.7875,4.38748
C_Geomorph,forest_floor,31337,avg,8.68932,66560,512,18.3136,4.272
C_Geomorph,cave_stress,1,avg,49.9167,153088,1216,15.7111,5.85235
C_Geomorph,cave_stress,7,avg,49.0741,153088,1216,15.6702,5.67891
C_Geomorph,cave_stress,42,avg,46.0234,153088,1216,15.6975,5.67891
C_Geomorph,cave_stress,1234,avg,45.5496,153088,1216,15.8074,5.85235
C_Geomorph,cave_stress,31337,avg,44.081,153088,1216,15.7398,5.85235
C_Geomorph,mixed_biome,1,avg,27.3052,104448,768,27.9291,0.707107
C_Geomorph,mixed_biome,7,avg,28.0644,104448,768,27.9291,0.707107
C_Geomorph,mixed_biome,42,avg,26.89,104448,768,27.9291,0.707107
C_Geomorph,mixed_biome,1234,avg,28.2073,104448,768,27.9291,0.707107
C_Geomorph,mixed_biome,31337,avg,29.4575,104448,768,27.9291,0.707107
C_Geomorph,biome_boundary,1,avg,40.5463,132608,1088,15.6397,5.65685
C_Geomorph,biome_boundary,7,avg,38.1466,132608,1088,15.6397,5.65685
C_Geomorph,biome_boundary,42,avg,41.8823,132608,1088,15.6397,5.65685
C_Geomorph,biome_boundary,1234,avg,40.3298,132608,1088,15.6397,5.65685
C_Geomorph,biome_boundary,31337,avg,42.7065,132608,1088,15.6397,5.65685
D_PreComputedMorphTargets,uniform_floor,1,avg,9.57675,79872,384,27.9291,0.707107
D_PreComputedMorphTargets,uniform_floor,7,avg,10.0601,79872,384,27.9291,0.707107
D_PreComputedMorphTargets,uniform_floor,42,avg,9.02306,79872,384,27.9291,0.707107
D_PreComputedMorphTargets,uniform_floor,1234,avg,9.88225,79872,384,27.9291,0.707107
D_PreComputedMorphTargets,uniform_floor,31337,avg,9.28415,79872,384,27.9291,0.707107
D_PreComputedMorphTargets,forest_floor,1,avg,10.1247,103424,512,18.3136,4.272
D_PreComputedMorphTargets,forest_floor,7,avg,10.8511,102784,508,18.1268,4.15331
D_PreComputedMorphTargets,forest_floor,42,avg,33.7275,107264,536,17.7875,4.38748
D_PreComputedMorphTargets,forest_floor,1234,avg,33.2109,107264,536,17.7875,4.38748
D_PreComputedMorphTargets,forest_floor,31337,avg,10.3825,103424,512,18.3136,4.272
D_PreComputedMorphTargets,cave_stress,1,avg,93.8876,240640,1216,15.7111,5.85235
D_PreComputedMorphTargets,cave_stress,7,avg,95.4368,240640,1216,15.6702,5.67891
D_PreComputedMorphTargets,cave_stress,42,avg,99.0971,240640,1216,15.6975,5.67891
D_PreComputedMorphTargets,cave_stress,1234,avg,100.396,240640,1216,15.8074,5.85235
D_PreComputedMorphTargets,cave_stress,31337,avg,100.623,240640,1216,15.7398,5.85235
D_PreComputedMorphTargets,mixed_biome,1,avg,57.2596,159744,768,27.9291,0.707107
D_PreComputedMorphTargets,mixed_biome,7,avg,55.2053,159744,768,27.9291,0.707107
D_PreComputedMorphTargets,mixed_biome,42,avg,57.7084,159744,768,27.9291,0.707107
D_PreComputedMorphTargets,mixed_biome,1234,avg,55.7829,159744,768,27.9291,0.707107
D_PreComputedMorphTargets,mixed_biome,31337,avg,56.2603,159744,768,27.9291,0.707107
D_PreComputedMorphTargets,biome_boundary,1,avg,81.5389,210944,1088,15.6397,5.65685
D_PreComputedMorphTargets,biome_boundary,7,avg,81.1402,210944,1088,15.6397,5.65685
D_PreComputedMorphTargets,biome_boundary,42,avg,79.9306,210944,1088,15.6397,5.65685
D_PreComputedMorphTargets,biome_boundary,1234,avg,80.6933,210944,1088,15.6397,5.65685
D_PreComputedMorphTargets,biome_boundary,31337,avg,78.7082,210944,1088,15.6397,5.65685
E_HZB_Stitch,uniform_floor,1,avg,8.27212,49536,384,27.9291,0.707107
E_HZB_Stitch,uniform_floor,7,avg,7.77558,49536,384,27.9291,0.707107
E_HZB_Stitch,uniform_floor,42,avg,8.18591,49536,384,27.9291,0.707107
E_HZB_Stitch,uniform_floor,1234,avg,7.56754,49536,384,27.9291,0.707107
E_HZB_Stitch,uniform_floor,31337,avg,7.70716,49536,384,27.9291,0.707107
E_HZB_Stitch,forest_floor,1,avg,8.80486,61920,512,27.6649,0.722999
E_HZB_Stitch,forest_floor,7,avg,8.32103,61662,508,27.6631,0.722999
E_HZB_Stitch,forest_floor,42,avg,8.68766,63468,536,27.6608,0.722999
E_HZB_Stitch,forest_floor,1234,avg,8.75319,63468,536,27.6608,0.722999
E_HZB_Stitch,forest_floor,31337,avg,8.09704,61920,512,27.6649,0.722999
E_HZB_Stitch,cave_stress,1,avg,44.7663,140352,1216,27.6608,0.722999
E_HZB_Stitch,cave_stress,7,avg,43.4574,140352,1216,27.6608,0.722999
E_HZB_Stitch,cave_stress,42,avg,43.0971,140352,1216,27.6608,0.722999
E_HZB_Stitch,cave_stress,1234,avg,42.6238,140352,1216,27.6608,0.722999
E_HZB_Stitch,cave_stress,31337,avg,44.1587,140352,1216,27.6608,0.722999
E_HZB_Stitch,mixed_biome,1,avg,26.4451,99072,768,27.9291,0.707107
E_HZB_Stitch,mixed_biome,7,avg,26.4426,99072,768,27.9291,0.707107
E_HZB_Stitch,mixed_biome,42,avg,27.3434,99072,768,27.9291,0.707107
E_HZB_Stitch,mixed_biome,1234,avg,28.4581,99072,768,27.9291,0.707107
E_HZB_Stitch,mixed_biome,31337,avg,26.9899,99072,768,27.9291,0.707107
E_HZB_Stitch,biome_boundary,1,avg,38.3548,119712,1088,27.5941,0.722999
E_HZB_Stitch,biome_boundary,7,avg,38.4419,119712,1088,27.5941,0.722999
E_HZB_Stitch,biome_boundary,42,avg,37.9789,119712,1088,27.5941,0.722999
E_HZB_Stitch,biome_boundary,1234,avg,36.821,119712,1088,27.5941,0.722999
E_HZB_Stitch,biome_boundary,31337,avg,36.6039,119712,1088,27.5941,0.722999
