Strategy,Scene,NumShips,Seed,Iter,TotalNs,PerTickNs,PerShipNs
A_StaticAtRest,patrol,4,0,1000,28629,28,7
B_HeightmapOnly,patrol,4,0,1000,35030,35,8.75
C_VoxelPerColumn,patrol,4,0,1000,35810,35,8.75
D_Voxel6DOFAddedMass,patrol,4,0,1000,67379,67,16.75
E_Voxel6DOFFullFEM,patrol,4,0,1000,89470,89,22.25
A_StaticAtRest,patrol,4,1,1000,28300,28,7
B_HeightmapOnly,patrol,4,1,1000,35020,35,8.75
C_VoxelPerColumn,patrol,4,1,1000,42840,42,10.5
D_Voxel6DOFAddedMass,patrol,4,1,1000,67260,67,16.75
E_Voxel6DOFFullFEM,patrol,4,1,1000,89550,89,22.25
A_StaticAtRest,patrol,4,2,1000,29640,29,7.25
B_HeightmapOnly,patrol,4,2,1000,35030,35,8.75
C_VoxelPerColumn,patrol,4,2,1000,37040,37,9.25
D_Voxel6DOFAddedMass,patrol,4,2,1000,66930,66,16.5
E_Voxel6DOFFullFEM,patrol,4,2,1000,89569,89,22.25
A_StaticAtRest,patrol,4,3,1000,29530,29,7.25
B_HeightmapOnly,patrol,4,3,1000,34910,34,8.5
C_VoxelPerColumn,patrol,4,3,1000,36720,36,9
D_Voxel6DOFAddedMass,patrol,4,3,1000,67719,67,16.75
E_Voxel6DOFFullFEM,patrol,4,3,1000,94690,94,23.5
A_StaticAtRest,patrol,4,4,1000,28390,28,7
B_HeightmapOnly,patrol,4,4,1000,35040,35,8.75
C_VoxelPerColumn,patrol,4,4,1000,35919,35,8.75
D_Voxel6DOFAddedMass,patrol,4,4,1000,68310,68,17
E_Voxel6DOFFullFEM,patrol,4,4,1000,89050,89,22.25
A_StaticAtRest,squadron,16,0,1000,64640,64,4
B_HeightmapOnly,squadron,16,0,1000,69760,69,4.3125
C_VoxelPerColumn,squadron,16,0,1000,59839,59,3.6875
D_Voxel6DOFAddedMass,squadron,16,0,1000,159010,159,9.9375
E_Voxel6DOFFullFEM,squadron,16,0,1000,234349,234,14.625
A_StaticAtRest,squadron,16,1,1000,51089,51,3.1875
B_HeightmapOnly,squadron,16,1,1000,55670,55,3.4375
C_VoxelPerColumn,squadron,16,1,1000,57420,57,3.5625
D_Voxel6DOFAddedMass,squadron,16,1,1000,205549,205,12.8125
E_Voxel6DOFFullFEM,squadron,16,1,1000,328409,328,20.5
A_StaticAtRest,squadron,16,2,1000,67950,67,4.1875
B_HeightmapOnly,squadron,16,2,1000,56230,56,3.5
C_VoxelPerColumn,squadron,16,2,1000,69780,69,4.3125
D_Voxel6DOFAddedMass,squadron,16,2,1000,163560,163,10.1875
E_Voxel6DOFFullFEM,squadron,16,2,1000,237760,237,14.8125
A_StaticAtRest,squadron,16,3,1000,51360,51,3.1875
B_HeightmapOnly,squadron,16,3,1000,56120,56,3.5
C_VoxelPerColumn,squadron,16,3,1000,57590,57,3.5625
D_Voxel6DOFAddedMass,squadron,16,3,1000,165669,165,10.3125
E_Voxel6DOFFullFEM,squadron,16,3,1000,230899,230,14.375
A_StaticAtRest,squadron,16,4,1000,51370,51,3.1875
B_HeightmapOnly,squadron,16,4,1000,55940,55,3.4375
C_VoxelPerColumn,squadron,16,4,1000,57220,57,3.5625
D_Voxel6DOFAddedMass,squadron,16,4,1000,159500,159,9.9375
E_Voxel6DOFFullFEM,squadron,16,4,1000,230759,230,14.375
A_StaticAtRest,task_force,64,0,1000,167350,167,2.60938
B_HeightmapOnly,task_force,64,0,1000,173539,173,2.70312
C_VoxelPerColumn,task_force,64,0,1000,173449,173,2.70312
D_Voxel6DOFAddedMass,task_force,64,0,1000,589028,589,9.20312
E_Voxel6DOFFullFEM,task_force,64,0,1000,869397,869,13.5781
A_StaticAtRest,task_force,64,1,1000,171239,171,2.67188
B_HeightmapOnly,task_force,64,1,1000,177059,177,2.76562
C_VoxelPerColumn,task_force,64,1,1000,241789,241,3.76562
D_Voxel6DOFAddedMass,task_force,64,1,1000,639438,639,9.98438
E_Voxel6DOFFullFEM,task_force,64,1,1000,905336,905,14.1406
A_StaticAtRest,task_force,64,2,1000,168620,168,2.625
B_HeightmapOnly,task_force,64,2,1000,174759,174,2.71875
C_VoxelPerColumn,task_force,64,2,1000,181679,181,2.82812
D_Voxel6DOFAddedMass,task_force,64,2,1000,665008,665,10.3906
E_Voxel6DOFFullFEM,task_force,64,2,1000,1252816,1252,19.5625
A_StaticAtRest,task_force,64,3,1000,209069,209,3.26562
B_HeightmapOnly,task_force,64,3,1000,214709,214,3.34375
C_VoxelPerColumn,task_force,64,3,1000,225239,225,3.51562
D_Voxel6DOFAddedMass,task_force,64,3,1000,766007,766,11.9688
E_Voxel6DOFFullFEM,task_force,64,3,1000,1160946,1160,18.125
A_StaticAtRest,task_force,64,4,1000,229279,229,3.57812
B_HeightmapOnly,task_force,64,4,1000,231869,231,3.60938
C_VoxelPerColumn,task_force,64,4,1000,231829,231,3.60938
D_Voxel6DOFAddedMass,task_force,64,4,1000,766887,766,11.9688
E_Voxel6DOFFullFEM,task_force,64,4,1000,1200425,1200,18.75
A_StaticAtRest,large_fleet,256,0,1000,801978,801,3.12891
B_HeightmapOnly,large_fleet,256,0,1000,798227,798,3.11719
C_VoxelPerColumn,large_fleet,256,0,1000,807817,807,3.15234
D_Voxel6DOFAddedMass,large_fleet,256,0,1000,2898839,2898,11.3203
E_Voxel6DOFFullFEM,large_fleet,256,0,1000,3916735,3916,15.2969
A_StaticAtRest,large_fleet,256,1,1000,642597,642,2.50781
B_HeightmapOnly,large_fleet,256,1,1000,648448,648,2.53125
C_VoxelPerColumn,large_fleet,256,1,1000,647067,647,2.52734
D_Voxel6DOFAddedMass,large_fleet,256,1,1000,2444981,2444,9.54688
E_Voxel6DOFFullFEM,large_fleet,256,1,1000,3745146,3745,14.6289
A_StaticAtRest,large_fleet,256,2,1000,636837,636,2.48438
B_HeightmapOnly,large_fleet,256,2,1000,650538,650,2.53906
C_VoxelPerColumn,large_fleet,256,2,1000,652817,652,2.54688
D_Voxel6DOFAddedMass,large_fleet,256,2,1000,2336261,2336,9.125
E_Voxel6DOFFullFEM,large_fleet,256,2,1000,3499237,3499,13.668
A_StaticAtRest,large_fleet,256,3,1000,655088,655,2.55859
B_HeightmapOnly,large_fleet,256,3,1000,646498,646,2.52344
C_VoxelPerColumn,large_fleet,256,3,1000,659268,659,2.57422
D_Voxel6DOFAddedMass,large_fleet,256,3,1000,2870799,2870,11.2109
E_Voxel6DOFFullFEM,large_fleet,256,3,1000,3759206,3759,14.6836
A_StaticAtRest,large_fleet,256,4,1000,654408,654,2.55469
B_HeightmapOnly,large_fleet,256,4,1000,660768,660,2.57812
C_VoxelPerColumn,large_fleet,256,4,1000,659217,659,2.57422
D_Voxel6DOFAddedMass,large_fleet,256,4,1000,2352621,2352,9.1875
E_Voxel6DOFFullFEM,large_fleet,256,4,1000,3473777,3473,13.5664
A_StaticAtRest,naval_battle,512,0,1000,1281676,1281,2.50195
B_HeightmapOnly,naval_battle,512,0,1000,1310545,1310,2.55859
C_VoxelPerColumn,naval_battle,512,0,1000,1351584,1351,2.63867
D_Voxel6DOFAddedMass,naval_battle,512,0,1000,4744142,4744,9.26562
E_Voxel6DOFFullFEM,naval_battle,512,0,1000,7330263,7330,14.3164
A_StaticAtRest,naval_battle,512,1,1000,1288325,1288,2.51562
B_HeightmapOnly,naval_battle,512,1,1000,1312635,1312,2.5625
C_VoxelPerColumn,naval_battle,512,1,1000,1624194,1624,3.17188
D_Voxel6DOFAddedMass,naval_battle,512,1,1000,6206807,6206,12.1211
E_Voxel6DOFFullFEM,naval_battle,512,1,1000,8612008,8612,16.8203
A_StaticAtRest,naval_battle,512,2,1000,1740044,1740,3.39844
B_HeightmapOnly,naval_battle,512,2,1000,1599154,1599,3.12305
C_VoxelPerColumn,naval_battle,512,2,1000,1314965,1314,2.56641
D_Voxel6DOFAddedMass,naval_battle,512,2,1000,4923142,4923,9.61523
E_Voxel6DOFFullFEM,naval_battle,512,2,1000,7668792,7668,14.9766
A_StaticAtRest,naval_battle,512,3,1000,1294127,1294,2.52734
B_HeightmapOnly,naval_battle,512,3,1000,1291125,1291,2.52148
C_VoxelPerColumn,naval_battle,512,3,1000,1296755,1296,2.53125
D_Voxel6DOFAddedMass,naval_battle,512,3,1000,4693113,4693,9.16602
E_Voxel6DOFFullFEM,naval_battle,512,3,1000,7160693,7160,13.9844
A_StaticAtRest,naval_battle,512,4,1000,1291385,1291,2.52148
B_HeightmapOnly,naval_battle,512,4,1000,1285165,1285,2.50977
C_VoxelPerColumn,naval_battle,512,4,1000,1290585,1290,2.51953
D_Voxel6DOFAddedMass,naval_battle,512,4,1000,4685263,4685,9.15039
E_Voxel6DOFFullFEM,naval_battle,512,4,1000,7471172,7471,14.5918
