strategy,scene,seed,iter,op,us,bytes,ok
A_FullJSON_SingleFile,small_world,1,0,save,2699.04,330933,1
A_FullJSON_SingleFile,small_world,1,0,load,828.38,330933,1
A_FullJSON_SingleFile,small_world,1,0,verify,3.92,0,1
A_FullJSON_SingleFile,small_world,1,0,mutate_save_0,3949.32,330933,1
A_FullJSON_SingleFile,small_world,1,0,delta_load,835.64,330933,1
B_ChunkedBinary_Raw,small_world,1,0,save,294.34,231048,1
B_ChunkedBinary_Raw,small_world,1,0,load,119.96,231048,1
B_ChunkedBinary_Raw,small_world,1,0,verify,3.90,0,1
B_ChunkedBinary_Raw,small_world,1,0,mutate_save_0,1595.79,231048,1
B_ChunkedBinary_Raw,small_world,1,0,delta_load,157.41,231048,1
C_ChunkedBinary_Zstd,small_world,1,0,save,1145.50,153784,1
C_ChunkedBinary_Zstd,small_world,1,0,load,387.88,153784,1
C_ChunkedBinary_Zstd,small_world,1,0,verify,4.07,0,1
C_ChunkedBinary_Zstd,small_world,1,0,mutate_save_0,2129.90,153784,1
C_ChunkedBinary_Zstd,small_world,1,0,delta_load,393.20,153784,1
D_VersionedChunked_Delta_LZ4,small_world,1,0,save,1029.07,153225,1
D_VersionedChunked_Delta_LZ4,small_world,1,0,load,373.07,153225,1
D_VersionedChunked_Delta_LZ4,small_world,1,0,verify,3.92,0,1
D_VersionedChunked_Delta_LZ4,small_world,1,0,mutate_save_0,2179.83,153225,1
D_VersionedChunked_Delta_LZ4,small_world,1,0,delta_load,383.06,153225,1
E_ContentAddressed_Dedupe,small_world,1,0,save,5284.29,11604,1
E_ContentAddressed_Dedupe,small_world,1,0,load,2029.01,11604,1
E_ContentAddressed_Dedupe,small_world,1,0,verify,4.52,0,1
E_ContentAddressed_Dedupe,small_world,1,0,mutate_save_0,716.43,11604,1
E_ContentAddressed_Dedupe,small_world,1,0,delta_load,1370.90,11604,1
A_FullJSON_SingleFile,small_world,7,0,save,2385.90,330968,1
A_FullJSON_SingleFile,small_world,7,0,load,861.29,330968,1
A_FullJSON_SingleFile,small_world,7,0,verify,4.21,0,1
A_FullJSON_SingleFile,small_world,7,0,mutate_save_0,4206.91,330968,1
A_FullJSON_SingleFile,small_world,7,0,delta_load,622.56,330968,1
B_ChunkedBinary_Raw,small_world,7,0,save,379.46,231048,1
B_ChunkedBinary_Raw,small_world,7,0,load,131.74,231048,1
B_ChunkedBinary_Raw,small_world,7,0,verify,5.33,0,1
B_ChunkedBinary_Raw,small_world,7,0,mutate_save_0,1813.85,231048,1
B_ChunkedBinary_Raw,small_world,7,0,delta_load,171.43,231048,1
C_ChunkedBinary_Zstd,small_world,7,0,save,1512.75,153911,1
C_ChunkedBinary_Zstd,small_world,7,0,load,444.69,153911,1
C_ChunkedBinary_Zstd,small_world,7,0,verify,4.11,0,1
C_ChunkedBinary_Zstd,small_world,7,0,mutate_save_0,2581.43,153911,1
C_ChunkedBinary_Zstd,small_world,7,0,delta_load,398.18,153911,1
D_VersionedChunked_Delta_LZ4,small_world,7,0,save,1276.13,153290,1
D_VersionedChunked_Delta_LZ4,small_world,7,0,load,374.48,153290,1
D_VersionedChunked_Delta_LZ4,small_world,7,0,verify,3.55,0,1
D_VersionedChunked_Delta_LZ4,small_world,7,0,mutate_save_0,1958.79,153290,1
D_VersionedChunked_Delta_LZ4,small_world,7,0,delta_load,384.38,153290,1
E_ContentAddressed_Dedupe,small_world,7,0,save,5380.12,11604,1
E_ContentAddressed_Dedupe,small_world,7,0,load,2088.99,11604,1
E_ContentAddressed_Dedupe,small_world,7,0,verify,5.68,0,1
E_ContentAddressed_Dedupe,small_world,7,0,mutate_save_0,688.11,11604,1
E_ContentAddressed_Dedupe,small_world,7,0,delta_load,2062.42,11604,1
A_FullJSON_SingleFile,small_world,42,0,save,2530.99,329595,1
A_FullJSON_SingleFile,small_world,42,0,load,817.64,329595,1
