strategy,scene,op,mean_us,median_us,p95_us,n,bytes
A_FullJSON_SingleFile,adaptive_scaling,delta_load,2875.04,2749.84,3606.25,5,1532422
A_FullJSON_SingleFile,adaptive_scaling,load,2899.39,2871.39,3381.46,5,1532422
A_FullJSON_SingleFile,adaptive_scaling,mutate_save_0,16133.01,16435.88,16688.07,5,1532422
A_FullJSON_SingleFile,adaptive_scaling,save,12414.34,11984.03,13692.14,5,1532422
A_FullJSON_SingleFile,adaptive_scaling,verify,35.38,33.49,56.07,5,0
A_FullJSON_SingleFile,large_world,delta_load,9054.71,9059.39,9920.41,5,4205818
A_FullJSON_SingleFile,large_world,load,10374.58,10289.58,13044.69,5,4205818
A_FullJSON_SingleFile,large_world,mutate_save_0,42175.83,42210.94,45158.72,5,4205818
A_FullJSON_SingleFile,large_world,save,37364.41,37590.68,41499.27,5,4205818
A_FullJSON_SingleFile,large_world,verify,85.69,83.22,94.88,5,0
A_FullJSON_SingleFile,medium_world,delta_load,3819.32,3353.35,5806.97,5,1532422
A_FullJSON_SingleFile,medium_world,load,4212.41,4022.78,4765.78,5,1532422
A_FullJSON_SingleFile,medium_world,mutate_save_0,16109.65,16132.86,16555.20,5,1532422
A_FullJSON_SingleFile,medium_world,save,13207.11,13121.22,14366.58,5,1532422
A_FullJSON_SingleFile,medium_world,verify,29.68,28.10,34.98,5,0
A_FullJSON_SingleFile,realistic_combat,delta_load,3903.07,3891.15,4356.48,5,2075254
A_FullJSON_SingleFile,realistic_combat,load,3828.97,3790.50,3994.22,5,2075254
A_FullJSON_SingleFile,realistic_combat,mutate_save_0,19145.23,19171.88,20594.12,5,2075254
A_FullJSON_SingleFile,realistic_combat,save,14931.37,14869.76,16164.78,5,2075254
A_FullJSON_SingleFile,realistic_combat,verify,36.12,36.22,37.33,5,0
A_FullJSON_SingleFile,small_world,delta_load,711.08,712.35,835.64,5,331740
A_FullJSON_SingleFile,small_world,load,877.62,844.39,1036.44,5,331740
A_FullJSON_SingleFile,small_world,mutate_save_0,4007.23,3949.32,4206.91,5,331740
A_FullJSON_SingleFile,small_world,save,2525.71,2530.99,2699.04,5,331740
A_FullJSON_SingleFile,small_world,verify,3.92,3.92,4.21,5,0
B_ChunkedBinary_Raw,adaptive_scaling,delta_load,334.65,317.40,387.41,5,1068360
B_ChunkedBinary_Raw,adaptive_scaling,load,259.01,255.16,291.04,5,1068360
B_ChunkedBinary_Raw,adaptive_scaling,mutate_save_0,4603.64,4497.26,5413.55,5,1068360
B_ChunkedBinary_Raw,adaptive_scaling,save,1433.25,1365.23,1638.09,5,1068360
B_ChunkedBinary_Raw,adaptive_scaling,verify,33.11,32.68,37.40,5,0
B_ChunkedBinary_Raw,large_world,delta_load,1636.47,1573.10,1872.45,5,2930952
B_ChunkedBinary_Raw,large_world,load,1476.08,1409.30,1704.18,5,2930952
B_ChunkedBinary_Raw,large_world,mutate_save_0,8103.73,8019.62,8796.04,5,2930952
B_ChunkedBinary_Raw,large_world,save,3608.10,3452.49,3927.93,5,2930952
B_ChunkedBinary_Raw,large_world,verify,76.27,77.71,85.56,5,0
B_ChunkedBinary_Raw,medium_world,delta_load,656.36,654.48,756.32,5,1068360
B_ChunkedBinary_Raw,medium_world,load,296.13,259.51,518.99,5,1068360
B_ChunkedBinary_Raw,medium_world,mutate_save_0,4398.50,4265.90,4708.81,5,1068360
B_ChunkedBinary_Raw,medium_world,save,1373.40,1338.42,1745.75,5,1068360
B_ChunkedBinary_Raw,medium_world,verify,30.25,28.95,33.90,5,0
B_ChunkedBinary_Raw,realistic_combat,delta_load,316.77,312.64,354.41,5,1132360
B_ChunkedBinary_Raw,realistic_combat,load,263.45,270.62,293.72,5,1132360
B_ChunkedBinary_Raw,realistic_combat,mutate_save_0,5900.58,5929.46,7364.17,5,1132360
B_ChunkedBinary_Raw,realistic_combat,save,1511.12,1466.08,1811.10,5,1132360
B_ChunkedBinary_Raw,realistic_combat,verify,34.69,33.16,42.52,5,0
B_ChunkedBinary_Raw,small_world,delta_load,163.21,157.41,177.45,5,231048
B_ChunkedBinary_Raw,small_world,load,101.67,96.49,131.74,5,231048
B_ChunkedBinary_Raw,small_world,mutate_save_0,1708.61,1655.98,1875.69,5,231048
B_ChunkedBinary_Raw,small_world,save,349.00,379.46,405.14,5,231048
B_ChunkedBinary_Raw,small_world,verify,4.57,4.66,5.33,5,0
C_ChunkedBinary_Zstd,adaptive_scaling,delta_load,2332.91,2290.60,2490.38,5,710151
C_ChunkedBinary_Zstd,adaptive_scaling,load,2144.66,2160.60,2334.85,5,710151
C_ChunkedBinary_Zstd,adaptive_scaling,mutate_save_0,9880.35,9602.65,10549.90,5,710151
C_ChunkedBinary_Zstd,adaptive_scaling,save,6908.94,7087.25,7339.97,5,710151
C_ChunkedBinary_Zstd,adaptive_scaling,verify,40.19,41.51,49.09,5,0
C_ChunkedBinary_Zstd,large_world,delta_load,5842.66,5879.85,6554.51,5,1947835
C_ChunkedBinary_Zstd,large_world,load,5978.68,5602.90,6730.31,5,1947835
C_ChunkedBinary_Zstd,large_world,mutate_save_0,20277.91,19638.44,21947.91,5,1947835
C_ChunkedBinary_Zstd,large_world,save,16366.93,16281.51,18731.93,5,1947835
C_ChunkedBinary_Zstd,large_world,verify,118.55,94.35,193.62,5,0
C_ChunkedBinary_Zstd,medium_world,delta_load,2218.80,2285.20,2392.62,5,710151
C_ChunkedBinary_Zstd,medium_world,load,1933.09,1877.39,2126.54,5,710151
C_ChunkedBinary_Zstd,medium_world,mutate_save_0,9687.17,9853.04,10775.87,5,710151
C_ChunkedBinary_Zstd,medium_world,save,5228.69,5167.97,5568.64,5,710151
C_ChunkedBinary_Zstd,medium_world,verify,30.18,29.88,33.56,5,0
C_ChunkedBinary_Zstd,realistic_combat,delta_load,1988.15,2005.21,2149.58,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,load,1757.04,1746.55,1940.82,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,mutate_save_0,10197.53,9762.38,12125.42,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,save,6300.09,6247.55,6566.77,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,verify,38.83,37.25,51.39,5,0
C_ChunkedBinary_Zstd,small_world,delta_load,402.50,405.58,409.86,5,153650
C_ChunkedBinary_Zstd,small_world,load,466.92,444.69,556.81,5,153650
C_ChunkedBinary_Zstd,small_world,mutate_save_0,2275.69,2129.90,2581.43,5,153650
C_ChunkedBinary_Zstd,small_world,save,1385.70,1451.53,1535.52,5,153650
C_ChunkedBinary_Zstd,small_world,verify,4.33,4.11,5.11,5,0
D_VersionedChunked_Delta_LZ4,adaptive_scaling,delta_load,2247.00,2245.06,2410.84,5,705426
D_VersionedChunked_Delta_LZ4,adaptive_scaling,load,1980.03,2040.74,2067.34,5,705426
