strategy,scene,seed,mean_tick_ns,max_suppression,ticks_above_50pct,avg_accuracy_penalty,avg_movement_penalty
A_None_Baseline,light_suppression,0,9.706,0.00,0.0,0.00000,0.00000
A_None_Baseline,light_suppression,1,9.431,0.00,0.0,0.00000,0.00000
A_None_Baseline,light_suppression,2,9.514,0.00,0.0,0.00000,0.00000
A_None_Baseline,light_suppression,3,9.534,0.00,0.0,0.00000,0.00000
A_None_Baseline,light_suppression,4,9.504,0.00,0.0,0.00000,0.00000
A_None_Baseline,heavy_suppression,0,9.601,0.00,0.0,0.00000,0.00000
A_None_Baseline,heavy_suppression,1,9.548,0.00,0.0,0.00000,0.00000
A_None_Baseline,heavy_suppression,2,9.642,0.00,0.0,0.00000,0.00000
A_None_Baseline,heavy_suppression,3,9.565,0.00,0.0,0.00000,0.00000
A_None_Baseline,heavy_suppression,4,9.436,0.00,0.0,0.00000,0.00000
A_None_Baseline,artillery_barrage,0,9.697,0.00,0.0,0.00000,0.00000
A_None_Baseline,artillery_barrage,1,9.514,0.00,0.0,0.00000,0.00000
A_None_Baseline,artillery_barrage,2,9.592,0.00,0.0,0.00000,0.00000
A_None_Baseline,artillery_barrage,3,9.554,0.00,0.0,0.00000,0.00000
A_None_Baseline,artillery_barrage,4,9.575,0.00,0.0,0.00000,0.00000
A_None_Baseline,close_engagement,0,9.507,0.00,0.0,0.00000,0.00000
A_None_Baseline,close_engagement,1,9.496,0.00,0.0,0.00000,0.00000
A_None_Baseline,close_engagement,2,9.596,0.00,0.0,0.00000,0.00000
A_None_Baseline,close_engagement,3,9.417,0.00,0.0,0.00000,0.00000
A_None_Baseline,close_engagement,4,9.449,0.00,0.0,0.00000,0.00000
A_None_Baseline,mixed_intensity,0,9.531,0.00,0.0,0.00000,0.00000
A_None_Baseline,mixed_intensity,1,9.582,0.00,0.0,0.00000,0.00000
A_None_Baseline,mixed_intensity,2,9.533,0.00,0.0,0.00000,0.00000
A_None_Baseline,mixed_intensity,3,9.557,0.00,0.0,0.00000,0.00000
A_None_Baseline,mixed_intensity,4,9.604,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,light_suppression,0,4670.382,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,light_suppression,1,4036.812,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,light_suppression,2,3584.505,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,light_suppression,3,3746.864,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,light_suppression,4,4494.276,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,heavy_suppression,0,175289.284,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,heavy_suppression,1,183611.947,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,heavy_suppression,2,174784.374,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,heavy_suppression,3,172924.744,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,heavy_suppression,4,175225.210,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,artillery_barrage,0,1132.559,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,artillery_barrage,1,1553.205,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,artillery_barrage,2,1136.104,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,artillery_barrage,3,1139.336,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,artillery_barrage,4,1131.329,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,close_engagement,0,639013.777,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,close_engagement,1,620710.767,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,close_engagement,2,618854.184,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,close_engagement,3,613478.177,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,close_engagement,4,615808.737,50.00,0.0,0.50000,0.00000
B_BinaryThreshold,mixed_intensity,0,39372.303,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,mixed_intensity,1,39441.448,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,mixed_intensity,2,39853.770,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,mixed_intensity,3,39671.118,0.00,0.0,0.00000,0.00000
B_BinaryThreshold,mixed_intensity,4,39530.836,0.00,0.0,0.00000,0.00000
C_AccumulatorDecay_ARMA,light_suppression,0,2898.041,21.53,0.0,0.09531,0.00000
C_AccumulatorDecay_ARMA,light_suppression,1,3415.167,23.28,0.0,0.10465,0.00000
C_AccumulatorDecay_ARMA,light_suppression,2,3635.682,23.61,0.0,0.10638,0.00000
C_AccumulatorDecay_ARMA,light_suppression,3,2860.032,23.64,0.0,0.10765,0.00000
C_AccumulatorDecay_ARMA,light_suppression,4,3567.755,25.05,0.0,0.11424,0.00000
C_AccumulatorDecay_ARMA,heavy_suppression,0,113868.436,100.00,585.0,0.78026,0.00000
C_AccumulatorDecay_ARMA,heavy_suppression,1,104649.923,100.00,585.0,0.78023,0.00000
C_AccumulatorDecay_ARMA,heavy_suppression,2,97513.340,100.00,585.0,0.78033,0.00000
C_AccumulatorDecay_ARMA,heavy_suppression,3,99984.183,100.00,585.0,0.78044,0.00000
C_AccumulatorDecay_ARMA,heavy_suppression,4,98249.667,100.00,585.0,0.78028,0.00000
C_AccumulatorDecay_ARMA,artillery_barrage,0,1408.011,100.00,600.0,0.69366,0.00000
C_AccumulatorDecay_ARMA,artillery_barrage,1,1369.643,100.00,600.0,0.69381,0.00000
C_AccumulatorDecay_ARMA,artillery_barrage,2,1349.569,100.00,600.0,0.69361,0.00000
C_AccumulatorDecay_ARMA,artillery_barrage,3,1438.841,100.00,600.0,0.69384,0.00000
C_AccumulatorDecay_ARMA,artillery_barrage,4,1300.872,100.00,600.0,0.69366,0.00000
C_AccumulatorDecay_ARMA,close_engagement,0,366509.767,100.00,578.0,0.76947,0.00000
C_AccumulatorDecay_ARMA,close_engagement,1,363201.000,100.00,578.0,0.76951,0.00000
C_AccumulatorDecay_ARMA,close_engagement,2,362323.914,100.00,578.0,0.76944,0.00000
C_AccumulatorDecay_ARMA,close_engagement,3,345589.359,100.00,578.0,0.76936,0.00000
C_AccumulatorDecay_ARMA,close_engagement,4,353548.800,100.00,578.0,0.76935,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,0,26642.082,100.00,551.0,0.72991,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,1,25460.889,100.00,551.0,0.73002,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,2,25391.324,100.00,550.0,0.72836,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,3,24316.561,100.00,548.0,0.72720,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,4,25064.471,100.00,544.0,0.72665,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,0,3601.952,21.53,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,1,3582.320,23.28,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,2,4190.834,23.61,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,3,3192.494,23.64,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,4,3937.399,25.05,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,heavy_suppression,0,21580.042,283.25,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,heavy_suppression,1,19405.310,299.70,57.0,0.85083,0.66492
D_AccumulatorThreshold_WARNO,heavy_suppression,2,19284.868,285.70,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,heavy_suppression,3,19492.960,288.45,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,heavy_suppression,4,18593.223,289.34,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,artillery_barrage,0,1761.464,263.61,240.0,0.21500,0.09400
D_AccumulatorThreshold_WARNO,artillery_barrage,1,1556.782,263.35,240.0,0.21542,0.09425
D_AccumulatorThreshold_WARNO,artillery_barrage,2,1562.916,263.46,240.0,0.21458,0.09375
D_AccumulatorThreshold_WARNO,artillery_barrage,3,1845.799,263.64,240.0,0.21458,0.09375
D_AccumulatorThreshold_WARNO,artillery_barrage,4,1811.339,263.65,240.0,0.21375,0.09325
D_AccumulatorThreshold_WARNO,close_engagement,0,30960.416,275.96,24.0,0.93417,0.73983
