Strategy,Scale,NumWheels,Seed,StepTimeNsPerWheel,AvgSlipRatio,AvgTractionForce
A_Constant_Traction,jeep_64,64,0,5.01,0.00,5025.11
A_Constant_Traction,jeep_64,64,1,4.85,0.00,5027.53
A_Constant_Traction,jeep_64,64,2,4.81,0.00,5025.83
A_Constant_Traction,jeep_64,64,3,4.99,0.00,5017.66
A_Constant_Traction,jeep_64,64,4,4.85,0.00,5030.93
B_Surface_Lookup,jeep_64,64,0,1.56,0.00,2743.72
B_Surface_Lookup,jeep_64,64,1,1.53,0.00,2754.77
B_Surface_Lookup,jeep_64,64,2,1.59,0.00,2702.57
B_Surface_Lookup,jeep_64,64,3,1.77,0.00,2722.69
B_Surface_Lookup,jeep_64,64,4,1.63,0.00,2797.53
C_Slip_Linear,jeep_64,64,0,5.84,-0.63,-1715.18
C_Slip_Linear,jeep_64,64,1,5.89,-0.63,-1726.22
C_Slip_Linear,jeep_64,64,2,5.86,-0.60,-1606.68
C_Slip_Linear,jeep_64,64,3,4.65,-0.59,-1501.66
C_Slip_Linear,jeep_64,64,4,4.21,-0.59,-1576.49
D_Slip_Pacejka,jeep_64,64,0,35.71,-0.59,-1171.24
D_Slip_Pacejka,jeep_64,64,1,36.85,-0.59,-1182.39
D_Slip_Pacejka,jeep_64,64,2,36.19,-0.57,-1067.28
D_Slip_Pacejka,jeep_64,64,3,34.16,-0.56,-969.62
D_Slip_Pacejka,jeep_64,64,4,38.26,-0.56,-1037.61
E_Vectorized_SoA,jeep_64,64,0,27.95,-0.73,-2015.54
E_Vectorized_SoA,jeep_64,64,1,26.78,-0.69,-1662.33
E_Vectorized_SoA,jeep_64,64,2,26.93,-0.70,-1502.59
E_Vectorized_SoA,jeep_64,64,3,27.78,-0.56,-1250.61
E_Vectorized_SoA,jeep_64,64,4,26.26,-0.71,-1588.14
A_Constant_Traction,truck_256,256,0,4.12,0.00,4994.60
A_Constant_Traction,truck_256,256,1,4.02,0.00,4994.10
A_Constant_Traction,truck_256,256,2,4.21,0.00,4990.78
A_Constant_Traction,truck_256,256,3,4.17,0.00,4996.41
A_Constant_Traction,truck_256,256,4,4.11,0.00,4999.18
B_Surface_Lookup,truck_256,256,0,0.96,0.00,2451.08
B_Surface_Lookup,truck_256,256,1,0.95,0.00,2459.48
B_Surface_Lookup,truck_256,256,2,0.95,0.00,2456.16
B_Surface_Lookup,truck_256,256,3,0.95,0.00,2447.88
B_Surface_Lookup,truck_256,256,4,0.95,0.00,2458.09
C_Slip_Linear,truck_256,256,0,4.27,-0.65,-1542.91
C_Slip_Linear,truck_256,256,1,4.11,-0.65,-1551.31
C_Slip_Linear,truck_256,256,2,3.90,-0.64,-1511.69
C_Slip_Linear,truck_256,256,3,5.29,-0.64,-1503.41
C_Slip_Linear,truck_256,256,4,3.98,-0.64,-1513.62
D_Slip_Pacejka,truck_256,256,0,32.28,-0.65,-1482.54
D_Slip_Pacejka,truck_256,256,1,32.73,-0.65,-1490.26
D_Slip_Pacejka,truck_256,256,2,34.72,-0.65,-1452.79
D_Slip_Pacejka,truck_256,256,3,33.05,-0.65,-1440.39
D_Slip_Pacejka,truck_256,256,4,33.83,-0.65,-1449.80
E_Vectorized_SoA,truck_256,256,0,26.61,-0.73,-1674.96
E_Vectorized_SoA,truck_256,256,1,26.38,-0.65,-1463.62
E_Vectorized_SoA,truck_256,256,2,27.12,-0.73,-1546.23
E_Vectorized_SoA,truck_256,256,3,26.64,-0.61,-1244.76
E_Vectorized_SoA,truck_256,256,4,26.73,-0.70,-1589.48
A_Constant_Traction,convoy_1024,1024,0,4.01,0.00,5018.07
A_Constant_Traction,convoy_1024,1024,1,3.96,0.00,5019.30
A_Constant_Traction,convoy_1024,1024,2,4.25,0.00,5018.97
A_Constant_Traction,convoy_1024,1024,3,4.18,0.00,5019.56
A_Constant_Traction,convoy_1024,1024,4,4.34,0.00,5021.10
B_Surface_Lookup,convoy_1024,1024,0,1.21,0.00,2432.18
B_Surface_Lookup,convoy_1024,1024,1,1.21,0.00,2433.14
B_Surface_Lookup,convoy_1024,1024,2,1.56,0.00,2429.03
B_Surface_Lookup,convoy_1024,1024,3,1.22,0.00,2428.39
B_Surface_Lookup,convoy_1024,1024,4,1.46,0.00,2431.45
C_Slip_Linear,convoy_1024,1024,0,4.53,-0.67,-1588.03
C_Slip_Linear,convoy_1024,1024,1,4.19,-0.67,-1588.99
C_Slip_Linear,convoy_1024,1024,2,4.00,-0.67,-1584.88
C_Slip_Linear,convoy_1024,1024,3,4.06,-0.67,-1584.23
C_Slip_Linear,convoy_1024,1024,4,4.08,-0.67,-1587.29
D_Slip_Pacejka,convoy_1024,1024,0,34.90,-0.67,-1547.93
D_Slip_Pacejka,convoy_1024,1024,1,36.52,-0.67,-1548.88
D_Slip_Pacejka,convoy_1024,1024,2,33.24,-0.67,-1545.04
D_Slip_Pacejka,convoy_1024,1024,3,38.40,-0.67,-1544.51
D_Slip_Pacejka,convoy_1024,1024,4,38.17,-0.67,-1547.33
E_Vectorized_SoA,convoy_1024,1024,0,31.35,-0.68,-1514.47
E_Vectorized_SoA,convoy_1024,1024,1,28.65,-0.71,-1601.37
E_Vectorized_SoA,convoy_1024,1024,2,28.14,-0.71,-1627.06
E_Vectorized_SoA,convoy_1024,1024,3,29.84,-0.67,-1509.66
E_Vectorized_SoA,convoy_1024,1024,4,27.87,-0.69,-1536.98
A_Constant_Traction,regiment_4096,4096,0,4.14,0.00,4993.85
A_Constant_Traction,regiment_4096,4096,1,4.86,0.00,4993.91
A_Constant_Traction,regiment_4096,4096,2,4.07,0.00,4993.73
A_Constant_Traction,regiment_4096,4096,3,3.98,0.00,4994.03
A_Constant_Traction,regiment_4096,4096,4,3.99,0.00,4994.18
B_Surface_Lookup,regiment_4096,4096,0,1.34,0.00,2406.98
B_Surface_Lookup,regiment_4096,4096,1,1.30,0.00,2408.02
B_Surface_Lookup,regiment_4096,4096,2,1.37,0.00,2407.15
B_Surface_Lookup,regiment_4096,4096,3,1.33,0.00,2406.83
B_Surface_Lookup,regiment_4096,4096,4,1.32,0.00,2407.46
C_Slip_Linear,regiment_4096,4096,0,4.08,-0.66,-1556.85
C_Slip_Linear,regiment_4096,4096,1,4.21,-0.66,-1555.58
C_Slip_Linear,regiment_4096,4096,2,4.70,-0.66,-1554.70
C_Slip_Linear,regiment_4096,4096,3,4.31,-0.66,-1554.39
C_Slip_Linear,regiment_4096,4096,4,4.63,-0.66,-1555.01
D_Slip_Pacejka,regiment_4096,4096,0,36.13,-0.67,-1529.72
D_Slip_Pacejka,regiment_4096,4096,1,34.97,-0.66,-1528.56
D_Slip_Pacejka,regiment_4096,4096,2,37.73,-0.66,-1527.75
D_Slip_Pacejka,regiment_4096,4096,3,33.71,-0.66,-1527.47
D_Slip_Pacejka,regiment_4096,4096,4,33.75,-0.66,-1528.04
E_Vectorized_SoA,regiment_4096,4096,0,28.50,-0.68,-1520.49
E_Vectorized_SoA,regiment_4096,4096,1,28.75,-0.67,-1525.57
E_Vectorized_SoA,regiment_4096,4096,2,27.50,-0.68,-1526.99
E_Vectorized_SoA,regiment_4096,4096,3,27.61,-0.67,-1483.86
E_Vectorized_SoA,regiment_4096,4096,4,27.04,-0.66,-1462.38
A_Constant_Traction,division_16384,16384,0,4.04,0.00,5000.39
A_Constant_Traction,division_16384,16384,1,4.26,0.00,5000.46
A_Constant_Traction,division_16384,16384,2,4.18,0.00,5000.38
A_Constant_Traction,division_16384,16384,3,4.19,0.00,5000.41
A_Constant_Traction,division_16384,16384,4,4.05,0.00,5000.50
B_Surface_Lookup,division_16384,16384,0,1.66,0.00,2336.26
B_Surface_Lookup,division_16384,16384,1,1.78,0.00,2336.32
B_Surface_Lookup,division_16384,16384,2,1.79,0.00,2336.24
B_Surface_Lookup,division_16384,16384,3,1.67,0.00,2336.20
B_Surface_Lookup,division_16384,16384,4,1.67,0.00,2336.52
C_Slip_Linear,division_16384,16384,0,4.49,-0.66,-1524.31
C_Slip_Linear,division_16384,16384,1,4.53,-0.66,-1524.37
C_Slip_Linear,division_16384,16384,2,4.26,-0.66,-1524.29
C_Slip_Linear,division_16384,16384,3,4.30,-0.66,-1524.00
C_Slip_Linear,division_16384,16384,4,4.39,-0.66,-1524.33
D_Slip_Pacejka,division_16384,16384,0,33.58,-0.67,-1484.76
D_Slip_Pacejka,division_16384,16384,1,35.24,-0.67,-1484.82
D_Slip_Pacejka,division_16384,16384,2,35.60,-0.67,-1484.73
D_Slip_Pacejka,division_16384,16384,3,36.70,-0.67,-1484.46
D_Slip_Pacejka,division_16384,16384,4,34.10,-0.67,-1484.11
E_Vectorized_SoA,division_16384,16384,0,27.59,-0.67,-1468.65
E_Vectorized_SoA,division_16384,16384,1,27.69,-0.67,-1507.63
E_Vectorized_SoA,division_16384,16384,2,29.23,-0.67,-1499.30
E_Vectorized_SoA,division_16384,16384,3,27.37,-0.67,-1511.96
E_Vectorized_SoA,division_16384,16384,4,27.46,-0.67,-1520.33
