config,passes,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,min_ms,max_ms
A,3,0.2372,0.1785,0.4867,0.9227,0.1734,0.1595,2.6764
B,3,0.2438,0.1815,0.4854,0.8883,0.1702,0.1610,2.2825
C,3,0.2434,0.1781,0.4801,1.1563,0.1866,0.1611,2.3212
D,3,0.2553,0.1894,0.4922,0.8928,0.1712,0.1633,2.3102
A,8,0.5518,0.4680,0.9772,1.8569,0.2771,0.3601,2.6685
B,8,0.6501,0.5282,1.4801,2.3279,0.3726,0.3716,3.0443
C,8,0.5689,0.4947,0.9782,1.7816,0.2722,0.3686,4.0011
D,8,0.5181,0.4229,0.8983,1.4007,0.2150,0.3650,2.4409
A,15,0.8653,0.7965,1.2970,2.0619,0.2699,0.6408,3.1989
B,15,0.9297,0.8752,1.4011,2.0882,0.2843,0.6580,3.2657
C,15,0.8931,0.8353,1.3189,2.0670,0.2615,0.6467,3.0502
D,15,0.9495,0.9064,1.4069,2.2131,0.2941,0.6567,3.7563
