strategy,scene,seed,psnr_density_db,match_rate,time_us
A_PerVoxel,flat_plains,1,100.000000,1.000000,37.662960
A_PerVoxel,flat_plains,7,100.000000,1.000000,61.054860
A_PerVoxel,flat_plains,42,100.000000,1.000000,49.320020
A_PerVoxel,flat_plains,1234,100.000000,1.000000,52.826100
A_PerVoxel,flat_plains,31337,100.000000,1.000000,51.425300
A_PerVoxel,rolling_hills,1,100.000000,1.000000,60.676670
A_PerVoxel,rolling_hills,7,100.000000,1.000000,53.896500
A_PerVoxel,rolling_hills,42,100.000000,1.000000,55.229090
A_PerVoxel,rolling_hills,1234,100.000000,1.000000,53.006200
A_PerVoxel,rolling_hills,31337,100.000000,1.000000,47.292220
A_PerVoxel,mountains,1,100.000000,1.000000,53.662600
A_PerVoxel,mountains,7,100.000000,1.000000,49.602020
A_PerVoxel,mountains,42,100.000000,1.000000,93.205550
A_PerVoxel,mountains,1234,100.000000,1.000000,71.490130
A_PerVoxel,mountains,31337,100.000000,1.000000,49.931710
A_PerVoxel,cave_system,1,100.000000,1.000000,48.751720
A_PerVoxel,cave_system,7,100.000000,1.000000,68.387830
A_PerVoxel,cave_system,42,100.000000,1.000000,43.316440
A_PerVoxel,cave_system,1234,100.000000,1.000000,45.962420
A_PerVoxel,cave_system,31337,100.000000,1.000000,38.698650
A_PerVoxel,island,1,100.000000,1.000000,39.828750
A_PerVoxel,island,7,100.000000,1.000000,33.962170
A_PerVoxel,island,42,100.000000,1.000000,37.654860
A_PerVoxel,island,1234,100.000000,1.000000,59.108280
A_PerVoxel,island,31337,100.000000,1.000000,47.390720
B_Trilerp_2,flat_plains,1,12.987610,1.000000,1.067490
B_Trilerp_2,flat_plains,7,17.052687,0.593750,0.836700
B_Trilerp_2,flat_plains,42,16.262676,0.275391,0.803300
B_Trilerp_2,flat_plains,1234,13.729867,0.402344,0.839400
B_Trilerp_2,flat_plains,31337,14.263688,0.912109,0.812390
B_Trilerp_2,rolling_hills,1,4.247786,1.000000,0.813500
B_Trilerp_2,rolling_hills,7,4.927030,0.132812,0.933590
B_Trilerp_2,rolling_hills,42,3.864383,1.000000,0.822800
B_Trilerp_2,rolling_hills,1234,4.512661,0.964844,0.831590
B_Trilerp_2,rolling_hills,31337,4.982439,0.423828,0.849500
B_Trilerp_2,mountains,1,-3.318315,0.125000,0.881890
B_Trilerp_2,mountains,7,-3.745853,0.125000,0.840600
B_Trilerp_2,mountains,42,-3.122438,0.125000,0.834090
B_Trilerp_2,mountains,1234,-3.169851,0.125000,0.836500
B_Trilerp_2,mountains,31337,-4.014331,0.125000,1.004390
B_Trilerp_2,cave_system,1,6.935429,1.000000,1.221900
B_Trilerp_2,cave_system,7,5.821527,1.000000,1.183600
B_Trilerp_2,cave_system,42,4.482033,1.000000,1.316490
B_Trilerp_2,cave_system,1234,5.839928,1.000000,1.274090
B_Trilerp_2,cave_system,31337,6.828260,1.000000,1.398100
B_Trilerp_2,island,1,2.388667,0.988281,1.313900
B_Trilerp_2,island,7,3.607166,0.177734,1.030590
B_Trilerp_2,island,42,3.374577,0.125000,1.275800
B_Trilerp_2,island,1234,2.593199,0.121094,1.332800
B_Trilerp_2,island,31337,2.824845,0.376953,0.905190
