# vrs_voxel_sim
# warmup=10, iters=100
# scenes: uniform_open / forest_floor / cave_stress / mixed_biome
# resolutions: 1080p / 1440p / 4k
# vrs configs: baseline_1x1 / vrs_2x1 / vrs_1x2 / vrs_2x2_global / vrs_hybrid_2x2_lighting
# output: results.csv (machine-readable)
scene,res,vrs_cfg,covered_pixels_pct_mean,shader_invocations_mean,vrs_savings_pct_mean,vrs_image_bytes_mean,compute_gen_us_mean,apply_overhead_us_mean,total_us_mean,quality_risk_mean,edge_density_mean,n

=== Summary ===
uniform_open,1080p,baseline_1x1,4.00,92722,0.00,8160,57.120,55.000,1055.364,0.000,0.000,100
uniform_open,1080p,vrs_2x1,4.00,46361,50.00,8160,57.120,55.000,1032.894,0.287,0.000,100
uniform_open,1080p,vrs_1x2,4.00,46361,50.00,8160,57.120,55.000,1025.473,0.287,0.000,100
uniform_open,1080p,vrs_2x2_global,4.00,23181,75.00,8160,57.120,55.000,1054.744,0.425,0.000,100
uniform_open,1080p,vrs_hybrid_2x2_lighting,4.00,92722,0.00,8160,57.120,63.000,1044.927,0.397,0.000,100
uniform_open,1440p,baseline_1x1,4.00,164878,0.00,14400,100.800,55.000,1810.093,0.000,0.000,100
uniform_open,1440p,vrs_2x1,4.00,82439,50.00,14400,100.800,55.000,1758.610,0.287,0.000,100
uniform_open,1440p,vrs_1x2,4.00,82439,50.00,14400,100.800,55.000,1782.675,0.287,0.000,100
uniform_open,1440p,vrs_2x2_global,4.00,41220,75.00,14400,100.800,55.000,1773.417,0.425,0.000,100
uniform_open,1440p,vrs_hybrid_2x2_lighting,4.00,164878,0.00,14400,100.800,63.000,2001.729,0.397,0.000,100
uniform_open,4k,baseline_1x1,4.00,371159,0.00,32400,226.800,55.000,4284.183,0.000,0.000,100
uniform_open,4k,vrs_2x1,4.00,185580,50.00,32400,226.800,55.000,4306.469,0.287,0.000,100
uniform_open,4k,vrs_1x2,4.00,185580,50.00,32400,226.800,55.000,4332.270,0.287,0.000,100
uniform_open,4k,vrs_2x2_global,4.00,92790,75.00,32400,226.800,55.000,4296.584,0.425,0.000,100
uniform_open,4k,vrs_hybrid_2x2_lighting,4.00,371159,0.00,32400,226.800,63.000,4277.404,0.397,0.000,100
forest_floor,1080p,baseline_1x1,4.99,112737,0.00,8160,57.120,55.000,1069.218,0.000,0.000,100
forest_floor,1080p,vrs_2x1,5.02,56475,50.00,8160,57.120,55.000,1042.123,0.287,0.000,100
forest_floor,1080p,vrs_1x2,4.98,56214,50.00,8160,57.120,55.000,1075.273,0.287,0.000,100
forest_floor,1080p,vrs_2x2_global,4.97,28153,75.00,8160,57.120,55.000,1076.136,0.425,0.000,100
forest_floor,1080p,vrs_hybrid_2x2_lighting,4.98,112627,0.00,8160,57.120,63.000,1088.522,0.397,0.000,100
forest_floor,1440p,baseline_1x1,5.00,201805,0.00,14400,100.800,55.000,1891.089,0.000,0.000,100
forest_floor,1440p,vrs_2x1,5.01,101373,50.00,14400,100.800,55.000,1947.132,0.287,0.000,100
forest_floor,1440p,vrs_1x2,5.05,101810,50.00,14400,100.800,55.000,1926.350,0.287,0.000,100
forest_floor,1440p,vrs_2x2_global,5.02,50648,75.00,14400,100.800,55.000,1837.060,0.425,0.000,100
forest_floor,1440p,vrs_hybrid_2x2_lighting,5.02,202182,0.00,14400,100.800,63.000,1829.038,0.397,0.000,100
forest_floor,4k,baseline_1x1,5.02,456383,0.00,32400,226.800,55.000,4173.394,0.000,0.000,100
forest_floor,4k,vrs_2x1,5.03,228403,50.00,32400,226.800,55.000,4313.674,0.287,0.000,100
forest_floor,4k,vrs_1x2,4.96,226363,50.00,32400,226.800,55.000,4162.380,0.287,0.000,100
forest_floor,4k,vrs_2x2_global,5.08,115358,75.00,32400,226.800,55.000,4115.683,0.425,0.000,100
forest_floor,4k,vrs_hybrid_2x2_lighting,5.04,457131,0.00,32400,226.800,63.000,3848.879,0.397,0.000,100
