strategy,scene,sources,seed,mean_time_us,mean_active,psnr_db
A_NoAmbient,fireteam10,10,0,5.876,10.0,145.9
B_Full3D_All,fireteam10,10,0,6.075,10.0,200.0
C_Hybrid_LOD,fireteam10,10,0,3.770,10.0,29.4
D_PriorityCap64,fireteam10,10,0,4.763,10.0,29.4
E_SoA_MaxTP,fireteam10,10,0,7.799,10.0,200.0
A_NoAmbient,squad50,50,0,19.582,32.0,40.3
B_Full3D_All,squad50,50,0,29.536,50.0,200.0
C_Hybrid_LOD,squad50,50,0,19.283,50.0,26.5
D_PriorityCap64,squad50,50,0,23.217,50.0,26.5
E_SoA_MaxTP,squad50,50,0,29.079,50.0,200.0
A_NoAmbient,platoon100,100,0,19.864,32.0,9.5
B_Full3D_All,platoon100,100,0,58.284,100.0,200.0
C_Hybrid_LOD,platoon100,100,0,51.475,100.0,11.0
D_PriorityCap64,platoon100,100,0,38.852,64.0,11.0
E_SoA_MaxTP,platoon100,100,0,60.023,100.0,200.0
A_NoAmbient,company150,150,0,20.999,32.0,9.7
B_Full3D_All,company150,150,0,89.451,150.0,200.0
C_Hybrid_LOD,company150,150,0,76.067,150.0,14.7
D_PriorityCap64,company150,150,0,39.383,64.0,14.7
E_SoA_MaxTP,company150,150,0,84.554,150.0,200.0
A_NoAmbient,battlefield200,200,0,17.822,32.0,13.4
B_Full3D_All,battlefield200,200,0,124.473,200.0,200.0
C_Hybrid_LOD,battlefield200,200,0,90.652,200.0,17.2
D_PriorityCap64,battlefield200,200,0,41.218,64.0,15.7
E_SoA_MaxTP,battlefield200,200,0,111.964,200.0,200.0
A_NoAmbient,fireteam10,10,1,5.486,10.0,145.5
B_Full3D_All,fireteam10,10,1,5.325,10.0,200.0
C_Hybrid_LOD,fireteam10,10,1,7.382,10.0,18.6
D_PriorityCap64,fireteam10,10,1,6.633,10.0,18.6
E_SoA_MaxTP,fireteam10,10,1,5.272,10.0,200.0
A_NoAmbient,squad50,50,1,19.920,32.0,43.7
B_Full3D_All,squad50,50,1,33.442,50.0,200.0
C_Hybrid_LOD,squad50,50,1,19.406,50.0,16.8
D_PriorityCap64,squad50,50,1,20.394,50.0,16.8
E_SoA_MaxTP,squad50,50,1,32.691,50.0,200.0
A_NoAmbient,platoon100,100,1,22.558,32.0,16.7
B_Full3D_All,platoon100,100,1,61.317,100.0,200.0
C_Hybrid_LOD,platoon100,100,1,41.986,100.0,16.5
D_PriorityCap64,platoon100,100,1,43.632,64.0,16.4
E_SoA_MaxTP,platoon100,100,1,59.478,100.0,200.0
A_NoAmbient,company150,150,1,18.282,32.0,5.6
B_Full3D_All,company150,150,1,86.170,150.0,200.0
C_Hybrid_LOD,company150,150,1,60.021,150.0,14.0
D_PriorityCap64,company150,150,1,43.790,64.0,13.8
E_SoA_MaxTP,company150,150,1,107.953,150.0,200.0
A_NoAmbient,battlefield200,200,1,19.550,32.0,9.3
B_Full3D_All,battlefield200,200,1,135.447,200.0,200.0
C_Hybrid_LOD,battlefield200,200,1,77.598,200.0,18.1
D_PriorityCap64,battlefield200,200,1,39.937,64.0,15.9
E_SoA_MaxTP,battlefield200,200,1,115.683,200.0,200.0
A_NoAmbient,fireteam10,10,2,6.110,10.0,147.3
B_Full3D_All,fireteam10,10,2,6.502,10.0,200.0
C_Hybrid_LOD,fireteam10,10,2,4.610,10.0,20.4
D_PriorityCap64,fireteam10,10,2,5.574,10.0,20.4
E_SoA_MaxTP,fireteam10,10,2,5.589,10.0,200.0
A_NoAmbient,squad50,50,2,17.860,32.0,28.6
B_Full3D_All,squad50,50,2,32.574,50.0,200.0
C_Hybrid_LOD,squad50,50,2,19.350,50.0,23.5
D_PriorityCap64,squad50,50,2,24.394,50.0,23.5
E_SoA_MaxTP,squad50,50,2,27.664,50.0,200.0
A_NoAmbient,platoon100,100,2,18.455,32.0,23.4
B_Full3D_All,platoon100,100,2,57.886,100.0,200.0
C_Hybrid_LOD,platoon100,100,2,44.484,100.0,23.7
D_PriorityCap64,platoon100,100,2,39.668,64.0,24.1
E_SoA_MaxTP,platoon100,100,2,63.015,100.0,200.0
A_NoAmbient,company150,150,2,19.401,32.0,9.2
B_Full3D_All,company150,150,2,87.369,150.0,200.0
C_Hybrid_LOD,company150,150,2,68.711,150.0,23.7
D_PriorityCap64,company150,150,2,39.989,64.0,22.1
E_SoA_MaxTP,company150,150,2,89.541,150.0,200.0
A_NoAmbient,battlefield200,200,2,18.710,32.0,17.0
B_Full3D_All,battlefield200,200,2,113.865,200.0,200.0
C_Hybrid_LOD,battlefield200,200,2,86.674,200.0,20.5
D_PriorityCap64,battlefield200,200,2,39.209,64.0,11.1
E_SoA_MaxTP,battlefield200,200,2,114.019,200.0,200.0
A_NoAmbient,fireteam10,10,3,7.828,10.0,148.6
B_Full3D_All,fireteam10,10,3,6.550,10.0,200.0
C_Hybrid_LOD,fireteam10,10,3,4.261,10.0,25.2
D_PriorityCap64,fireteam10,10,3,3.912,10.0,25.2
E_SoA_MaxTP,fireteam10,10,3,5.615,10.0,200.0
A_NoAmbient,squad50,50,3,19.619,32.0,35.0
B_Full3D_All,squad50,50,3,29.511,50.0,200.0
C_Hybrid_LOD,squad50,50,3,24.537,50.0,15.9
D_PriorityCap64,squad50,50,3,24.898,50.0,15.9
E_SoA_MaxTP,squad50,50,3,34.567,50.0,200.0
A_NoAmbient,platoon100,100,3,19.173,32.0,16.8
B_Full3D_All,platoon100,100,3,58.666,100.0,200.0
C_Hybrid_LOD,platoon100,100,3,46.716,100.0,15.9
D_PriorityCap64,platoon100,100,3,38.205,64.0,15.8
E_SoA_MaxTP,platoon100,100,3,57.782,100.0,200.0
A_NoAmbient,company150,150,3,18.545,32.0,7.6
B_Full3D_All,company150,150,3,84.455,150.0,200.0
C_Hybrid_LOD,company150,150,3,64.220,150.0,13.3
D_PriorityCap64,company150,150,3,43.876,64.0,12.3
E_SoA_MaxTP,company150,150,3,95.377,150.0,200.0
A_NoAmbient,battlefield200,200,3,21.287,32.0,9.4
B_Full3D_All,battlefield200,200,3,112.925,200.0,200.0
C_Hybrid_LOD,battlefield200,200,3,89.687,200.0,13.0
D_PriorityCap64,battlefield200,200,3,44.248,64.0,12.6
E_SoA_MaxTP,battlefield200,200,3,130.620,200.0,200.0
A_NoAmbient,fireteam10,10,4,5.428,10.0,148.6
B_Full3D_All,fireteam10,10,4,5.555,10.0,200.0
C_Hybrid_LOD,fireteam10,10,4,4.356,10.0,18.1
D_PriorityCap64,fireteam10,10,4,4.513,10.0,18.1
E_SoA_MaxTP,fireteam10,10,4,5.503,10.0,200.0
A_NoAmbient,squad50,50,4,18.340,32.0,24.8
B_Full3D_All,squad50,50,4,27.939,50.0,200.0
C_Hybrid_LOD,squad50,50,4,22.656,50.0,15.0
D_PriorityCap64,squad50,50,4,20.884,50.0,15.0
E_SoA_MaxTP,squad50,50,4,29.943,50.0,200.0
A_NoAmbient,platoon100,100,4,18.605,32.0,19.8
B_Full3D_All,platoon100,100,4,59.190,100.0,200.0
C_Hybrid_LOD,platoon100,100,4,42.344,100.0,20.9
D_PriorityCap64,platoon100,100,4,37.373,64.0,21.1
E_SoA_MaxTP,platoon100,100,4,55.546,100.0,200.0
A_NoAmbient,company150,150,4,21.541,32.0,20.7
