strategy,scene,sources,mean_time_us,mean_active,mean_psnr_db,min_psnr_db
A_NoAmbient,battlefield200,200,19.515,32.0,13.5,9.3
A_NoAmbient,company150,150,19.754,32.0,10.6,5.6
A_NoAmbient,fireteam10,10,6.146,10.0,147.2,145.5
A_NoAmbient,platoon100,100,19.731,32.0,17.2,9.5
A_NoAmbient,squad50,50,19.064,32.0,34.5,24.8
B_Full3D_All,battlefield200,200,121.340,200.0,200.0,200.0
B_Full3D_All,company150,150,87.443,150.0,200.0,200.0
B_Full3D_All,fireteam10,10,6.001,10.0,200.0,200.0
B_Full3D_All,platoon100,100,59.069,100.0,200.0,200.0
B_Full3D_All,squad50,50,30.600,50.0,200.0,200.0
C_Hybrid_LOD,battlefield200,200,85.610,200.0,19.5,13.0
C_Hybrid_LOD,company150,150,66.961,150.0,18.7,13.3
C_Hybrid_LOD,fireteam10,10,4.876,10.0,22.3,18.1
C_Hybrid_LOD,platoon100,100,45.401,100.0,17.6,11.0
C_Hybrid_LOD,squad50,50,21.046,50.0,19.5,15.0
D_PriorityCap64,battlefield200,200,40.304,64.0,14.8,11.1
D_PriorityCap64,company150,150,40.772,64.0,17.3,12.3
D_PriorityCap64,fireteam10,10,5.079,10.0,22.3,18.1
D_PriorityCap64,platoon100,100,39.546,64.0,17.7,11.0
D_PriorityCap64,squad50,50,22.757,50.0,19.5,15.0
E_SoA_MaxTP,battlefield200,200,117.499,200.0,200.0,200.0
E_SoA_MaxTP,company150,150,91.982,150.0,200.0,200.0
E_SoA_MaxTP,fireteam10,10,5.956,10.0,200.0,200.0
E_SoA_MaxTP,platoon100,100,59.169,100.0,200.0,200.0
E_SoA_MaxTP,squad50,50,30.789,50.0,200.0,200.0
