strategy,scene,survival_rate,avg_ticks,avg_casualties,engagement_rate,deliveries
A_NaiveDirectRoute,s1_simple_supply_run,1.0000,28.00,0.00,0.4825,200
A_NaiveDirectRoute,s2_highway_ambush,0.0250,1689.80,0.98,0.4938,5
A_NaiveDirectRoute,s3_mountain_pass,0.0000,3100.00,1.00,0.3433,0
A_NaiveDirectRoute,s4_urban_logistics,0.0000,4725.00,1.00,0.2500,0
A_NaiveDirectRoute,s5_long_haul_supply,0.0000,9666.00,1.00,0.2000,0
B_WaypointRoadPreference,s1_simple_supply_run,1.0000,28.00,0.00,0.4900,200
B_WaypointRoadPreference,s2_highway_ambush,0.1450,336.90,0.86,0.4638,29
B_WaypointRoadPreference,s3_mountain_pass,0.0000,3208.00,1.00,0.3492,0
B_WaypointRoadPreference,s4_urban_logistics,0.0000,5004.00,1.00,0.2500,0
B_WaypointRoadPreference,s5_long_haul_supply,0.4950,180.37,0.50,0.1500,99
C_DynamicThreatAvoidance,s1_simple_supply_run,1.0000,28.00,0.00,0.4950,200
C_DynamicThreatAvoidance,s2_highway_ambush,0.4450,74.39,0.56,0.3750,89
C_DynamicThreatAvoidance,s3_mountain_pass,0.1800,60.14,0.82,0.3000,36
C_DynamicThreatAvoidance,s4_urban_logistics,0.2750,63.75,0.73,0.2087,55
C_DynamicThreatAvoidance,s5_long_haul_supply,0.3500,113.99,0.65,0.1540,70
D_EscortFormationAI,s1_simple_supply_run,1.0000,28.00,0.00,0.4950,200
D_EscortFormationAI,s2_highway_ambush,0.7500,94.04,2.20,0.9362,150
D_EscortFormationAI,s3_mountain_pass,0.0750,411.47,1.88,0.8550,15
D_EscortFormationAI,s4_urban_logistics,0.3550,132.75,2.14,0.3875,71
D_EscortFormationAI,s5_long_haul_supply,0.7050,136.61,2.52,0.4800,141
E_HybridDynamicConvoy,s1_simple_supply_run,1.0000,28.00,0.00,0.4975,200
E_HybridDynamicConvoy,s2_highway_ambush,0.6250,110.66,2.32,1.0087,125
E_HybridDynamicConvoy,s3_mountain_pass,0.0100,4016.00,3.17,1.1917,2
E_HybridDynamicConvoy,s4_urban_logistics,0.0250,1635.80,2.80,0.4744,5
E_HybridDynamicConvoy,s5_long_haul_supply,0.7000,140.71,2.30,0.5080,140

summary
A_NaiveDirectRoute,average,0.2070,3793.74,0.79,0.3521
B_WaypointRoadPreference,average,0.3290,1724.08,0.67,0.3369
C_DynamicThreatAvoidance,average,0.4450,67.87,0.55,0.3063
D_EscortFormationAI,average,0.5840,187.51,1.74,0.6290
E_HybridDynamicConvoy,average,0.4770,2049.13,2.11,0.7379
