strategy,vehicle,seed,solid_count,shape_count,shape_reduction,build_us_mean,coverage_pct,mutation_rebuild_us
A_NaivePerVoxel,Jeep_8x4x4,1,52,52,1.000000,0.1182,100.0000,1.6200
A_NaivePerVoxel,Jeep_8x4x4,7,52,52,1.000000,0.1578,100.0000,0.4000
A_NaivePerVoxel,Jeep_8x4x4,42,52,52,1.000000,0.1184,100.0000,0.3300
A_NaivePerVoxel,Jeep_8x4x4,1234,52,52,1.000000,0.1185,100.0000,0.2900
A_NaivePerVoxel,Jeep_8x4x4,31337,52,52,1.000000,0.1243,100.0000,0.2800
A_NaivePerVoxel,APC_16x8x8,1,376,376,1.000000,0.8357,100.0000,4.9800
A_NaivePerVoxel,APC_16x8x8,7,376,376,1.000000,0.8130,100.0000,1.9400
A_NaivePerVoxel,APC_16x8x8,42,376,376,1.000000,1.2216,100.0000,2.7000
A_NaivePerVoxel,APC_16x8x8,1234,376,376,1.000000,1.1186,100.0000,1.9300
A_NaivePerVoxel,APC_16x8x8,31337,376,376,1.000000,0.8368,100.0000,2.0600
A_NaivePerVoxel,Tank_16x12x12,1,840,840,1.000000,1.8836,100.0000,7.7600
A_NaivePerVoxel,Tank_16x12x12,7,840,840,1.000000,2.1509,100.0000,4.5300
A_NaivePerVoxel,Tank_16x12x12,42,840,840,1.000000,1.8969,100.0000,4.3700
A_NaivePerVoxel,Tank_16x12x12,1234,840,840,1.000000,1.8867,100.0000,4.2000
A_NaivePerVoxel,Tank_16x12x12,31337,840,840,1.000000,1.9900,100.0000,4.2100
A_NaivePerVoxel,Truck_24x8x8,1,512,512,1.000000,1.9133,100.0000,3.5100
A_NaivePerVoxel,Truck_24x8x8,7,512,512,1.000000,2.1008,100.0000,2.6400
A_NaivePerVoxel,Truck_24x8x8,42,512,512,1.000000,1.7825,100.0000,3.4200
A_NaivePerVoxel,Truck_24x8x8,1234,512,512,1.000000,1.6299,100.0000,2.6700
A_NaivePerVoxel,Truck_24x8x8,31337,512,512,1.000000,1.2981,100.0000,2.4900
A_NaivePerVoxel,LargeShip_32x16x16,1,3600,3600,1.000000,6.8189,100.0000,36.0090
A_NaivePerVoxel,LargeShip_32x16x16,7,3600,3600,1.000000,8.8762,100.0000,32.2600
A_NaivePerVoxel,LargeShip_32x16x16,42,3600,3600,1.000000,7.2077,100.0000,38.6000
A_NaivePerVoxel,LargeShip_32x16x16,1234,3600,3600,1.000000,7.8215,100.0000,37.5290
A_NaivePerVoxel,LargeShip_32x16x16,31337,3600,3600,1.000000,8.2127,100.0000,37.1900
B_PrecomputedBP,Jeep_8x4x4,1,52,5,0.096154,0.1360,100.0000,0.4900
B_PrecomputedBP,Jeep_8x4x4,7,52,5,0.096154,0.1501,100.0000,0.3600
B_PrecomputedBP,Jeep_8x4x4,42,52,5,0.096154,0.1822,100.0000,0.3100
B_PrecomputedBP,Jeep_8x4x4,1234,52,5,0.096154,0.1357,100.0000,0.3200
B_PrecomputedBP,Jeep_8x4x4,31337,52,5,0.096154,0.1340,100.0000,0.2900
B_PrecomputedBP,APC_16x8x8,1,376,10,0.026596,0.8906,100.0000,2.8300
B_PrecomputedBP,APC_16x8x8,7,376,10,0.026596,1.2126,100.0000,2.4200
B_PrecomputedBP,APC_16x8x8,42,376,10,0.026596,1.1171,100.0000,1.9800
B_PrecomputedBP,APC_16x8x8,1234,376,10,0.026596,0.8989,100.0000,1.7800
B_PrecomputedBP,APC_16x8x8,31337,376,10,0.026596,0.8339,100.0000,1.7600
B_PrecomputedBP,Tank_16x12x12,1,840,4,0.004762,2.0281,100.0000,4.9200
B_PrecomputedBP,Tank_16x12x12,7,840,4,0.004762,2.9164,100.0000,4.0600
B_PrecomputedBP,Tank_16x12x12,42,840,4,0.004762,1.7556,100.0000,3.8300
B_PrecomputedBP,Tank_16x12x12,1234,840,4,0.004762,1.7940,100.0000,7.6200
B_PrecomputedBP,Tank_16x12x12,31337,840,4,0.004762,1.7461,100.0000,3.8200
B_PrecomputedBP,Truck_24x8x8,1,512,8,0.015625,1.2314,100.0000,2.3800
B_PrecomputedBP,Truck_24x8x8,7,512,8,0.015625,1.5770,100.0000,2.5100
B_PrecomputedBP,Truck_24x8x8,42,512,8,0.015625,1.1335,100.0000,2.4600
B_PrecomputedBP,Truck_24x8x8,1234,512,8,0.015625,1.1349,100.0000,2.3900
B_PrecomputedBP,Truck_24x8x8,31337,512,8,0.015625,1.2337,100.0000,2.2900
B_PrecomputedBP,LargeShip_32x16x16,1,3600,3,0.000833,8.0950,100.0000,14.6000
B_PrecomputedBP,LargeShip_32x16x16,7,3600,3,0.000833,7.2845,100.0000,18.7200
B_PrecomputedBP,LargeShip_32x16x16,42,3600,3,0.000833,8.0053,100.0000,14.1400
B_PrecomputedBP,LargeShip_32x16x16,1234,3600,3,0.000833,7.3750,100.0000,13.9400
B_PrecomputedBP,LargeShip_32x16x16,31337,3600,3,0.000833,8.8651,100.0000,16.6800
C_GreedyMerge,Jeep_8x4x4,1,52,5,0.096154,0.2762,100.0000,1.8100
C_GreedyMerge,Jeep_8x4x4,7,52,5,0.096154,0.2429,100.0000,1.3700
C_GreedyMerge,Jeep_8x4x4,42,52,5,0.096154,0.2425,100.0000,1.0100
C_GreedyMerge,Jeep_8x4x4,1234,52,5,0.096154,0.2518,100.0000,1.2100
C_GreedyMerge,Jeep_8x4x4,31337,52,5,0.096154,0.4397,100.0000,1.5200
C_GreedyMerge,APC_16x8x8,1,376,7,0.018617,1.6362,100.0000,8.4000
C_GreedyMerge,APC_16x8x8,7,376,7,0.018617,1.1385,100.0000,5.6400
C_GreedyMerge,APC_16x8x8,42,376,7,0.018617,1.0260,100.0000,6.1300
C_GreedyMerge,APC_16x8x8,1234,376,7,0.018617,0.9784,100.0000,5.2600
C_GreedyMerge,APC_16x8x8,31337,376,7,0.018617,0.9799,100.0000,5.1800
C_GreedyMerge,Tank_16x12x12,1,840,3,0.003571,1.5314,100.0000,13.2100
C_GreedyMerge,Tank_16x12x12,7,840,3,0.003571,2.5865,100.0000,12.5600
C_GreedyMerge,Tank_16x12x12,42,840,3,0.003571,1.6870,100.0000,12.5900
C_GreedyMerge,Tank_16x12x12,1234,840,3,0.003571,2.2474,100.0000,13.1000
C_GreedyMerge,Tank_16x12x12,31337,840,3,0.003571,1.9914,100.0000,16.0300
C_GreedyMerge,Truck_24x8x8,1,512,5,0.009766,1.6345,100.0000,7.4600
C_GreedyMerge,Truck_24x8x8,7,512,5,0.009766,1.0954,100.0000,7.1100
C_GreedyMerge,Truck_24x8x8,42,512,5,0.009766,0.9943,100.0000,7.2000
C_GreedyMerge,Truck_24x8x8,1234,512,5,0.009766,1.0216,100.0000,7.1900
C_GreedyMerge,Truck_24x8x8,31337,512,5,0.009766,1.0592,100.0000,6.5900
C_GreedyMerge,LargeShip_32x16x16,1,3600,10,0.002778,5.0555,100.0000,72.6690
C_GreedyMerge,LargeShip_32x16x16,7,3600,10,0.002778,6.0618,100.0000,61.5590
C_GreedyMerge,LargeShip_32x16x16,42,3600,10,0.002778,5.2700,100.0000,88.6190
C_GreedyMerge,LargeShip_32x16x16,1234,3600,10,0.002778,5.1098,100.0000,58.8300
C_GreedyMerge,LargeShip_32x16x16,31337,3600,10,0.002778,4.9330,100.0000,58.8400
D_Hierarchical,Jeep_8x4x4,1,52,9,0.173077,1.2761,100.0000,3.1300
D_Hierarchical,Jeep_8x4x4,7,52,9,0.173077,1.3669,100.0000,2.7300
D_Hierarchical,Jeep_8x4x4,42,52,9,0.173077,1.4020,100.0000,2.6500
D_Hierarchical,Jeep_8x4x4,1234,52,9,0.173077,1.2851,100.0000,2.5400
D_Hierarchical,Jeep_8x4x4,31337,52,9,0.173077,1.2472,100.0000,2.3300
D_Hierarchical,APC_16x8x8,1,376,46,0.122340,10.3606,100.0000,18.7490
D_Hierarchical,APC_16x8x8,7,376,46,0.122340,10.4279,100.0000,17.0000
D_Hierarchical,APC_16x8x8,42,376,46,0.122340,10.4836,100.0000,18.1700
D_Hierarchical,APC_16x8x8,1234,376,46,0.122340,10.3874,100.0000,21.8600
D_Hierarchical,APC_16x8x8,31337,376,46,0.122340,10.1884,100.0000,17.1300
D_Hierarchical,Tank_16x12x12,1,840,5,0.005952,9.7461,100.0000,24.5200
D_Hierarchical,Tank_16x12x12,7,840,5,0.005952,9.3094,100.0000,24.7500
D_Hierarchical,Tank_16x12x12,42,840,5,0.005952,8.9618,100.0000,23.5100
D_Hierarchical,Tank_16x12x12,1234,840,5,0.005952,8.8312,100.0000,23.0390
D_Hierarchical,Tank_16x12x12,31337,840,5,0.005952,9.0255,100.0000,23.0190
D_Hierarchical,Truck_24x8x8,1,512,20,0.039062,10.8253,100.0000,20.5700
D_Hierarchical,Truck_24x8x8,7,512,20,0.039062,10.9613,100.0000,20.5100
D_Hierarchical,Truck_24x8x8,42,512,20,0.039062,10.8152,100.0000,19.5790
