Strategy,Scenario,Seed,SurvivalRate,AvgStabilizationTime,AvgCureTime,AvgRoutingLatencyNs
A_NearestFirst,low_intensity,101,10.2564,10387,3026.47,5858.95
A_NearestFirst,low_intensity,102,11.1111,10908.2,3270.28,4037.63
A_NearestFirst,low_intensity,103,10.6061,13564.6,2436.32,4298.12
A_NearestFirst,low_intensity,104,15.748,11839.1,3187.85,4254.75
A_NearestFirst,low_intensity,105,10.2362,9801.06,2935.34,4116.22
A_NearestFirst,medium_intensity,101,7.14286,11298.7,2816.51,4001.43
A_NearestFirst,medium_intensity,102,9.29204,10304.8,3218.2,4159.73
A_NearestFirst,medium_intensity,103,10.6557,10344.3,3730.58,3944.82
A_NearestFirst,medium_intensity,104,12.6582,9645.19,3468.82,3909.19
A_NearestFirst,medium_intensity,105,10.3306,10924.8,3003.98,3881.45
A_NearestFirst,high_intensity,101,5.56328,12820.4,2510.87,4024.46
A_NearestFirst,high_intensity,102,6.17647,9485.24,2840.4,4031.42
A_NearestFirst,high_intensity,103,5.25606,10508.2,3161.72,4055.6
A_NearestFirst,high_intensity,104,6.41562,12354.2,3578.86,4032.01
A_NearestFirst,high_intensity,105,6.02582,8800.66,3209.71,4139.21
A_NearestFirst,mass_casualty,101,3.35227,13601,5512.34,4397.31
A_NearestFirst,mass_casualty,102,3.49112,13381.4,4362.91,3956.89
A_NearestFirst,mass_casualty,103,3.082,13370,3577.3,4102.66
A_NearestFirst,mass_casualty,104,3.01003,13801.9,5138.27,4289.02
A_NearestFirst,mass_casualty,105,3.37336,12672.4,2358.44,4103.51
A_NearestFirst,extreme_surge,101,2.0119,13875.8,5944.17,3988.69
A_NearestFirst,extreme_surge,102,1.93953,13836.8,6274.08,3997.74
A_NearestFirst,extreme_surge,103,1.92678,13851.6,5648.41,4443.65
A_NearestFirst,extreme_surge,104,1.80587,13989.7,6693.5,3918.44
A_NearestFirst,extreme_surge,105,2.07493,13503.3,5249.78,4177.53
B_QueueLengthBalanced,low_intensity,101,10.2564,10387,3026.47,5251.29
B_QueueLengthBalanced,low_intensity,102,11.1111,10908.2,3270.28,4982.63
B_QueueLengthBalanced,low_intensity,103,10.6061,13564.6,2436.32,3897.67
B_QueueLengthBalanced,low_intensity,104,15.748,11839.1,3187.85,4791.34
B_QueueLengthBalanced,low_intensity,105,10.2362,9801.06,2935.34,4684.03
B_QueueLengthBalanced,medium_intensity,101,7.14286,11298.7,2816.51,4439.64
B_QueueLengthBalanced,medium_intensity,102,9.29204,10304.8,3218.2,4436.67
B_QueueLengthBalanced,medium_intensity,103,10.6557,10344.3,3730.58,3979.5
B_QueueLengthBalanced,medium_intensity,104,12.6582,9645.19,3468.82,3828.25
B_QueueLengthBalanced,medium_intensity,105,10.3306,10924.8,3003.98,4025.98
B_QueueLengthBalanced,high_intensity,101,5.56328,12820.4,2510.87,4432.45
B_QueueLengthBalanced,high_intensity,102,6.17647,9485.24,2840.4,3933.21
B_QueueLengthBalanced,high_intensity,103,5.25606,10508.2,3161.72,4048.24
B_QueueLengthBalanced,high_intensity,104,6.41562,12354.2,3578.86,4214.97
B_QueueLengthBalanced,high_intensity,105,6.02582,8800.66,3209.71,4468.85
B_QueueLengthBalanced,mass_casualty,101,3.35227,13601,5512.34,4098.18
B_QueueLengthBalanced,mass_casualty,102,3.49112,13381.4,4362.91,4027.44
B_QueueLengthBalanced,mass_casualty,103,3.082,13370,3577.3,4005.73
B_QueueLengthBalanced,mass_casualty,104,3.01003,13801.9,5138.27,4054.84
B_QueueLengthBalanced,mass_casualty,105,3.37336,12672.4,2358.44,4120.23
B_QueueLengthBalanced,extreme_surge,101,2.0119,13875.8,5944.17,3898.61
