Strategy,BldgType,Seed,Mean_ns,Median_ns,P95_ns,P99_ns,StdDev_ns,Min_ns,Max_ns,Plausibility,Components,Walls,Roof,Floor,Doors,Windows
A_StaticPrefab,residential_1storey,1,57482.3,51759,84210,121940,14437.4,50060,208069,0.775694,1,75,109,110,1,0
A_StaticPrefab,residential_1storey,7,55316.3,51480,75409,113820,12183.5,50620,173730,0.775694,1,75,109,110,1,0
A_StaticPrefab,residential_1storey,42,58532.4,52099,90920,116639,15233.5,51170,245989,0.775694,1,75,109,110,1,0
A_StaticPrefab,residential_1storey,1234,55722.1,51920,75260,112250,12236.7,51010,214290,0.775694,1,75,109,110,1,0
A_StaticPrefab,residential_1storey,31337,59916.9,52190,94050,121089,17326.8,51280,221570,0.775694,1,75,109,110,1,0
A_StaticPrefab,residential_2storey,1,86336.4,77379,135990,166420,22035,75560,281479,0.703996,1,265,109,110,1,0
A_StaticPrefab,residential_2storey,7,84354.8,76739,125469,172330,18883.2,75220,225979,0.703996,1,265,109,110,1,0
A_StaticPrefab,residential_2storey,42,83700.8,76820,125879,167809,17767.8,75580,205280,0.703996,1,265,109,110,1,0
A_StaticPrefab,residential_2storey,1234,83188,76939,119460,167390,17341.6,75510,226979,0.703996,1,265,109,110,1,0
A_StaticPrefab,residential_2storey,31337,89960.8,77820,133549,199539,25008.8,75520,295979,0.703996,1,265,109,110,1,0
A_StaticPrefab,industrial_warehouse,1,169641,155599,244609,297779,31112.8,150909,369628,0.839833,1,359,357,357,1,0
A_StaticPrefab,industrial_warehouse,7,184491,162749,271919,321989,44198.2,149690,655197,0.839833,1,359,357,357,1,0
A_StaticPrefab,industrial_warehouse,42,175597,158800,259179,319459,37112.2,149980,505869,0.839833,1,359,357,357,1,0
A_StaticPrefab,industrial_warehouse,1234,171656,154859,254550,320439,39254.7,149429,771708,0.839833,1,359,357,357,1,0
A_StaticPrefab,industrial_warehouse,31337,176898,157460,258879,297589,35895.8,149789,378708,0.839833,1,359,357,357,1,0
A_StaticPrefab,military_bunker,1,39963.2,36760,62070,67290,7619.79,35940,77320,0.744444,1,55,64,64,1,0
A_StaticPrefab,military_bunker,7,43914.1,36979,71310,84330,11492.3,35640,90319,0.744444,1,55,64,64,1,0
A_StaticPrefab,military_bunker,42,43154.7,36870,67319,82550,10712.7,35920,90540,0.744444,1,55,64,64,1,0
A_StaticPrefab,military_bunker,1234,46830.6,45100,68100,74940,10653.9,35720,82060,0.744444,1,55,64,64,1,0
A_StaticPrefab,military_bunker,31337,41133.3,37330,65130,69380,8892.68,36300,127189,0.744444,1,55,64,64,1,0
A_StaticPrefab,command_post,1,80023.2,72320,125790,132150,16738,71220,141220,0.774757,1,137,156,156,1,0
A_StaticPrefab,command_post,7,81157.4,72450,122499,133840,16307.3,69660,164799,0.774757,1,137,156,156,1,0
A_StaticPrefab,command_post,42,77340.4,70960,114430,130350,14595.8,69940,155529,0.774757,1,137,156,156,1,0
A_StaticPrefab,command_post,1234,79608.1,71620,122100,131189,19716.1,69640,443239,0.774757,1,137,156,156,1,0
A_StaticPrefab,command_post,31337,80233.2,71950,122920,131539,16758.2,71010,136880,0.774757,1,137,156,156,1,0
B_TemplateComposition,residential_1storey,1,62927.4,58320,95560,105789,11376.7,57450,123460,0.843361,1,109,110,110,1,4
B_TemplateComposition,residential_1storey,7,49069.8,45820,72760,83460,8455.68,45280,91260,0.811111,1,65,88,88,1,2
B_TemplateComposition,residential_1storey,42,64568,60900,93760,110170,10616.1,59719,118110,0.85029,1,115,120,120,1,4
B_TemplateComposition,residential_1storey,1234,51642.5,48630,74390,87620,8256.78,48010,92619,0.81875,1,69,99,99,1,2
B_TemplateComposition,residential_1storey,31337,78807.2,72780,121200,130510,15016.1,71510,203209,0.875251,1,133,156,156,1,4
B_TemplateComposition,residential_2storey,1,102521,96399,144700,169329,15870.2,94040,175140,0.819472,1,253,110,220,1,12
B_TemplateComposition,residential_2storey,7,77837.7,72800,109289,129309,12350,71740,135900,0.82136,1,161,88,176,1,8
B_TemplateComposition,residential_2storey,42,106503,100019,155490,180259,17100.2,98500,184309,0.826405,1,267,120,240,1,12
B_TemplateComposition,residential_2storey,1234,88566.9,83830,120819,148659,13216.7,82760,158880,0.818994,1,205,99,198,1,10
B_TemplateComposition,residential_2storey,31337,132840,120160,202269,214979,26082,118639,222519,0.851375,1,309,156,312,1,12
B_TemplateComposition,industrial_warehouse,1,190298,173240,277749,304168,34453,170230,313509,0.933487,1,433,380,380,1,10
B_TemplateComposition,industrial_warehouse,7,150259,139490,211180,243720,23419.2,137789,250169,0.950183,1,273,342,342,1,6
B_TemplateComposition,industrial_warehouse,42,195095,179799,291799,308449,34341.1,177180,483948,0.933483,1,445,400,400,1,10
B_TemplateComposition,industrial_warehouse,1234,158509,148809,223489,261809,23903.5,147250,270679,0.940176,1,341,342,342,1,8
B_TemplateComposition,industrial_warehouse,31337,210168,199030,269169,334909,27067.3,196379,350779,0.933472,1,481,460,460,1,10
