strategy,scene,seed,iter,time_ns,count,components,plausibility
A_UniformRandom,uniform_stone,1,0,5000,63,41,0.0000
A_UniformRandom,uniform_stone,1,1,6070,86,44,0.0000
A_UniformRandom,uniform_stone,1,2,5070,68,46,0.0000
A_UniformRandom,uniform_stone,1,3,4650,61,45,0.0000
A_UniformRandom,uniform_stone,1,4,4600,61,43,0.0000
A_UniformRandom,uniform_stone,1,5,4540,62,43,0.0000
A_UniformRandom,uniform_stone,1,6,5460,75,40,0.0000
A_UniformRandom,uniform_stone,1,7,4950,65,38,0.0000
A_UniformRandom,uniform_stone,1,8,5170,68,38,0.0000
A_UniformRandom,uniform_stone,1,9,4290,49,39,0.0000
A_UniformRandom,uniform_stone,1,10,4770,59,38,0.0000
A_UniformRandom,uniform_stone,1,11,4970,65,46,0.0000
A_UniformRandom,uniform_stone,1,12,5490,74,42,0.0000
A_UniformRandom,uniform_stone,1,13,4850,64,44,0.0000
A_UniformRandom,uniform_stone,1,14,4440,55,41,0.0000
A_UniformRandom,uniform_stone,1,15,4580,60,36,0.0000
A_UniformRandom,uniform_stone,1,16,4430,60,47,0.0000
A_UniformRandom,uniform_stone,1,17,4770,65,45,0.0000
A_UniformRandom,uniform_stone,1,18,4220,53,45,0.0000
A_UniformRandom,uniform_stone,1,19,4570,57,42,0.0000
A_UniformRandom,uniform_stone,1,20,4480,59,42,0.0000
A_UniformRandom,uniform_stone,1,21,4770,64,46,0.0000
A_UniformRandom,uniform_stone,1,22,4820,65,44,0.0000
A_UniformRandom,uniform_stone,1,23,5110,75,46,0.0000
A_UniformRandom,uniform_stone,1,24,4370,57,43,0.0000
A_UniformRandom,uniform_stone,1,25,4770,67,49,0.0000
A_UniformRandom,uniform_stone,1,26,4720,64,46,0.0000
A_UniformRandom,uniform_stone,1,27,4770,62,40,0.0000
A_UniformRandom,uniform_stone,1,28,4350,59,47,0.0000
A_UniformRandom,uniform_stone,1,29,4980,70,46,0.0000
A_UniformRandom,uniform_stone,1,30,4750,67,50,0.0000
A_UniformRandom,uniform_stone,1,31,4680,64,44,0.0000
A_UniformRandom,uniform_stone,1,32,3930,43,33,0.0000
A_UniformRandom,uniform_stone,1,33,4820,65,39,0.0000
