strategy,scene,seed,mean_us,p50_us,p95_us,p99_us,std_us,psnr_db,conv_ticks
A_NoConduction,uniform_stone,1,0.021,0.020,0.030,0.030,0.003,8.28,6
A_NoConduction,uniform_stone,7,0.021,0.020,0.030,0.030,0.005,8.28,6
A_NoConduction,uniform_stone,42,0.021,0.020,0.030,0.030,0.003,8.28,6
A_NoConduction,uniform_stone,1234,0.021,0.020,0.030,0.030,0.003,8.28,6
A_NoConduction,uniform_stone,31337,0.021,0.020,0.030,0.030,0.003,8.28,6
A_NoConduction,layered_insulation,1,0.021,0.020,0.030,0.030,0.003,8.28,6
A_NoConduction,layered_insulation,7,0.021,0.020,0.030,0.030,0.002,8.28,6
A_NoConduction,layered_insulation,42,0.021,0.020,0.030,0.030,0.002,8.28,6
A_NoConduction,layered_insulation,1234,0.021,0.020,0.030,0.030,0.002,8.28,6
A_NoConduction,layered_insulation,31337,0.031,0.020,0.030,0.030,0.318,8.28,6
A_NoConduction,heat_source_center,1,0.021,0.020,0.030,0.030,0.002,6.41,6
A_NoConduction,heat_source_center,7,0.020,0.020,0.020,0.020,0.001,6.41,6
A_NoConduction,heat_source_center,42,0.021,0.020,0.030,0.030,0.005,6.41,6
A_NoConduction,heat_source_center,1234,0.021,0.020,0.030,0.030,0.003,6.41,6
A_NoConduction,heat_source_center,31337,0.020,0.020,0.030,0.030,0.002,6.41,6
A_NoConduction,multi_material_sphere,1,0.021,0.020,0.030,0.030,0.002,6.11,6
A_NoConduction,multi_material_sphere,7,0.021,0.020,0.030,0.030,0.002,6.11,6
A_NoConduction,multi_material_sphere,42,0.021,0.020,0.030,0.030,0.002,6.11,6
A_NoConduction,multi_material_sphere,1234,0.021,0.020,0.030,0.030,0.002,6.11,6
A_NoConduction,multi_material_sphere,31337,0.020,0.020,0.030,0.030,0.002,6.11,6
A_NoConduction,edge_chunk,1,0.020,0.020,0.030,0.030,0.002,11.64,6
A_NoConduction,edge_chunk,7,0.021,0.020,0.030,0.030,0.002,11.64,6
A_NoConduction,edge_chunk,42,0.020,0.020,0.030,0.030,0.002,11.64,6
A_NoConduction,edge_chunk,1234,0.021,0.020,0.030,0.030,0.002,11.64,6
A_NoConduction,edge_chunk,31337,0.021,0.020,0.030,0.030,0.002,11.64,6
B_ExplicitEuler,uniform_stone,1,25.515,22.880,32.579,34.110,5.088,8.49,15
B_ExplicitEuler,uniform_stone,7,25.219,22.870,32.210,43.170,6.358,8.49,15
B_ExplicitEuler,uniform_stone,42,24.729,22.750,32.220,44.730,7.909,8.49,15
B_ExplicitEuler,uniform_stone,1234,24.761,22.820,31.960,46.969,5.869,8.49,15
B_ExplicitEuler,uniform_stone,31337,24.491,22.710,31.930,33.190,3.347,8.49,15
B_ExplicitEuler,layered_insulation,1,26.259,22.750,39.980,41.990,5.637,8.46,15
B_ExplicitEuler,layered_insulation,7,25.335,22.750,32.780,39.220,4.414,8.46,15
B_ExplicitEuler,layered_insulation,42,25.480,22.750,32.210,39.580,4.276,8.46,15
B_ExplicitEuler,layered_insulation,1234,27.454,25.130,33.190,41.000,6.403,8.46,15
B_ExplicitEuler,layered_insulation,31337,26.199,22.700,32.620,41.160,6.791,8.46,15
B_ExplicitEuler,heat_source_center,1,25.257,22.870,32.370,39.620,5.845,6.50,6
B_ExplicitEuler,heat_source_center,7,27.342,23.240,32.660,67.779,9.652,6.50,6
B_ExplicitEuler,heat_source_center,42,26.738,22.400,31.970,43.140,55.631,6.50,6
B_ExplicitEuler,heat_source_center,1234,25.332,22.710,31.990,36.929,6.726,6.50,6
B_ExplicitEuler,heat_source_center,31337,24.383,22.679,32.010,33.570,4.402,6.50,6
B_ExplicitEuler,multi_material_sphere,1,10.750,10.390,15.430,17.540,2.934,6.13,6
B_ExplicitEuler,multi_material_sphere,7,10.757,8.480,15.850,16.860,5.188,6.13,6
B_ExplicitEuler,multi_material_sphere,42,10.479,8.530,13.820,18.790,4.191,6.13,6
B_ExplicitEuler,multi_material_sphere,1234,9.997,8.470,13.780,14.160,4.868,6.13,6
B_ExplicitEuler,multi_material_sphere,31337,9.981,8.480,13.730,14.230,3.584,6.13,6
B_ExplicitEuler,edge_chunk,1,26.775,23.520,32.500,66.430,8.538,14.05,41
B_ExplicitEuler,edge_chunk,7,25.067,22.770,32.259,48.470,7.262,14.05,41
B_ExplicitEuler,edge_chunk,42,25.927,22.750,32.510,38.380,6.220,14.05,41
B_ExplicitEuler,edge_chunk,1234,27.427,24.420,33.070,41.189,6.641,14.05,41
B_ExplicitEuler,edge_chunk,31337,27.067,22.990,32.849,71.570,11.058,14.05,41
C_BFS_Propagation,uniform_stone,1,360.958,326.069,492.208,575.058,116.292,18.38,6
C_BFS_Propagation,uniform_stone,7,346.434,309.749,493.388,523.438,70.789,18.38,6
C_BFS_Propagation,uniform_stone,42,324.342,300.239,456.658,504.538,53.923,18.38,6
C_BFS_Propagation,uniform_stone,1234,323.232,298.329,453.888,509.858,55.808,18.38,6
C_BFS_Propagation,uniform_stone,31337,324.928,300.189,458.629,546.548,56.571,18.38,6
C_BFS_Propagation,layered_insulation,1,334.929,301.058,486.888,556.948,68.969,10.33,6
C_BFS_Propagation,layered_insulation,7,324.995,298.639,451.259,507.808,56.643,10.33,6
C_BFS_Propagation,layered_insulation,42,317.665,294.209,473.438,504.068,57.105,10.33,6
C_BFS_Propagation,layered_insulation,1234,330.158,299.719,484.738,552.318,63.616,10.33,6
C_BFS_Propagation,layered_insulation,31337,342.289,303.139,486.369,506.418,69.543,10.33,6
C_BFS_Propagation,heat_source_center,1,48.741,40.240,65.600,74.800,19.681,10.16,6
C_BFS_Propagation,heat_source_center,7,44.755,37.090,63.730,71.589,11.030,10.16,6
C_BFS_Propagation,heat_source_center,42,48.596,40.680,65.229,101.890,17.011,10.16,6
C_BFS_Propagation,heat_source_center,1234,46.287,37.540,64.359,72.290,11.767,10.16,6
C_BFS_Propagation,heat_source_center,31337,42.036,37.280,60.390,66.310,8.730,10.16,6
C_BFS_Propagation,multi_material_sphere,1,67.973,63.400,97.240,102.920,10.500,13.88,6
C_BFS_Propagation,multi_material_sphere,7,66.691,63.400,91.149,104.280,8.783,13.88,6
C_BFS_Propagation,multi_material_sphere,42,69.350,63.950,95.150,118.059,12.708,13.88,6
C_BFS_Propagation,multi_material_sphere,1234,67.495,62.920,93.630,148.049,14.268,13.88,6
C_BFS_Propagation,multi_material_sphere,31337,75.502,67.229,113.990,136.850,18.891,13.88,6
C_BFS_Propagation,edge_chunk,1,1527.455,1421.085,2029.203,2304.602,236.019,11.13,6
C_BFS_Propagation,edge_chunk,7,1473.674,1388.585,1904.904,2232.032,192.790,11.13,6
C_BFS_Propagation,edge_chunk,42,1503.473,1408.785,1980.223,2292.402,211.967,11.13,6
C_BFS_Propagation,edge_chunk,1234,1488.835,1412.094,1923.103,2227.972,193.971,11.13,6
C_BFS_Propagation,edge_chunk,31337,1467.212,1388.085,1886.144,2249.132,181.897,11.13,6
D_GaussSeidel,uniform_stone,1,123.234,116.280,159.280,163.579,13.138,6.41,6
D_GaussSeidel,uniform_stone,7,122.438,116.870,155.849,164.089,12.288,6.41,6
D_GaussSeidel,uniform_stone,42,126.763,117.419,164.320,171.469,18.144,6.41,6
D_GaussSeidel,uniform_stone,1234,126.535,115.120,164.529,171.599,19.553,6.41,6
D_GaussSeidel,uniform_stone,31337,121.295,115.830,159.029,165.279,12.734,6.41,6
D_GaussSeidel,layered_insulation,1,120.678,114.599,158.709,162.450,12.464,6.41,6
D_GaussSeidel,layered_insulation,7,123.548,116.449,160.959,168.589,15.173,6.41,6
D_GaussSeidel,layered_insulation,42,121.054,115.050,159.619,162.059,12.617,6.41,6
D_GaussSeidel,layered_insulation,1234,125.349,116.250,162.020,167.279,16.944,6.41,6
D_GaussSeidel,layered_insulation,31337,125.550,117.129,161.489,167.559,16.210,6.41,6
D_GaussSeidel,heat_source_center,1,127.569,119.640,165.659,173.530,16.918,6.41,6
D_GaussSeidel,heat_source_center,7,135.649,123.279,171.299,178.839,21.025,6.41,6
